anchor	random_partner
Q60943	Q9Y2X3
Q61483	A0A2K1JLW2
Q62406	P50616
Q64337	Q9WV32
Q66HD0	P36980
Q6NLH0	Q9UPY6
Q6P1N0	Q9WUL5
Q6PFX9	P01750
Q6PJ56	P51532
Q6UUV7	P48643
Q6YXK4	P17544
Q75VY6	P51693
Q75VY8	Q14790
Q75VY9	O88602
Q7L5N1	Q9GZZ9
Q7Z434	P20353
Q7Z4G1	Q15831
Q7Z7J7	Q12824
Q7ZYJ8	P04080
Q83ES8	P25054
Q86V25	O75569
Q86V81	P0AFF0
Q86VP6	Q99638
Q86VX2	P13501
Q86XL3	P36886
Q86Y07	O23629
Q8A1D9	P39429
Q8BPM0	Q6J9G0
Q8DIN9	P40984
Q8DJZ6	Q9FVC1
Q8DKZ3	Q9FIF5
Q8DL32	G3V9R2
Q8IRE3	Q9UBL3
Q8IU60	P29496
Q8IV16	Q9JI12
Q8IWJ2	Q6P9V9
Q8IXK0	Q12834
Q8IZP0	P02749
Q8K4C2	P91943
Q8MFA2	P42574
Q8N0X7	Q9H8M2
Q8N140	Q495A1
Q8N668	Q2HR75
Q8N884	P15923
Q8NCN4	Q75VY9
Q8NDV7	P06703
Q8NG31	A0A5C2G4I7
Q8NHL6	P25342
Q8R4L0	P36507
Q8WUF5	P10793
Q8WVM7	P24732
Q8WWW0	F1N4X0
Q92692	Q96DB2
Q92736	O14965
Q92769	P04921
Q92793	P15172
Q92905	P0ABS1
Q92966	Q7Z4G1
Q93034	P61982
Q944A6	P07611
Q94AH6	A0A1S4CKK0
Q94F62	P63165
Q969H0	P52294
Q96AV8	P15172
Q96B67	Q9HBH9
Q96B86	Q6N095
Q96CV9	Q06609
Q96E09	Q9BV36
Q96EP0	A0A287BAW0
Q96F46	P56704
Q96FW1	Q96DB2
Q96J02	Q7L523
Q96P20	O95831
Q980R1	P56658
Q99075	P60510
Q99104	P70444
Q99471	O15514
Q99497	Q02297
Q99638	A0ACD6B9N1
Q99816	P01837
Q99873	P05362
Q99N57	P36507
Q9AU02	P25815
Q9BPZ7	Q9S7N7
Q9BQ15	P10914
Q9BQE4	P04150
Q9BQI3	O94355
Q9BS18	Q9R0Q7
Q9BSM1	Q9V195
Q9BST9	Q9R1B9
Q9BTE1	Q9C639
Q9BV36	Q07157
Q9BVC4	P07900
Q9BXW9	Q07817
Q9BYF1	Q60770
Q9ESN9	A7U8D2
Q9FIF5	I0YQ45
Q9FN03	P63146
Q9GZM8	Q77YG1
Q9GZQ8	Q9MYV3
Q9GZZ9	P16710
Q9H0B6	Q9Y6R1
Q9H0H5	Q32L40
Q9H0R8	Q9Y4K3
Q9H269	P55211
Q9H3P7	Q9H9Q2
Q9H6Z4	P78371
Q9H9Q2	Q1HFW2
Q9HAU4	P61221
Q9HB71	Q32PE0
Q9I9A7	Q9FJE8
Q9JM54	P49761
Q9LMA8	Q8WYR1
Q9MA75	P08069
Q9NPB6	P15923
Q9NPF5	P30556
Q9NQL2	P52891
Q9NQP4	P06213
Q9NRA8	Q5RKV6
Q9NRI5	P63103
Q9NRM7	A0A069PXX1
Q9NVH2	A0A9X9IKM4
Q9NXA8	P24593
Q9NZQ7	P39744
Q9PU13	O08734
Q9QUK6	P41806
Q9R1B9	Q944A6
Q9S7N7	P01584
Q9S7P9	Q9UNP9
Q9SV55	P61830
Q9SY97	Q62634
Q9TM23	P16858
Q9UBF6	P33992
Q9UBL3	Q9BVA1
Q9UHD2	P61371
Q9UHV9	Q9UH77
Q9UHX3	Q13563
Q9UI95	P39688
Q9UJY4	P04004
Q9UJY5	A0QSG2
Q9UKG1	Q08491
Q9UKL0	Q02326
Q9UKV0	Q77YG1
Q9ULW0	Q9HAU4
Q9ULZ3	P21359
Q9UN37	O60684
Q9UNP9	O35625
Q9UPY3	P25342
Q9UQ13	P49841
Q9UQB8	A0A4V8H004
Q9UQE7	Q9XIC7
Q9USP0	P14416
Q9UUI1	Q7TNI7
Q9V1V5	Q15306
Q9VB22	D0CD14
Q9VUZ1	O15379
Q9WV32	Q08491
Q9XFH4	P14649
Q9Y265	P04003
Q9Y2H1	Q9EP73
Q9Y2Z0	Q05541
Q9Y3A3	P36886
Q9Y3I1	O88522
Q9Y5B9	Q8NHL6
Q9Y6K9	Q8IVW4
Q9Y6R1	O14745
Q9Y6W8	S6B291
Q9Y7M4	Q54XI5
Q9Z0U1	Q9P2J3
Q9Z266	P01344
S6B2B6	Q861F7
S6C4R2	Q9NXA8
