triplet_id	ac_id	anchor	negative_partner_c	positive_partner_d	ac_pair_id	ad_pair_id	assembly_size_stratum	counterfactual_grade_provisional	sequence_similarity_bin
SCF:0000083	AC:000074	G0SCD1	G0RZG4	G0S1P1	SP:0000074	SP:0006433	3_10	CF-B-provisional	remote_sequence
SCF:0000084	AC:000077	A8IH07	A8IJY7	A8IL21	SP:0000077	SP:0006438	11_24	CF-B-provisional	remote_sequence
SCF:0000085	AC:000077	A8IH07	A8IJY7	A8INX1	SP:0000077	SP:0006439	11_24	CF-B-provisional	remote_sequence
SCF:0000086	AC:000077	A8IJY7	A8IH07	A8INX1	SP:0000077	SP:0006441	11_24	CF-B-provisional	remote_sequence
SCF:0000087	AC:000078	P36121	P07703	P32910	SP:0000078	SP:0006447	11_24	CF-B-provisional	remote_sequence
SCF:0000088	AC:000079	P28000	P47076	P20435	SP:0000079	SP:0006450	11_24	CF-B-provisional	remote_sequence
SCF:0000089	AC:000081	I7MDA9	I7MLZ4	I7M6D6	SP:0000081	SP:0006461	11_24	CF-B-provisional	remote_sequence
SCF:0000090	AC:000081	I7MDA9	I7MLZ4	Q229S1	SP:0000081	SP:0006462	11_24	CF-B-provisional	remote_sequence
SCF:0000091	AC:000083	O19928	Q9TM46	Q9TM47	SP:0000083	SP:0006378	11_24	CF-B-provisional	remote_sequence
SCF:0000092	AC:000083	O19928	Q9TM46	O19895	SP:0000083	SP:0006469	11_24	CF-B-provisional	remote_sequence
SCF:0000093	AC:000085	Q23YW7	Q24CL2	Q24DJ0	SP:0000085	SP:0006472	11_24	CF-B-provisional	remote_sequence
SCF:0000094	AC:000085	Q24CL2	Q23YW7	Q23S05	SP:0000085	SP:0006474	11_24	CF-B-provisional	remote_sequence
SCF:0000095	AC:000087	P20339	Q9P2Y5	Q15276	SP:0000087	SP:0006483	3_10	CF-B-provisional	remote_sequence
SCF:0000096	AC:000089	P63272	P53803	A0A4X1TRS6	SP:0000089	SP:0006498	11_24	CF-B-provisional	high
SCF:0000097	AC:000091	O95456	P28070	P60900	SP:0000091	SP:0006506	11_24	CF-B-provisional	remote_sequence
SCF:0000098	AC:000091	O95456	P28070	P25788	SP:0000091	SP:0006507	11_24	CF-B-provisional	remote_sequence
SCF:0000099	AC:000091	O95456	P28070	O14818	SP:0000091	SP:0006508	11_24	CF-B-provisional	remote_sequence
SCF:0000100	AC:000091	P28070	O95456	P48556	SP:0000091	SP:0006509	11_24	CF-B-provisional	remote_sequence
SCF:0000101	AC:000091	P28070	O95456	O14818	SP:0000091	SP:0006510	11_24	CF-B-provisional	remote_sequence
SCF:0000102	AC:000094	P50990	Q99471	O15212	SP:0000094	SP:0006523	11_24	CF-B-provisional	remote_sequence
SCF:0000103	AC:000094	Q99471	P50990	P49368	SP:0000094	SP:0006526	11_24	CF-B-provisional	medium
SCF:0000104	AC:000094	Q99471	P50990	P40227	SP:0000094	SP:0006528	11_24	CF-B-provisional	remote_sequence
SCF:0000105	AC:000095	C4QZ45	C4R7H2	C4QZQ7	SP:0000095	SP:0006529	11_24	CF-B-provisional	remote_sequence
SCF:0000106	AC:000096	A0A1S3ZQT7	A0A1S3X2G3	A0A1S3YU01	SP:0000096	SP:0006538	11_24	CF-B-provisional	remote_sequence
SCF:0000107	AC:000097	A0A4V8H005	A0A4V8GZZ7	A0A4V8GZZ9	SP:0000097	SP:0006544	11_24	CF-B-provisional	high
SCF:0000108	AC:000097	A0A4V8H005	A0A4V8GZZ7	A0A4V8H001	SP:0000097	SP:0006545	11_24	CF-B-provisional	medium
SCF:0000109	AC:000099	P02309	P47128	P02293	SP:0000099	SP:0006552	11_24	CF-B-provisional	remote_sequence
SCF:0000110	AC:000099	P47128	P02309	P61830	SP:0000099	SP:0006555	11_24	CF-B-provisional	medium
SCF:0000111	AC:000099	P47128	P02309	Q12692	SP:0000099	SP:0006556	11_24	CF-B-provisional	medium
SCF:0000112	AC:000100	G0RZG4	G0S1P1	G0SC21	SP:0000100	SP:0006430	3_10	CF-B-provisional	remote_sequence
SCF:0000113	AC:000103	Q2FZ25	Q2G113	Q2FW20	SP:0000103	SP:0006568	11_24	CF-B-provisional	medium
SCF:0000114	AC:000107	P59768	P08913	P21728	SP:0000107	SP:0006594	3_10	CF-A-provisional	medium
SCF:0000115	AC:000107	P59768	P08913	P28223	SP:0000107	SP:0006114	3_10	CF-A-provisional	medium
SCF:0000116	AC:000107	P59768	P08913	P41143	SP:0000107	SP:0006595	3_10	CF-A-provisional	medium
SCF:0000117	AC:000110	Q8DLL4	Q8DKZ4	Q8DL31	SP:0000110	SP:0006610	11_24	CF-B-provisional	remote_sequence
SCF:0000118	AC:000111	D8V7I7	D7NIZ2	K0J903	SP:0000111	SP:0006364	11_24	CF-B-provisional	remote_sequence
SCF:0000119	AC:000113	P50991	P61758	O15212	SP:0000113	SP:0006624	11_24	CF-B-provisional	remote_sequence
SCF:0000120	AC:000113	P50991	P61758	Q9NQP4	SP:0000113	SP:0006625	11_24	CF-B-provisional	remote_sequence
SCF:0000121	AC:000114	P61201	Q9UBF6	P62877	SP:0000114	SP:0006629	11_24	CF-B-provisional	high
SCF:0000122	AC:000114	Q9UBF6	P61201	Q9UNS2	SP:0000114	SP:0006632	11_24	CF-B-provisional	remote_sequence
SCF:0000123	AC:000116	A0A125YU99	A0A125YS93	A0A125YTU2	SP:0000116	SP:0006643	11_24	CF-B-provisional	remote_sequence
SCF:0000124	AC:000118	A0A2K1IAD0	A0A2K1IB10	A9RT62	SP:0000118	SP:0006652	11_24	CF-B-provisional	medium
SCF:0000125	AC:000118	A0A2K1IB10	A0A2K1IAD0	A0A2K1K0C7	SP:0000118	SP:0006655	11_24	CF-B-provisional	remote_sequence
SCF:0000126	AC:000119	P25515	P38784	P22203	SP:0000119	SP:0006658	11_24	CF-B-provisional	remote_sequence
SCF:0000127	AC:000120	P68135	P02602	P14649	SP:0000120	SP:0006665	3_10	CF-B-provisional	high
SCF:0000128	AC:000120	P68135	P02602	P0DP26	SP:0000120	SP:0006666	3_10	CF-B-provisional	medium
SCF:0000129	AC:000120	P68135	P02602	P68246	SP:0000120	SP:0006667	3_10	CF-B-provisional	remote_sequence
SCF:0000130	AC:000121	Q9VLI9	Q9VUZ1	Q9VA95	SP:0000121	SP:0006668	3_10	CF-B-provisional	remote_sequence
SCF:0000131	AC:000122	P01116	Q13617	P07900	SP:0000122	SP:0006674	3_10	CF-B-provisional	remote_sequence
SCF:0000132	AC:000123	Q96SY0	Q9NV88	Q9NVM9	SP:0000123	SP:0006680	11_24	CF-B-provisional	remote_sequence
SCF:0000133	AC:000123	Q96SY0	Q9NV88	Q9NVR2	SP:0000123	SP:0006681	11_24	CF-B-provisional	remote_sequence
SCF:0000134	AC:000124	Q9NVM9	Q9NVR2	Q9NV88	SP:0000124	SP:0006685	11_24	CF-B-provisional	remote_sequence
SCF:0000135	AC:000124	Q9NVR2	Q9NVM9	Q9NV88	SP:0000124	SP:0006687	11_24	CF-B-provisional	remote_sequence
SCF:0000136	AC:000124	Q9NVR2	Q9NVM9	Q5TA45	SP:0000124	SP:0006688	11_24	CF-B-provisional	remote_sequence
SCF:0000137	AC:000125	A0A1S3XP85	A0A1S4BFK7	A0A1S4CE74	SP:0000125	SP:0006689	11_24	CF-B-provisional	medium
SCF:0000138	AC:000125	A0A1S4BFK7	A0A1S3XP85	A0A1S3YEW3	SP:0000125	SP:0006692	11_24	CF-B-provisional	remote_sequence
SCF:0000139	AC:000126	A0A4V8GZZ6	A0A4V8GZZ7	A0A4V8GZZ9	SP:0000126	SP:0006694	11_24	CF-B-provisional	high
SCF:0000140	AC:000126	A0A4V8GZZ7	A0A4V8GZZ6	A0A4V8H000	SP:0000126	SP:0006543	11_24	CF-B-provisional	medium
SCF:0000141	AC:000126	A0A4V8GZZ7	A0A4V8GZZ6	A0A4V8H001	SP:0000126	SP:0006696	11_24	CF-B-provisional	medium
SCF:0000142	AC:000126	A0A4V8GZZ7	A0A4V8GZZ6	A0A4V8GZZ9	SP:0000126	SP:0006542	11_24	CF-B-provisional	medium
SCF:0000143	AC:000127	Q3B726	O15446	Q9GZS1	SP:0000127	SP:0006699	11_24	CF-B-provisional	remote_sequence
SCF:0000144	AC:000129	P07305	P62805	P04908	SP:0000129	SP:0006709	11_24	CF-B-provisional	medium
SCF:0000145	AC:000129	P62805	P07305	P10412	SP:0000129	SP:0006711	11_24	CF-B-provisional	medium
SCF:0000146	AC:000129	P62805	P07305	A0A1B8Y854	SP:0000129	SP:0006712	11_24	CF-B-provisional	remote_sequence
SCF:0000147	AC:000129	P62805	P07305	P33778	SP:0000129	SP:0006713	11_24	CF-B-provisional	remote_sequence
SCF:0000148	AC:000132	P20436	P32910	P29055	SP:0000132	SP:0006726	11_24	CF-B-provisional	remote_sequence
SCF:0000149	AC:000132	P20436	P32910	P46669	SP:0000132	SP:0006727	11_24	CF-B-provisional	remote_sequence
SCF:0000150	AC:000132	P20436	P32910	P07703	SP:0000132	SP:0006728	11_24	CF-B-provisional	remote_sequence
SCF:0000151	AC:000133	A0T0V1	B8CEQ3	B8C770	SP:0000133	SP:0006733	11_24	CF-B-provisional	medium
SCF:0000152	AC:000133	A0T0V1	B8CEQ3	B8C2K6	SP:0000133	SP:0006096	11_24	CF-B-provisional	medium
SCF:0000153	AC:000133	B8CEQ3	A0T0V1	A0T0S1	SP:0000133	SP:0006734	11_24	CF-B-provisional	remote_sequence
SCF:0000154	AC:000135	Q9NQP4	Q99832	P50991	SP:0000135	SP:0006625	11_24	CF-B-provisional	medium
SCF:0000155	AC:000136	P39933	Q12308	P32367	SP:0000136	SP:0006747	3_10	CF-B-provisional	remote_sequence
SCF:0000156	AC:000138	A0A2P6TPV8	A0A2P6TQ14	A0A2P6TT36	SP:0000138	SP:0006752	11_24	CF-B-provisional	medium
SCF:0000157	AC:000138	A0A2P6TPV8	A0A2P6TQ14	A0A2P6TZ50	SP:0000138	SP:0006753	11_24	CF-B-provisional	medium
SCF:0000158	AC:000139	D5MAL3	Q32904	Q41038	SP:0000139	SP:0006759	11_24	CF-B-provisional	medium
SCF:0000159	AC:000140	P56768	Q949Q5	Q9SUI6	SP:0000140	SP:0006764	11_24	CF-B-provisional	remote_sequence
SCF:0000160	AC:000140	P56768	Q949Q5	Q9SUI7	SP:0000140	SP:0006765	11_24	CF-B-provisional	remote_sequence
SCF:0000161	AC:000142	P12356	Q75VY9	Q05093	SP:0000142	SP:0006775	11_24	CF-B-provisional	high
SCF:0000162	AC:000142	P12356	Q75VY9	Q7DM26	SP:0000142	SP:0006776	11_24	CF-B-provisional	high
SCF:0000163	AC:000142	Q75VY9	P12356	Q75VY8	SP:0000142	SP:0006778	11_24	CF-B-provisional	medium
SCF:0000164	AC:000143	E1C9K6	E1C9K9	A0A0M3KL10	SP:0000143	SP:0006780	11_24	CF-B-provisional	high
SCF:0000165	AC:000144	Q12330	Q08920	Q07930	SP:0000144	SP:0006787	11_24	CF-B-provisional	remote_sequence
SCF:0000166	AC:000144	Q12330	Q08920	P40018	SP:0000144	SP:0006788	11_24	CF-B-provisional	remote_sequence
SCF:0000167	AC:000144	Q12330	Q08920	P53277	SP:0000144	SP:0006789	11_24	CF-B-provisional	remote_sequence
SCF:0000168	AC:000145	E9NPW6	I0YPL4	I0YQ46	SP:0000145	SP:0006336	11_24	CF-B-provisional	medium
SCF:0000169	AC:000146	A0A063XCP1	A0A063X781	A0A063X754	SP:0000146	SP:0006797	11_24	CF-B-provisional	remote_sequence
SCF:0000170	AC:000146	A0A063XCP1	A0A063X781	A0A063XCH0	SP:0000146	SP:0006798	11_24	CF-B-provisional	remote_sequence
SCF:0000171	AC:000148	Q00403	O15514	P61218	SP:0000148	SP:0006808	11_24	CF-B-provisional	remote_sequence
SCF:0000172	AC:000148	Q00403	O15514	A0A4X1VEK9	SP:0000148	SP:0006809	11_24	CF-B-provisional	remote_sequence
SCF:0000173	AC:000148	Q00403	O15514	Q15543	SP:0000148	SP:0006810	11_24	CF-B-provisional	remote_sequence
SCF:0000174	AC:000150	P0A431	P59087	Q8DIN9	SP:0000150	SP:0006816	11_24	CF-B-provisional	medium
SCF:0000175	AC:000150	P0A431	P59087	Q8DJZ6	SP:0000150	SP:0006817	11_24	CF-B-provisional	remote_sequence
SCF:0000176	AC:000153	Q01667	Q8LCQ4	Q9C639	SP:0000153	SP:0006831	11_24	CF-B-provisional	medium
SCF:0000177	AC:000153	Q01667	Q8LCQ4	Q9SQL2	SP:0000153	SP:0006832	11_24	CF-B-provisional	medium
SCF:0000178	AC:000153	Q01667	Q8LCQ4	P27521	SP:0000153	SP:0006833	11_24	CF-B-provisional	medium
SCF:0000179	AC:000153	Q8LCQ4	Q01667	P27521	SP:0000153	SP:0006834	11_24	CF-B-provisional	medium
SCF:0000180	AC:000153	Q8LCQ4	Q01667	Q9SY97	SP:0000153	SP:0006835	11_24	CF-B-provisional	medium
SCF:0000181	AC:000153	Q8LCQ4	Q01667	Q94AQ8	SP:0000153	SP:0006836	11_24	CF-B-provisional	remote_sequence
SCF:0000182	AC:000156	P59768	Q9GZQ6	P41145	SP:0000156	SP:0006848	3_10	CF-B-provisional	medium
SCF:0000183	AC:000156	P59768	Q9GZQ6	Q9UPC5	SP:0000156	SP:0006115	3_10	CF-B-provisional	medium
SCF:0000184	AC:000158	P0A7W7	P69222	P0A7T7	SP:0000158	SP:0006858	11_24	CF-B-provisional	remote_sequence
SCF:0000185	AC:000158	P0A7W7	P69222	P0A7R5	SP:0000158	SP:0006859	11_24	CF-B-provisional	remote_sequence
SCF:0000186	AC:000161	Q9Y7N2	Q9P6Q0	P87310	SP:0000161	SP:0006873	11_24	CF-B-provisional	remote_sequence
SCF:0000187	AC:000162	F2R0J7	F2QT90	F2QVA2	SP:0000162	SP:0006879	11_24	CF-B-provisional	remote_sequence
SCF:0000188	AC:000163	A0A125YN38	S7W9J5	S7W617	SP:0000163	SP:0006882	11_24	CF-B-provisional	remote_sequence
SCF:0000189	AC:000163	S7W9J5	A0A125YN38	S7W617	SP:0000163	SP:0006885	11_24	CF-B-provisional	remote_sequence
SCF:0000190	AC:000164	Q9XYU1	Q9VBI1	Q9VQY9	SP:0000164	SP:0006891	11_24	CF-B-provisional	medium
SCF:0000191	AC:000164	Q9XYU1	Q9VBI1	Q9W2V7	SP:0000164	SP:0006892	11_24	CF-B-provisional	remote_sequence
SCF:0000192	AC:000165	Q15370	P49427	Q712K3	SP:0000165	SP:0006897	3_10	CF-B-provisional	high
SCF:0000193	AC:000165	Q15370	P49427	Q13084	SP:0000165	SP:0006898	3_10	CF-B-provisional	remote_sequence
SCF:0000194	AC:000166	A0A2K1IAD0	A0A2K1JC42	A0A2K1JDE1	SP:0000166	SP:0006900	11_24	CF-B-provisional	medium
SCF:0000195	AC:000167	P38550	A0A1S3ZSI0	A0A1S3YXM6	SP:0000167	SP:0006907	11_24	CF-B-provisional	remote_sequence
SCF:0000196	AC:000167	P38550	A0A1S3ZSI0	A0AA96C3P8	SP:0000167	SP:0006908	11_24	CF-B-provisional	remote_sequence
SCF:0000197	AC:000168	C3SYP2	W8T6F0	C3SRY2	SP:0000168	SP:0006910	11_24	CF-B-provisional	remote_sequence
SCF:0000198	AC:000170	Q2EN79	P24964	A0A286SF60	SP:0000170	SP:0006922	11_24	CF-B-provisional	high
SCF:0000199	AC:000171	Q1HFW0	Q1HFX0	W7XJB1	SP:0000171	SP:0006925	11_24	CF-B-provisional	medium
SCF:0000200	AC:000171	Q1HFW0	Q1HFX0	Q1HFV9	SP:0000171	SP:0006926	11_24	CF-B-provisional	medium
SCF:0000201	AC:000171	Q1HFX0	Q1HFW0	Q1HFW2	SP:0000171	SP:0006928	11_24	CF-B-provisional	medium
SCF:0000202	AC:000171	Q1HFX0	Q1HFW0	Q1HFV9	SP:0000171	SP:0006929	11_24	CF-B-provisional	medium
SCF:0000203	AC:000171	Q1HFX0	Q1HFW0	W7XJB1	SP:0000171	SP:0006930	11_24	CF-B-provisional	medium
SCF:0000204	AC:000174	P07471	P07470	P00429	SP:0000174	SP:0006944	11_24	CF-B-provisional	medium
SCF:0000205	AC:000174	P07471	P07470	P13183	SP:0000174	SP:0006945	11_24	CF-B-provisional	medium
SCF:0000206	AC:000176	Q1HFW0	Q1HFW2	W7XJB1	SP:0000176	SP:0006925	11_24	CF-B-provisional	medium
SCF:0000207	AC:000176	Q1HFW0	Q1HFW2	Q1HFV9	SP:0000176	SP:0006926	11_24	CF-B-provisional	medium
SCF:0000208	AC:000176	Q1HFW2	Q1HFW0	Q1HFV9	SP:0000176	SP:0006953	11_24	CF-B-provisional	medium
SCF:0000209	AC:000177	P59768	Q96RJ0	P28223	SP:0000177	SP:0006114	3_10	CF-B-provisional	medium
SCF:0000210	AC:000177	P59768	Q96RJ0	P21728	SP:0000177	SP:0006594	3_10	CF-B-provisional	medium
SCF:0000211	AC:000177	P59768	Q96RJ0	P30872	SP:0000177	SP:0006956	3_10	CF-B-provisional	medium
SCF:0000212	AC:000178	P59768	P35346	P30872	SP:0000178	SP:0006956	3_10	CF-B-provisional	high
SCF:0000213	AC:000178	P59768	P35346	P30874	SP:0000178	SP:0006962	3_10	CF-B-provisional	high
SCF:0000214	AC:000178	P59768	P35346	P41143	SP:0000178	SP:0006595	3_10	CF-B-provisional	medium
