pair_id	role	protein_x	protein_y	ac_id	triplet_id	anchor	assembly_size_stratum	structure_grade_provisional	counterfactual_grade_provisional	sequence_similarity_bin	positive_source	positive_interface_status	orientation
SP:0000048	ac_negative	Q2G111	Q2G2Q1	AC:000048			11_24	Structure-A-provisional					
SP:0000049	ac_negative	P04637	P61218	AC:000049			11_24	Structure-A-provisional					
SP:0000050	ac_negative	P21471	P21476	AC:000050			11_24	Structure-B-provisional					
SP:0000051	ac_negative	P39748	P49005	AC:000051			3_10	Structure-A-provisional					
SP:0000052	ac_negative	Q13426	Q9NP87	AC:000052			11_24	Structure-A-provisional					
SP:0000053	ac_negative	P07839	Q75VY9	AC:000053			11_24	Structure-A-provisional					
SP:0000054	ac_negative	O43402	Q9NPA0	AC:000054			3_10	Structure-B-provisional					
SP:0000055	ac_negative	E9NPS7	I0YQ46	AC:000055			11_24	Structure-A-provisional					
SP:0000056	ac_negative	P09192	P29256	AC:000056			11_24	Structure-B-provisional					
SP:0000057	ac_negative	C4R3Z5	C4R5R1	AC:000057			11_24	Structure-A-provisional					
SP:0000058	ac_negative	O14810	P60880	AC:000058			3_10	Structure-B-provisional					
SP:0000059	ac_negative	A0A444WZ62	A0A445CVZ9	AC:000059			11_24	Structure-A-provisional					
SP:0000060	ac_negative	D7P897	K0J903	AC:000060			11_24	Structure-A-provisional					
SP:0000061	ac_negative	Q8DIP0	Q8DLJ8	AC:000061			11_24	Structure-A-provisional					
SP:0000062	ac_negative	O49653	Q6NMZ4	AC:000062			3_10	Structure-A-provisional					
SP:0000063	ac_negative	O19882	O19928	AC:000063			11_24	Structure-A-provisional					
SP:0000064	ac_negative	P31376	Q12464	AC:000064			11_24	Structure-A-provisional					
SP:0000065	ac_negative	P42919	P56849	AC:000065			11_24	Structure-B-provisional					
SP:0000066	ac_negative	Q2FW20	Q2FXK6	AC:000066			11_24	Structure-A-provisional					
SP:0000067	ac_negative	P13192	P69416	AC:000067			11_24	Structure-A-provisional					
SP:0000068	ac_negative	O94376	O94646	AC:000068			11_24	Structure-A-provisional					
SP:0000069	ac_negative	A0A6I8WFT8	C1K003	AC:000069			11_24	Structure-A-provisional					
SP:0000070	ac_negative	Q969L4	Q9UKF6	AC:000070			3_10	Structure-A-provisional					
SP:0000071	ac_negative	A0A069Q263	A0A069QC99	AC:000071			11_24	Structure-B-provisional					
SP:0000072	ac_negative	P38751	P40465	AC:000072			3_10	Structure-A-provisional					
SP:0000073	ac_negative	P00044	P07256	AC:000073			11_24	Structure-A-provisional					
SP:0000074	ac_negative	G0RZG4	G0SCD1	AC:000074			3_10	Structure-A-provisional					
SP:0000075	ac_negative	Q27RN4	Q27RN5	AC:000075			3_10	Structure-A-provisional					
SP:0000076	ac_negative	P0A9T8	P0ADA1	AC:000076			3_10	Structure-A-provisional					
SP:0000077	ac_negative	A8IH07	A8IJY7	AC:000077			11_24	Structure-B-provisional					
SP:0000078	ac_negative	P07703	P36121	AC:000078			11_24	Structure-A-provisional					
SP:0000079	ac_negative	P28000	P47076	AC:000079			11_24	Structure-A-provisional					
SP:0000080	ac_negative	P01589	P31785	AC:000080			3_10	Structure-A-provisional					
SP:0000081	ac_negative	I7MDA9	I7MLZ4	AC:000081			11_24	Structure-A-provisional					
SP:0000082	ac_negative	P9WGY5	P9WHJ5	AC:000082			3_10	Structure-A-provisional					
SP:0000083	ac_negative	O19928	Q9TM46	AC:000083			11_24	Structure-B-provisional					
SP:0000084	ac_negative	Q940U6	Q9LU39	AC:000084			3_10	Structure-A-provisional					
SP:0000085	ac_negative	Q23YW7	Q24CL2	AC:000085			11_24	Structure-A-provisional					
SP:0000086	ac_negative	Q06339	Q12415	AC:000086			3_10	Structure-A-provisional					
SP:0000087	ac_negative	P20339	Q9P2Y5	AC:000087			3_10	Structure-A-provisional					
SP:0000088	ac_negative	Q05AW3	Q66IZ6	AC:000088			11_24	Structure-A-provisional					
SP:0000089	ac_negative	P53803	P63272	AC:000089			11_24	Structure-A-provisional					
SP:0000090	ac_negative	P20435	Q12004	AC:000090			11_24	Structure-A-provisional					
SP:0000091	ac_negative	O95456	P28070	AC:000091			11_24	Structure-A-provisional					
SP:0000092	ac_negative	Q9CPW4	Q9CVB6	AC:000092			11_24	Structure-B-provisional					
SP:0000093	ac_negative	Q57TX9	Q586H1	AC:000093			11_24	Structure-A-provisional					
SP:0000094	ac_negative	P50990	Q99471	AC:000094			11_24	Structure-A-provisional					
SP:0000095	ac_negative	C4QZ45	C4R7H2	AC:000095			11_24	Structure-A-provisional					
SP:0000096	ac_negative	A0A1S3X2G3	A0A1S3ZQT7	AC:000096			11_24	Structure-A-provisional					
SP:0000097	ac_negative	A0A4V8GZZ7	A0A4V8H005	AC:000097			11_24	Structure-B-provisional					
SP:0000098	ac_negative	P0A800	P0AGB6	AC:000098			3_10	Structure-A-provisional					
SP:0000099	ac_negative	P02309	P47128	AC:000099			11_24	Structure-A-provisional					
SP:0000100	ac_negative	G0RZG4	G0S1P1	AC:000100			3_10	Structure-B-provisional					
SP:0000101	ac_negative	C1K003	Q56D18	AC:000101			11_24	Structure-A-provisional					
SP:0000102	ac_negative	Q95695	Q9FG89	AC:000102			11_24	Structure-A-provisional					
SP:0000103	ac_negative	Q2FZ25	Q2G113	AC:000103			11_24	Structure-B-provisional					
SP:0000104	ac_negative	Q83D88	Q83EQ9	AC:000104			11_24	Structure-A-provisional					
SP:0000105	ac_negative	P40208	Q12027	AC:000105			3_10	Structure-A-provisional					
SP:0000106	ac_negative	F2Z4H3	Q32PE0	AC:000106			11_24	Structure-B-provisional					
SP:0000107	ac_negative	P08913	P59768	AC:000107			3_10	Structure-A-provisional					
SP:0000108	ac_negative	C4R2U9	C4R997	AC:000108			11_24	Structure-A-provisional					
SP:0000109	ac_negative	P73069	Q55330	AC:000109			11_24	Structure-B-provisional					
SP:0000110	ac_negative	Q8DKZ4	Q8DLL4	AC:000110			11_24	Structure-A-provisional					
SP:0000111	ac_negative	D7NIZ2	D8V7I7	AC:000111			11_24	Structure-A-provisional					
SP:0000112	ac_negative	Q9BQ15	Q9UL03	AC:000112			11_24	Structure-B-provisional					
SP:0000113	ac_negative	P50991	P61758	AC:000113			11_24	Structure-A-provisional					
SP:0000114	ac_negative	P61201	Q9UBF6	AC:000114			11_24	Structure-A-provisional					
SP:0000115	ac_negative	Q00578	Q12004	AC:000115			11_24	Structure-A-provisional					
SP:0000116	ac_negative	A0A125YS93	A0A125YU99	AC:000116			11_24	Structure-A-provisional					
SP:0000117	ac_negative	E1C9K8	P17227	AC:000117			11_24	Structure-B-provisional					
SP:0000118	ac_negative	A0A2K1IAD0	A0A2K1IB10	AC:000118			11_24	Structure-A-provisional					
SP:0000119	ac_negative	P25515	P38784	AC:000119			11_24	Structure-A-provisional					
SP:0000120	ac_negative	P02602	P68135	AC:000120			3_10	Structure-A-provisional					
SP:0000121	ac_negative	Q9VLI9	Q9VUZ1	AC:000121			3_10	Structure-A-provisional					
SP:0000122	ac_negative	P01116	Q13617	AC:000122			3_10	Structure-B-provisional					
SP:0000123	ac_negative	Q96SY0	Q9NV88	AC:000123			11_24	Structure-B-provisional					
SP:0000124	ac_negative	Q9NVM9	Q9NVR2	AC:000124			11_24	Structure-A-provisional					
SP:0000125	ac_negative	A0A1S3XP85	A0A1S4BFK7	AC:000125			11_24	Structure-A-provisional					
SP:0000126	ac_negative	A0A4V8GZZ6	A0A4V8GZZ7	AC:000126			11_24	Structure-A-provisional					
SP:0000127	ac_negative	O15446	Q3B726	AC:000127			11_24	Structure-A-provisional					
SP:0000128	ac_negative	O60921	P35250	AC:000128			3_10	Structure-A-provisional					
SP:0000129	ac_negative	P07305	P62805	AC:000129			11_24	Structure-B-provisional					
SP:0000130	ac_negative	P03903	Q9CR21	AC:000130			11_24	Structure-A-provisional					
SP:0000131	ac_negative	A0A6C0M5W0	A0ABF7PQ09	AC:000131			11_24	Structure-A-provisional					
SP:0000132	ac_negative	P20436	P32910	AC:000132			11_24	Structure-B-provisional					
SP:0000133	ac_negative	A0T0V1	B8CEQ3	AC:000133			11_24	Structure-A-provisional					
SP:0000134	ac_negative	Q83EQ3	Q83ES5	AC:000134			11_24	Structure-B-provisional					
SP:0000135	ac_negative	Q99832	Q9NQP4	AC:000135			11_24	Structure-B-provisional					
SP:0000136	ac_negative	P39933	Q12308	AC:000136			3_10	Structure-A-provisional					
SP:0000137	ac_negative	A0AAB0B1U3	A0AAB0B1V7	AC:000137			3_10	Structure-A-provisional					
SP:0000138	ac_negative	A0A2P6TPV8	A0A2P6TQ14	AC:000138			11_24	Structure-B-provisional					
SP:0000139	ac_negative	D5MAL3	Q32904	AC:000139			11_24	Structure-A-provisional					
SP:0000140	ac_negative	P56768	Q949Q5	AC:000140			11_24	Structure-A-provisional					
SP:0000141	ac_negative	O19925	Q76FB0	AC:000141			11_24	Structure-B-provisional					
SP:0000142	ac_negative	P12356	Q75VY9	AC:000142			11_24	Structure-A-provisional					
SP:0000143	ac_negative	E1C9K6	E1C9K9	AC:000143			11_24	Structure-A-provisional					
SP:0000144	ac_negative	Q08920	Q12330	AC:000144			11_24	Structure-B-provisional					
SP:0000145	ac_negative	E9NPW6	I0YPL4	AC:000145			11_24	Structure-A-provisional					
SP:0000146	ac_negative	A0A063X781	A0A063XCP1	AC:000146			11_24	Structure-A-provisional					
SP:0000147	ac_negative	E9NPV2	I0YWK6	AC:000147			11_24	Structure-A-provisional					
SP:0000148	ac_negative	O15514	Q00403	AC:000148			11_24	Structure-B-provisional					
SP:0000149	ac_negative	Q09177	Q09191	AC:000149			11_24	Structure-A-provisional					
SP:0000150	ac_negative	P0A431	P59087	AC:000150			11_24	Structure-B-provisional					
SP:0000151	ac_negative	A0A4X1VEK9	A0A8D1B522	AC:000151			11_24	Structure-B-provisional					
SP:0000152	ac_negative	P09190	P73069	AC:000152			11_24	Structure-A-provisional					
SP:0000153	ac_negative	Q01667	Q8LCQ4	AC:000153			11_24	Structure-A-provisional					
SP:0000154	ac_negative	P52435	P63272	AC:000154			11_24	Structure-A-provisional					
SP:0000155	ac_negative	E3UIU6	M2XWX3	AC:000155			11_24	Structure-A-provisional					
SP:0000156	ac_negative	P59768	Q9GZQ6	AC:000156			3_10	Structure-B-provisional					
SP:0000157	ac_negative	A1B4F4	A1BA41	AC:000157			11_24	Structure-B-provisional					
SP:0000158	ac_negative	P0A7W7	P69222	AC:000158			11_24	Structure-B-provisional					
SP:0000159	ac_negative	O74825	P36595	AC:000159			11_24	Structure-A-provisional					
SP:0000160	ac_negative	O52760	P45684	AC:000160			3_10	Structure-A-provisional					
SP:0000161	ac_negative	Q9P6Q0	Q9Y7N2	AC:000161			11_24	Structure-B-provisional					
SP:0000162	ac_negative	F2QT90	F2R0J7	AC:000162			11_24	Structure-A-provisional					
SP:0000163	ac_negative	A0A125YN38	S7W9J5	AC:000163			11_24	Structure-A-provisional					
SP:0000164	ac_negative	Q9VBI1	Q9XYU1	AC:000164			11_24	Structure-B-provisional					
SP:0000165	ac_negative	P49427	Q15370	AC:000165			3_10	Structure-B-provisional					
SP:0000166	ac_negative	A0A2K1IAD0	A0A2K1JC42	AC:000166			11_24	Structure-A-provisional					
SP:0000167	ac_negative	A0A1S3ZSI0	P38550	AC:000167			11_24	Structure-A-provisional					
SP:0000168	ac_negative	C3SYP2	W8T6F0	AC:000168			11_24	Structure-A-provisional					
SP:0000169	ac_negative	Q8SD23	Q8SDD6	AC:000169			11_24	Structure-A-provisional					
SP:0000170	ac_negative	P24964	Q2EN79	AC:000170			11_24	Structure-A-provisional					
SP:0000171	ac_negative	Q1HFW0	Q1HFX0	AC:000171			11_24	Structure-A-provisional					
SP:0000172	ac_negative	B0C4H4	B0C7S7	AC:000172			3_10	Structure-A-provisional					
SP:0000173	ac_negative	A0A1S4CKK0	A0A1S4D7C7	AC:000173			11_24	Structure-A-provisional					
SP:0000174	ac_negative	P07470	P07471	AC:000174			11_24	Structure-B-provisional					
SP:0000175	ac_negative	Q9P4W1	Q9UTF6	AC:000175			11_24	Structure-A-provisional					
SP:0000176	ac_negative	Q1HFW0	Q1HFW2	AC:000176			11_24	Structure-A-provisional					
SP:0000177	ac_negative	P59768	Q96RJ0	AC:000177			3_10	Structure-B-provisional					
SP:0000178	ac_negative	P35346	P59768	AC:000178			3_10	Structure-B-provisional					
SP:0000179	ac_negative	O31742	P19947	AC:000179			11_24	Structure-B-provisional					
SP:0000180	ac_negative	Q8DJD9	Q8DKF5	AC:000180			11_24	Structure-A-provisional					
SP:0000181	ac_negative	A0A4V8H007	A0A4V8H010	AC:000181			11_24	Structure-A-provisional					
SP:0000182	ac_negative	A8IKI9	A8J4K5	AC:000182			11_24	Structure-B-provisional					
SP:0000183	ac_negative	A0T0S9	A0T0V0	AC:000183			11_24	Structure-A-provisional					
SP:0000184	ac_negative	P19658	P33332	AC:000184			3_10	Structure-A-provisional					
SP:0000185	ac_negative	P39543	P40540	AC:000185			11_24	Structure-A-provisional					
SP:0000186	ac_negative	P16370	Q02792	AC:000186			11_24	Structure-A-provisional					
SP:0000187	ac_negative	P30665	P54784	AC:000187			11_24	Structure-A-provisional					
SP:0000188	ac_negative	A0A140G1Q3	A0A1S4BFK7	AC:000188			11_24	Structure-A-provisional					
SP:0000189	ac_negative	M1VKK5	Q85G47	AC:000189			11_24	Structure-B-provisional					
SP:0000190	ac_negative	P62877	Q96L50	AC:000190			11_24	Structure-A-provisional					
SP:0000191	ac_negative	P39933	Q06339	AC:000191			3_10	Structure-A-provisional					
SP:0000192	ac_negative	A0A2K1JDR4	A0A2K1JLW2	AC:000192			11_24	Structure-B-provisional					
SP:0000193	ac_negative	P0A7G2	P0AG63	AC:000193			11_24	Structure-A-provisional					
SP:0000194	ac_negative	P06839	P14736	AC:000194			3_10	Structure-A-provisional					
SP:0000195	ac_negative	F2CW18	F2DAN8	AC:000195			11_24	Structure-A-provisional					
SP:0000196	ac_negative	A3DF17	A3DH98	AC:000196			3_10	Structure-A-provisional					
SP:0000197	ac_negative	P58066	Q9A999	AC:000197			3_10	Structure-A-provisional					
SP:0000198	ac_negative	P58568	Q8YQ35	AC:000198			11_24	Structure-B-provisional					
SP:0000199	ac_negative	D7P6B9	K0J903	AC:000199			11_24	Structure-B-provisional					
SP:0000200	ac_negative	P49735	Q9XYU0	AC:000200			11_24	Structure-A-provisional					
SP:0000201	ac_negative	P0AB98	P0ABA4	AC:000201			11_24	Structure-A-provisional					
SP:0000202	ac_negative	P40337	P62877	AC:000202			3_10	Structure-A-provisional					
SP:0000203	ac_negative	P61769	Q6PJ56	AC:000203			3_10	Structure-A-provisional					
SP:0000204	ac_negative	P23968	P41806	AC:000204			11_24	Structure-B-provisional					
SP:0000205	ac_negative	A0A0M3KL13	E1C9K6	AC:000205			11_24	Structure-A-provisional					
SP:0000206	ac_negative	A8J7H8	Q9FV97	AC:000206			11_24	Structure-A-provisional					
SP:0000207	ac_negative	P32447	P53853	AC:000207			3_10	Structure-B-provisional					
SP:0000208	ac_negative	P36578	Q9BXJ9	AC:000208			11_24	Structure-A-provisional					
SP:0000209	ac_negative	P43627	P61769	AC:000209			3_10	Structure-A-provisional					
SP:0000210	ac_negative	P63104	Q15369	AC:000210			3_10	Structure-A-provisional					
SP:0000211	ac_negative	A0A4V8GZZ7	A0A4V8H007	AC:000211			11_24	Structure-B-provisional					
SP:0000212	ac_negative	Q06675	Q2V2P8	AC:000212			11_24	Structure-B-provisional					
SP:0000213	ac_negative	A0A4V8H002	A0A4V8H007	AC:000213			11_24	Structure-A-provisional					
SP:0000214	ac_negative	P47047	Q12277	AC:000214			11_24	Structure-A-provisional					
SP:0000215	ac_negative	F4JYR0	Q9SN86	AC:000215			11_24	Structure-A-provisional					
SP:0000216	ac_negative	P01887	Q5R1F1	AC:000216			3_10	Structure-A-provisional					
SP:0000217	ac_negative	T1RJ05	T1RJ07	AC:000217			11_24	Structure-A-provisional					
SP:0000218	ac_negative	P04911	Q12509	AC:000218			11_24	Structure-A-provisional					
SP:0000219	ac_negative	P0A7Z6	P0A802	AC:000219			3_10	Structure-A-provisional					
SP:0000220	ac_negative	Q5U4U4	Q7ZT47	AC:000220			11_24	Structure-A-provisional					
SP:0000221	ac_negative	A0A2P6TPR7	A0A2P6TZ50	AC:000221			11_24	Structure-A-provisional					
SP:0000222	ac_negative	O15514	P60002	AC:000222			11_24	Structure-B-provisional					
SP:0000223	ac_negative	E3UIU1	M2VTV2	AC:000223			11_24	Structure-A-provisional					
SP:0000224	ac_negative	A6QRA1	O81097	AC:000224			11_24	Structure-A-provisional					
SP:0000225	ac_negative	P60002	P62487	AC:000225			11_24	Structure-A-provisional					
SP:0000226	ac_negative	A0A0F6NGI2	P09911	AC:000226			11_24	Structure-A-provisional					
SP:0000227	ac_negative	P20436	P47076	AC:000227			11_24	Structure-A-provisional					
SP:0000228	ac_negative	P40937	Q99638	AC:000228			3_10	Structure-A-provisional					
SP:0000229	ac_negative	P63096	Q07325	AC:000229			3_10	Structure-A-provisional					
SP:0000230	ac_negative	P0A8T7	P0ACJ8	AC:000230			3_10	Structure-B-provisional					
SP:0000231	ac_negative	P60900	Q9BT73	AC:000231			11_24	Structure-B-provisional					
SP:0000232	ac_negative	C4R0E6	C4R3P8	AC:000232			11_24	Structure-B-provisional					
SP:0000233	ac_negative	P22139	P53063	AC:000233			11_24	Structure-A-provisional					
SP:0000234	ac_negative	Q49QE8	Q49QI2	AC:000234			11_24	Structure-A-provisional					
SP:0000235	ac_negative	P0DOX5	Q8N5F4	AC:000235			11_24	Structure-A-provisional					
SP:0000236	ac_negative	Q22MV2	Q22R86	AC:000236			11_24	Structure-A-provisional					
SP:0000237	ac_negative	A0A2P6TPR7	A0A2P6TPV8	AC:000237			11_24	Structure-B-provisional					
SP:0000238	ac_negative	A0A1P7WFW1	A0A1P7WFW4	AC:000238			11_24	Structure-A-provisional					
SP:0000239	ac_negative	C1DMA5	Q9F5Y0	AC:000239			3_10	Structure-A-provisional					
SP:0000240	ac_negative	P38291	Q12530	AC:000240			11_24	Structure-A-provisional					
SP:0000241	ac_negative	A0A9R0J252	P06505	AC:000241			11_24	Structure-A-provisional					
SP:0000242	ac_negative	Q9FHW7	Q9SLH3	AC:000242			3_10	Structure-A-provisional					
SP:0000243	ac_negative	O15446	P0DPB6	AC:000243			11_24	Structure-A-provisional					
SP:0000244	ac_negative	B7IA16	B7IBC1	AC:000244			11_24	Structure-B-provisional					
SP:0000245	ac_negative	A0A3B6IU74	W5I035	AC:000245			11_24	Structure-B-provisional					
SP:0000246	ac_negative	A0QS97	A0QSD5	AC:000246			11_24	Structure-B-provisional					
SP:0000247	ac_negative	P01887	P04214	AC:000247			3_10	Structure-A-provisional					
SP:0000248	ac_negative	A0A2P6TKF8	A0A2P6TZ50	AC:000248			11_24	Structure-B-provisional					
SP:0000249	ac_negative	Q8DL30	Q8DL61	AC:000249			11_24	Structure-A-provisional					
SP:0000250	ac_negative	A0A9R0K533	P06505	AC:000250			11_24	Structure-A-provisional					
SP:0000251	ac_negative	O95456	P20618	AC:000251			11_24	Structure-A-provisional					
SP:0000252	ac_negative	P78346	Q9BUL9	AC:000252			11_24	Structure-B-provisional					
SP:0000253	ac_negative	P20339	Q14457	AC:000253			3_10	Structure-A-provisional					
SP:0000254	ac_negative	P62875	Q9HAW0	AC:000254			11_24	Structure-A-provisional					
SP:0000255	ac_negative	A0A2K3E6S5	P92276	AC:000255			11_24	Structure-A-provisional					
SP:0000256	ac_negative	P13051	Q16531	AC:000256			3_10	Structure-B-provisional					
SP:0000257	ac_negative	A0A2K3CYB6	A8HUP3	AC:000257			11_24	Structure-A-provisional					
SP:0000258	ac_negative	P0A7G2	P0A7W7	AC:000258			11_24	Structure-B-provisional					
SP:0000259	ac_negative	Q22A67	Q240X9	AC:000259			11_24	Structure-A-provisional					
SP:0000260	ac_negative	A0A2K1JC42	Q6YXQ2	AC:000260			11_24	Structure-A-provisional					
SP:0000261	ac_negative	A2A825	Q8C456	AC:000261			3_10	Structure-A-provisional					
SP:0000262	ac_negative	P0A7W1	P39286	AC:000262			11_24	Structure-B-provisional					
SP:0000263	ac_negative	A0A2V3F2U6	E2RXT8	AC:000263			11_24	Structure-B-provisional					
SP:0000264	ac_negative	A0A2P6TMX4	W8SKM2	AC:000264			11_24	Structure-B-provisional					
SP:0000265	ac_negative	P06224	P12464	AC:000265			3_10	Structure-A-provisional					
SP:0000266	ac_negative	Q15382	Q7L523	AC:000266			11_24	Structure-A-provisional					
SP:0000267	ac_negative	P38632	Q05541	AC:000267			3_10	Structure-B-provisional					
SP:0000268	ac_negative	Q24DJ0	W7WX86	AC:000268			11_24	Structure-B-provisional					
SP:0000269	ac_negative	A0A063X781	A0A063X8U6	AC:000269			11_24	Structure-B-provisional					
SP:0000270	ac_negative	D7P6B9	D8V7I7	AC:000270			11_24	Structure-A-provisional					
SP:0000271	ac_negative	B8YB59	B8YB61	AC:000271			11_24	Structure-A-provisional					
SP:0000272	ac_negative	P31376	Q03940	AC:000272			11_24	Structure-A-provisional					
SP:0000273	ac_negative	P30989	P50148	AC:000273			3_10	Structure-A-provisional					
SP:0000274	ac_negative	P0AB98	P0ABA6	AC:000274			11_24	Structure-A-provisional					
SP:0000275	ac_negative	P10606	Q9BW72	AC:000275			11_24	Structure-A-provisional					
SP:0000276	ac_negative	A8IH07	A8IXD6	AC:000276			11_24	Structure-B-provisional					
SP:0000277	ac_negative	B8YB57	B8YB64	AC:000277			11_24	Structure-A-provisional					
SP:0000278	ac_negative	P47047	P53256	AC:000278			11_24	Structure-B-provisional					
SP:0000279	ac_negative	G0S8E0	G0SEC7	AC:000279			11_24	Structure-A-provisional					
SP:0000280	ac_negative	P00746	P01024	AC:000280			3_10	Structure-A-provisional					
SP:0000281	ac_negative	Q9BQ15	Q9NV88	AC:000281			11_24	Structure-B-provisional					
SP:0000282	ac_negative	B4DIJ7	Q9C005	AC:000282			11_24	Structure-A-provisional					
SP:0000283	ac_negative	Q14181	Q9H668	AC:000283			3_10	Structure-B-provisional					
SP:0000284	ac_negative	P29496	P54791	AC:000284			11_24	Structure-A-provisional					
SP:0000285	ac_negative	A0A2K9VK88	A0A2K9VK98	AC:000285			11_24	Structure-A-provisional					
SP:0000286	ac_negative	P02309	Q12509	AC:000286			11_24	Structure-B-provisional					
SP:0000287	ac_negative	Q75VY4	Q75VZ0	AC:000287			11_24	Structure-B-provisional					
SP:0000288	ac_negative	P0DOX5	S6B291	AC:000288			11_24	Structure-B-provisional					
SP:0000289	ac_negative	P31173	P48116	AC:000289			3_10	Structure-A-provisional					
SP:0000290	ac_negative	Q8NAC3	Q96F46	AC:000290			3_10	Structure-A-provisional					
SP:0000291	ac_negative	B6SQZ7	B6U534	AC:000291			11_24	Structure-A-provisional					
SP:0000292	ac_negative	P41227	P84098	AC:000292			11_24	Structure-B-provisional					
SP:0000293	ac_negative	P60292	Q8U0M4	AC:000293			11_24	Structure-A-provisional					
SP:0000294	ac_negative	P62090	Q9SHE8	AC:000294			11_24	Structure-A-provisional					
SP:0000295	ac_negative	Q96RY7	Q9P2L0	AC:000295			3_10	Structure-A-provisional					
SP:0000296	ac_negative	Q8U0Z8	Q8U104	AC:000296			11_24	Structure-A-provisional					
