triplet_id	split	anchor	c	d	r	fam_a	fam_c	fam_d	ad_id	ac_id	ar_id
SCF:0000090	train_eligible	I7MDA9	I7MLZ4	Q229S1	Q22R86	I7MDA9	I7MLZ4	Q229S1	SCF:0000090|AD	SCF:0000090|AC	SCF:0000090|AR
SCF:0000093	train_eligible	Q23YW7	Q24CL2	Q24DJ0	Q22R86	Q23YW7	Q24CL2	Q24DJ0	SCF:0000093|AD	SCF:0000093|AC	SCF:0000093|AR
SCF:0000094	train_eligible	Q24CL2	Q23YW7	Q23S05	I7MLZ4	Q24CL2	Q23YW7	Q23S05	SCF:0000094|AD	SCF:0000094|AC	SCF:0000094|AR
SCF:0000096	train_eligible	P63272	P53803	A0A4X1TRS6	P28070	P63272	A0A4X1TRS6	A0A4X1TRS6	SCF:0000096|AD	SCF:0000096|AC	SCF:0000096|AR
SCF:0000097	train_eligible	O95456	P28070	P60900	P53803	O95456	P28070	P60900	SCF:0000097|AD	SCF:0000097|AC	SCF:0000097|AR
SCF:0000098	train_eligible	O95456	P28070	P25788	Q99471	O95456	P28070	P25788	SCF:0000098|AD	SCF:0000098|AC	SCF:0000098|AR
SCF:0000099	train_eligible	O95456	P28070	O14818	P50990	O95456	P28070	O14818	SCF:0000099|AD	SCF:0000099|AC	SCF:0000099|AR
SCF:0000100	train_eligible	P28070	O95456	P48556	P50990	P28070	O95456	P48556	SCF:0000100|AD	SCF:0000100|AC	SCF:0000100|AR
SCF:0000101	train_eligible	P28070	O95456	O14818	P08913	P28070	O95456	O14818	SCF:0000101|AD	SCF:0000101|AC	SCF:0000101|AR
SCF:0000102	train_eligible	P50990	Q99471	O15212	P28070	Q3ZCI9	Q99471	O15212	SCF:0000102|AD	SCF:0000102|AC	SCF:0000102|AR
SCF:0000103	train_eligible	Q99471	P50990	P49368	P28070	Q99471	Q3ZCI9	Q3T0K2	SCF:0000103|AD	SCF:0000103|AC	SCF:0000103|AR
SCF:0000104	train_eligible	Q99471	P50990	P40227	O95456	Q99471	Q3ZCI9	P40227	SCF:0000104|AD	SCF:0000104|AC	SCF:0000104|AR
SCF:0000106	train_eligible	A0A1S3ZQT7	A0A1S3X2G3	A0A1S3YU01	A0A1S4BFK7	A0A1S3ZQT7	A0A1S3X2G3	A0A1S3YU01	SCF:0000106|AD	SCF:0000106|AC	SCF:0000106|AR
SCF:0000110	train_eligible	P47128	P02309	P61830	P32910	P47128	P62805	P02299	SCF:0000110|AD	SCF:0000110|AC	SCF:0000110|AR
SCF:0000112	train_eligible	G0RZG4	G0S1P1	G0SC21	G0SCD1	G0RZG4	G0S1P1	G0SC21	SCF:0000112|AD	SCF:0000112|AC	SCF:0000112|AR
SCF:0000113	train_eligible	Q2FZ25	Q2G113	Q2FW20	Q2G2Q1	A0QVB8	P21468	Q2FW20	SCF:0000113|AD	SCF:0000113|AC	SCF:0000113|AR
SCF:0000114	train_eligible	P59768	P08913	P21728	O95456	P59768	P08913	P21728	SCF:0000114|AD	SCF:0000114|AC	SCF:0000114|AR
SCF:0000115	train_eligible	P59768	P08913	P28223	P61758	P59768	P08913	P28223	SCF:0000115|AD	SCF:0000115|AC	SCF:0000115|AR
SCF:0000116	train_eligible	P59768	P08913	P41143	P61758	P59768	P08913	P41143	SCF:0000116|AD	SCF:0000116|AC	SCF:0000116|AR
SCF:0000117	train_eligible	Q8DLL4	Q8DKZ4	Q8DL31	P59087	Q8DLL4	Q8DKZ4	Q8DL31	SCF:0000117|AD	SCF:0000117|AC	SCF:0000117|AR
SCF:0000119	train_eligible	P50991	P61758	O15212	P08913	P50991	P61758	O15212	SCF:0000119|AD	SCF:0000119|AC	SCF:0000119|AR
SCF:0000120	train_eligible	P50991	P61758	Q9NQP4	P08913	P50991	P61758	Q9NQP4	SCF:0000120|AD	SCF:0000120|AC	SCF:0000120|AR
SCF:0000121	train_eligible	P61201	Q9UBF6	P62877	Q9NV88	P61201	P62877	P62877	SCF:0000121|AD	SCF:0000121|AC	SCF:0000121|AR
SCF:0000122	train_eligible	Q9UBF6	P61201	Q9UNS2	Q13617	P62877	P61201	Q9UNS2	SCF:0000122|AD	SCF:0000122|AC	SCF:0000122|AR
SCF:0000127	train_eligible	P68135	P02602	P14649	P24732	P68134	P02602	P02602	SCF:0000127|AD	SCF:0000127|AC	SCF:0000127|AR
SCF:0000128	train_eligible	P68135	P02602	P0DP26	P24732	P68134	P02602	P0DP23	SCF:0000128|AD	SCF:0000128|AC	SCF:0000128|AR
SCF:0000129	train_eligible	P68135	P02602	P68246	P24732	P68134	P02602	P68246	SCF:0000129|AD	SCF:0000129|AC	SCF:0000129|AR
SCF:0000131	train_eligible	P01116	Q13617	P07900	Q9UBF6	P01116	Q13617	P07900	SCF:0000131|AD	SCF:0000131|AC	SCF:0000131|AR
SCF:0000132	train_eligible	Q96SY0	Q9NV88	Q9NVM9	P61201	Q96SY0	Q9NV88	Q9NVM9	SCF:0000132|AD	SCF:0000132|AC	SCF:0000132|AR
SCF:0000133	train_eligible	Q96SY0	Q9NV88	Q9NVR2	O15446	Q96SY0	Q9NV88	Q9NVR2	SCF:0000133|AD	SCF:0000133|AC	SCF:0000133|AR
SCF:0000134	train_eligible	Q9NVM9	Q9NVR2	Q9NV88	P62805	Q9NVM9	Q9NVR2	Q9NV88	SCF:0000134|AD	SCF:0000134|AC	SCF:0000134|AR
SCF:0000135	train_eligible	Q9NVR2	Q9NVM9	Q9NV88	P07305	Q9NVR2	Q9NVM9	Q9NV88	SCF:0000135|AD	SCF:0000135|AC	SCF:0000135|AR
SCF:0000136	train_eligible	Q9NVR2	Q9NVM9	Q5TA45	P07305	Q9NVR2	Q9NVM9	Q5TA45	SCF:0000136|AD	SCF:0000136|AC	SCF:0000136|AR
SCF:0000137	train_eligible	A0A1S3XP85	A0A1S4BFK7	A0A1S4CE74	A0A1S3X2G3	A0A1S3X2G3	A0A1S4BFK7	A0A9R0JBX6	SCF:0000137|AD	SCF:0000137|AC	SCF:0000137|AR
SCF:0000138	train_eligible	A0A1S4BFK7	A0A1S3XP85	A0A1S3YEW3	A0A1S3ZSI0	A0A1S4BFK7	A0A1S3X2G3	A0A1S3YEW3	SCF:0000138|AD	SCF:0000138|AC	SCF:0000138|AR
SCF:0000143	train_eligible	Q3B726	O15446	Q9GZS1	Q9NV88	Q3B726	O15446	Q9GZS1	SCF:0000143|AD	SCF:0000143|AC	SCF:0000143|AR
SCF:0000144	train_eligible	P07305	P62805	P04908	Q9NVR2	P07305	P62805	P0C0S5	SCF:0000144|AD	SCF:0000144|AC	SCF:0000144|AR
SCF:0000145	train_eligible	P62805	P07305	P10412	Q9NVM9	P62805	P07305	P10412	SCF:0000145|AD	SCF:0000145|AC	SCF:0000145|AR
SCF:0000146	train_eligible	P62805	P07305	A0A1B8Y854	Q9NVM9	P62805	P07305	A0A1B8Y854	SCF:0000146|AD	SCF:0000146|AC	SCF:0000146|AR
SCF:0000147	train_eligible	P62805	P07305	P33778	Q99832	P62805	P07305	O23629	SCF:0000147|AD	SCF:0000147|AC	SCF:0000147|AR
SCF:0000148	train_eligible	P20436	P32910	P29055	P02309	C4R273	P32910	P29055	SCF:0000148|AD	SCF:0000148|AC	SCF:0000148|AR
SCF:0000149	train_eligible	P20436	P32910	P46669	P33332	C4R273	P32910	P46669	SCF:0000149|AD	SCF:0000149|AC	SCF:0000149|AR
SCF:0000150	train_eligible	P20436	P32910	P07703	P19658	C4R273	P32910	P07703	SCF:0000150|AD	SCF:0000150|AC	SCF:0000150|AR
SCF:0000151	train_eligible	A0T0V1	B8CEQ3	B8C770	B8BUW3	Q55329	B8CEQ3	B8C770	SCF:0000151|AD	SCF:0000151|AC	SCF:0000151|AR
SCF:0000152	train_eligible	A0T0V1	B8CEQ3	B8C2K6	B8BUW3	Q55329	B8CEQ3	B8C2K6	SCF:0000152|AD	SCF:0000152|AC	SCF:0000152|AR
SCF:0000153	train_eligible	B8CEQ3	A0T0V1	A0T0S1	A0T0M9	B8CEQ3	Q55329	A0T0S1	SCF:0000153|AD	SCF:0000153|AC	SCF:0000153|AR
SCF:0000154	train_eligible	Q9NQP4	Q99832	P50991	P07305	Q9NQP4	Q99832	P50991	SCF:0000154|AD	SCF:0000154|AC	SCF:0000154|AR
SCF:0000159	train_eligible	P56768	Q949Q5	Q9SUI6	Q01667	E9NPX1	B6SQZ7	A0A2K1JDR4	SCF:0000159|AD	SCF:0000159|AC	SCF:0000159|AR
SCF:0000160	train_eligible	P56768	Q949Q5	Q9SUI7	Q01667	E9NPX1	B6SQZ7	A0A2K1JDR4	SCF:0000160|AD	SCF:0000160|AC	SCF:0000160|AR
SCF:0000164	train_eligible	E1C9K6	E1C9K9	A0A0M3KL10	A0A0M3KL13	B8LEQ8	E1C9K9	A0A0M3KL10	SCF:0000164|AD	SCF:0000164|AC	SCF:0000164|AR
SCF:0000169	train_eligible	A0A063XCP1	A0A063X781	A0A063X754	A0A063XF22	P0A0F8	A0A063X781	A0A063X754	SCF:0000169|AD	SCF:0000169|AC	SCF:0000169|AR
SCF:0000173	train_eligible	Q00403	O15514	Q15543	Q9GZQ6	Q00403	Q9VEA5	Q15543	SCF:0000173|AD	SCF:0000173|AC	SCF:0000173|AR
SCF:0000174	train_eligible	P0A431	P59087	Q8DIN9	Q8DKZ4	P0A431	Q7DGD4	P12239	SCF:0000174|AD	SCF:0000174|AC	SCF:0000174|AR
SCF:0000175	train_eligible	P0A431	P59087	Q8DJZ6	Q8DKF5	P0A431	Q7DGD4	P12240	SCF:0000175|AD	SCF:0000175|AC	SCF:0000175|AR
SCF:0000180	train_eligible	Q8LCQ4	Q01667	Q9SY97	Q949Q5	F2D0D5	A0A9R0J8B1	A0A2K1IB10	SCF:0000180|AD	SCF:0000180|AC	SCF:0000180|AR
SCF:0000181	train_eligible	Q8LCQ4	Q01667	Q94AQ8	Q949Q5	F2D0D5	A0A9R0J8B1	Q94AQ8	SCF:0000181|AD	SCF:0000181|AC	SCF:0000181|AR
SCF:0000182	train_eligible	P59768	Q9GZQ6	P41145	O15514	P59768	Q9GZQ6	P41143	SCF:0000182|AD	SCF:0000182|AC	SCF:0000182|AR
SCF:0000183	train_eligible	P59768	Q9GZQ6	Q9UPC5	P49427	P59768	Q9GZQ6	Q9UPC5	SCF:0000183|AD	SCF:0000183|AC	SCF:0000183|AR
SCF:0000184	train_eligible	P0A7W7	P69222	P0A7T7	P0A7G2	Q83ER2	Q5SHR1	A0A2V3DLV3	SCF:0000184|AD	SCF:0000184|AC	SCF:0000184|AR
SCF:0000186	train_eligible	Q9Y7N2	Q9P6Q0	P87310	O14010	Q9Y7N2	Q9P6Q0	P87310	SCF:0000186|AD	SCF:0000186|AC	SCF:0000186|AR
SCF:0000190	train_eligible	Q9XYU1	Q9VBI1	Q9VQY9	P49735	P25205	Q9VBI1	Q9VQY9	SCF:0000190|AD	SCF:0000190|AC	SCF:0000190|AR
SCF:0000191	train_eligible	Q9XYU1	Q9VBI1	Q9W2V7	P49735	P25205	Q9VBI1	Q9W2V7	SCF:0000191|AD	SCF:0000191|AC	SCF:0000191|AR
SCF:0000192	train_eligible	Q15370	P49427	Q712K3	Q9GZQ6	Q15370	P49427	P49427	SCF:0000192|AD	SCF:0000192|AC	SCF:0000192|AR
SCF:0000193	train_eligible	Q15370	P49427	Q13084	Q96RJ0	Q15370	P49427	Q13084	SCF:0000193|AD	SCF:0000193|AC	SCF:0000193|AR
SCF:0000195	train_eligible	P38550	A0A1S3ZSI0	A0A1S3YXM6	A0A1S4BFK7	P11704	A0A1S3ZSI0	A0A9R0JF29	SCF:0000195|AD	SCF:0000195|AC	SCF:0000195|AR
SCF:0000196	train_eligible	P38550	A0A1S3ZSI0	A0AA96C3P8	A0A1S3YEW3	P11704	A0A1S3ZSI0	A0AA96C3P8	SCF:0000196|AD	SCF:0000196|AC	SCF:0000196|AR
SCF:0000197	train_eligible	C3SYP2	W8T6F0	C3SRY2	C3SR52	C3SYP2	Q83D76	C3SRY2	SCF:0000197|AD	SCF:0000197|AC	SCF:0000197|AR
SCF:0000199	train_eligible	Q1HFW0	Q1HFX0	W7XJB1	Q1HFW2	Q24CE5	Q1HFX0	W7XJB1	SCF:0000199|AD	SCF:0000199|AC	SCF:0000199|AR
SCF:0000200	train_eligible	Q1HFW0	Q1HFX0	Q1HFV9	Q1HFW2	Q24CE5	Q1HFX0	Q24DI9	SCF:0000200|AD	SCF:0000200|AC	SCF:0000200|AR
SCF:0000201	train_eligible	Q1HFX0	Q1HFW0	Q1HFW2	Q1HFX1	Q1HFX0	Q24CE5	Q1HFW2	SCF:0000201|AD	SCF:0000201|AC	SCF:0000201|AR
SCF:0000202	train_eligible	Q1HFX0	Q1HFW0	Q1HFV9	Q1HGH8	Q1HFX0	Q24CE5	Q24DI9	SCF:0000202|AD	SCF:0000202|AC	SCF:0000202|AR
SCF:0000203	train_eligible	Q1HFX0	Q1HFW0	W7XJB1	Q1HGH8	Q1HFX0	Q24CE5	W7XJB1	SCF:0000203|AD	SCF:0000203|AC	SCF:0000203|AR
SCF:0000206	train_eligible	Q1HFW0	Q1HFW2	W7XJB1	Q1HFX0	Q24CE5	Q1HFW2	W7XJB1	SCF:0000206|AD	SCF:0000206|AC	SCF:0000206|AR
SCF:0000207	train_eligible	Q1HFW0	Q1HFW2	Q1HFV9	Q1HFX0	Q24CE5	Q1HFW2	Q24DI9	SCF:0000207|AD	SCF:0000207|AC	SCF:0000207|AR
SCF:0000208	train_eligible	Q1HFW2	Q1HFW0	Q1HFV9	Q1HGH8	Q1HFW2	Q24CE5	Q24DI9	SCF:0000208|AD	SCF:0000208|AC	SCF:0000208|AR
SCF:0000209	train_eligible	P59768	Q96RJ0	P28223	P49427	P59768	Q96RJ0	P28223	SCF:0000209|AD	SCF:0000209|AC	SCF:0000209|AR
SCF:0000210	train_eligible	P59768	Q96RJ0	P21728	P35346	P59768	Q96RJ0	P21728	SCF:0000210|AD	SCF:0000210|AC	SCF:0000210|AR
SCF:0000211	train_eligible	P59768	Q96RJ0	P30872	P35346	P59768	Q96RJ0	P30872	SCF:0000211|AD	SCF:0000211|AC	SCF:0000211|AR
SCF:0000212	train_eligible	P59768	P35346	P30872	Q96RJ0	P59768	P35346	P30872	SCF:0000212|AD	SCF:0000212|AC	SCF:0000212|AR
SCF:0000213	train_eligible	P59768	P35346	P30874	Q96RJ0	P59768	P35346	P35346	SCF:0000213|AD	SCF:0000213|AC	SCF:0000213|AR
SCF:0000214	train_eligible	P59768	P35346	P41143	Q96L50	P59768	P35346	P41143	SCF:0000214|AD	SCF:0000214|AC	SCF:0000214|AR
SCF:0000215	train_eligible	P19947	O31742	P42924	P21476	P19947	O31742	Q2FW08	SCF:0000215|AD	SCF:0000215|AC	SCF:0000215|AR
SCF:0000216	train_eligible	Q8DJD9	Q8DKF5	Q8DMR6	P59087	Q8DJD9	Q8DKF5	Q8DMR6	SCF:0000216|AD	SCF:0000216|AC	SCF:0000216|AR
SCF:0000217	train_eligible	Q8DJD9	Q8DKF5	Q8DKY0	Q8DMP8	Q8DJD9	Q8DKF5	P26288	SCF:0000217|AD	SCF:0000217|AC	SCF:0000217|AR
SCF:0000219	train_eligible	P19658	P33332	P22224	P32910	P19658	P33332	P22224	SCF:0000219|AD	SCF:0000219|AC	SCF:0000219|AR
SCF:0000220	train_eligible	P33332	P19658	P32844	P32910	P33332	P19658	P32844	SCF:0000220|AD	SCF:0000220|AC	SCF:0000220|AR
SCF:0000221	train_eligible	P33332	P19658	P89102	Q02792	P33332	P19658	P89102	SCF:0000221|AD	SCF:0000221|AC	SCF:0000221|AR
SCF:0000222	train_eligible	P33332	P19658	Q06245	P54784	P33332	P19658	Q06245	SCF:0000222|AD	SCF:0000222|AC	SCF:0000222|AR
SCF:0000224	train_eligible	P16370	Q02792	P19263	P19658	P37382	C4R5R1	P19263	SCF:0000224|AD	SCF:0000224|AC	SCF:0000224|AR
SCF:0000225	train_eligible	P30665	P54784	P53091	P19658	P30665	P54784	P53091	SCF:0000225|AD	SCF:0000225|AC	SCF:0000225|AR
SCF:0000226	train_eligible	P30665	P54784	Q08032	P06839	P30665	P54784	Q08032	SCF:0000226|AD	SCF:0000226|AC	SCF:0000226|AR
SCF:0000227	train_eligible	P30665	P54784	P29469	P06839	P30665	P54784	P29469	SCF:0000227|AD	SCF:0000227|AC	SCF:0000227|AR
SCF:0000228	train_eligible	P54784	P30665	P24279	Q06675	P54784	P30665	P24279	SCF:0000228|AD	SCF:0000228|AC	SCF:0000228|AR
SCF:0000229	train_eligible	P54784	P30665	P38132	Q06675	P54784	P30665	P38132	SCF:0000229|AD	SCF:0000229|AC	SCF:0000229|AR
SCF:0000230	train_eligible	P54784	P30665	P53091	Q12277	P54784	P30665	P53091	SCF:0000230|AD	SCF:0000230|AC	SCF:0000230|AR
SCF:0000231	train_eligible	A0A140G1Q3	A0A1S4BFK7	A0A1S4D4H1	A0A1S3ZSI0	A0A140G1Q3	A0A1S4BFK7	A0A1S4D4H1	SCF:0000231|AD	SCF:0000231|AC	SCF:0000231|AR
SCF:0000232	train_eligible	P62877	Q96L50	Q9BT78	P35346	P62877	Q96L50	Q9BT78	SCF:0000232|AD	SCF:0000232|AC	SCF:0000232|AR
SCF:0000233	train_eligible	P62877	Q96L50	Q9UNS2	P40337	P62877	Q96L50	Q9UNS2	SCF:0000233|AD	SCF:0000233|AC	SCF:0000233|AR
SCF:0000234	train_eligible	P62877	Q96L50	Q7L5N1	Q6PJ56	P62877	Q96L50	Q7L5N1	SCF:0000234|AD	SCF:0000234|AC	SCF:0000234|AR
SCF:0000237	train_eligible	P0AG63	P0A7G2	P02358	P69222	P0AG63	P0A7G2	Q83D76	SCF:0000237|AD	SCF:0000237|AC	SCF:0000237|AR
SCF:0000238	train_eligible	P0AG63	P0A7G2	P0A7R9	P0ACJ8	P0AG63	P0A7G2	Q50296	SCF:0000238|AD	SCF:0000238|AC	SCF:0000238|AR
SCF:0000239	train_eligible	P0AG63	P0A7G2	P0A7X3	P0ACJ8	P0AG63	P0A7G2	C3SRY2	SCF:0000239|AD	SCF:0000239|AC	SCF:0000239|AR
SCF:0000240	train_eligible	P14736	P06839	Q00578	P54784	P14736	P06839	Q00578	SCF:0000240|AD	SCF:0000240|AC	SCF:0000240|AR
