pair_id	score
NG:P06493|P49207	1.34387
NG:P06703|P23297	134.997
NG:P06729|P09326	174.797
NG:P06729|P13987	0.155404
NG:P07196|P21246	0.520378
NG:P07196|P26641	0.354228
NG:P07196|P55854	3.0572
NG:P07196|Q9H213	0.513787
NG:P08047|Q9Y294	0.242063
NG:P08174|P27918	0.140065
NG:P08476|Q04771	685.23
NG:P08588|P24588	0.605163
NG:P08700|P15509	30.0991
NG:P10145|P61073	161.071
NG:P10147|P51677	691.017
NG:P10415|Q96CV9	2.27566
NG:P11802|Q9UBD5	24.7071
NG:P12645|P36894	299.843
NG:P12645|P98066	0.376767
NG:P13236|P51677	677.639
NG:P15172|Q01105	0.236142
NG:P15514|Q969F2	0.500836
NG:P15531|Q00987	3.91792
NG:P17036|P18847	0.228848
NG:P17036|P18848	0.117665
NG:P17036|P25963	0.167871
NG:P17036|P31150	0.0496785
NG:P17036|P41240	0.374659
NG:P17036|P62879	3.92042
NG:P17036|Q16828	0.0638454
NG:P17036|Q68DY1	0.000942723
NG:P17036|Q70SY1	0.180795
NG:P17036|Q8TAU0	0.0974597
NG:P17036|Q8TBX8	0.114344
NG:P17036|Q92730	0.429933
NG:P17036|Q92785	0.130928
NG:P17036|Q93096	0.0843594
NG:P17036|Q9NQX6	0.004155
NG:P17036|Q9UH92	0.131414
NG:P17036|Q9UHR5	0.101705
NG:P17036|Q9UHX1	1.39272
NG:P17706|P31946	7.06912
NG:P17980|Q16143	187.941
NG:P18847|P25963	7.49288
NG:P18847|P31150	2.3051
NG:P18847|P36915	1.54564
NG:P18847|P41240	2.83443
NG:P18847|P62879	3.76833
NG:P18847|Q16828	2.91207
NG:P18847|Q68DY1	0.00227063
NG:P18847|Q70SY1	43.1624
NG:P18847|Q8TAU0	1.01425
NG:P18847|Q8TBX8	1.12483
NG:P18847|Q92730	3.84649
NG:P18847|Q92785	1.23683
NG:P18847|Q93096	2.35966
NG:P18847|Q9H2S9	1.27475
NG:P18847|Q9H6S3	1.09201
NG:P18847|Q9H9D4	0.809899
NG:P18847|Q9NQX6	0.0199516
NG:P18847|Q9UH92	5.26823
NG:P18847|Q9UHR5	1.59233
NG:P18847|Q9UHX1	5.62269
NG:P18848|P31150	0.591579
NG:P18848|P36915	0.382883
NG:P18848|P41240	4.98061
NG:P18848|P62879	4.15219
NG:P18848|Q02535	1.04288
NG:P18848|Q14192	0.601844
NG:P18848|Q16828	1.05665
NG:P18848|Q68DY1	0.00353967
NG:P18848|Q70SY1	52.6954
NG:P18848|Q8TAU0	1.3992
NG:P18848|Q8TBX8	0.66264
NG:P18848|Q92730	2.2324
NG:P18848|Q92785	1.17712
NG:P18848|Q93096	0.674044
NG:P18848|Q9H2S9	1.58804
NG:P18848|Q9NQX6	0.0403968
NG:P18848|Q9UH92	2.61007
NG:P18848|Q9UHR5	2.34867
NG:P18848|Q9UHX1	5.89849
NG:P19544|Q15942	5.49365
NG:P20226|Q99626	8.53194
NG:P20338|Q8NEU8	47.0118
NG:P20338|Q9UKG1	75.387
NG:P21246|P26641	0.3223
NG:P21246|P55854	4.25075
NG:P21246|Q16891	0.353593
NG:P21246|Q5T3J3	0.225563
NG:P21246|Q7L311	2.34694
NG:P21246|Q9H213	0.757067
NG:P22003|P36894	486.644
NG:P23297|P31949	91.3715
NG:P24385|Q9UBD5	23.7434
NG:P24941|Q9UBD5	202.77
NG:P25100|P41220	0.554643
NG:P25963|P31150	0.698276
NG:P25963|P36915	2.28406
NG:P25963|P41240	9.1674
NG:P25963|P62879	8.1061
NG:P25963|Q02535	7.44869
NG:P25963|Q14192	3.15876
NG:P25963|Q16828	1.78628
NG:P25963|Q68DY1	0.0100851
NG:P25963|Q70SY1	4.91805
NG:P25963|Q8TAU0	2.18348
NG:P25963|Q8TBX8	1.29248
NG:P25963|Q92730	3.75286
NG:P25963|Q92785	1.75171
NG:P25963|Q93096	0.751974
NG:P25963|Q9NQX6	0.0388565
NG:P25963|Q9UH92	1.46116
NG:P25963|Q9UHR5	0.55289
NG:P25963|Q9UHX1	6.75533
NG:P26641|P55854	2.9413
NG:P26641|Q8N2W9	0.948692
NG:P26641|Q9H213	10.7377
NG:P27361|Q9H2B2	2.93332
NG:P28328|P56589	0.21547
NG:P28328|Q92968	197.05
NG:P28328|Q9Y5Y5	0.0969848
NG:P31150|P41240	3.12378
NG:P31150|P62879	4.48091
NG:P31150|Q02535	0.512643
NG:P31150|Q14192	0.738872
NG:P31150|Q16828	0.247418
NG:P31150|Q68DY1	0.00313962
NG:P31150|Q70SY1	1.40809
NG:P31150|Q8TAU0	0.383896
NG:P31150|Q8TBX8	0.932216
NG:P31150|Q92730	215.618
NG:P31150|Q92785	1.52341
NG:P31150|Q93096	1.20518
NG:P31150|Q9NQX6	0.224922
NG:P31150|Q9UDV6	0.838086
NG:P31150|Q9UH92	2.09265
NG:P31150|Q9UHR5	0.373377
NG:P31150|Q9UHX1	1.01091
NG:P35368|P41220	0.514191
NG:P36897|Q13347	22.0206
NG:P36915|P62879	7.99912
NG:P36915|Q02535	0.932524
NG:P36915|Q14192	0.720749
NG:P36915|Q16828	0.592039
NG:P36915|Q8TAU0	0.378297
NG:P36915|Q92730	1.88324
NG:P36915|Q92785	1.60909
NG:P36915|Q9UH92	0.668449
NG:P36915|Q9UHR5	1.44774
NG:P37840|P43004	1.46241
NG:P41240|P62879	5.74561
NG:P41240|Q16828	5.24517
NG:P41240|Q68DY1	0.0404588
NG:P41240|Q70SY1	7.71344
NG:P41240|Q8TAU0	6.33287
NG:P41240|Q8TBX8	4.64401
NG:P41240|Q92730	45.0379
NG:P41240|Q92785	4.2623
NG:P41240|Q93096	33.98
NG:P41240|Q9NQX6	1.37694
NG:P41240|Q9UH92	4.54635
NG:P41240|Q9UHR5	4.59944
NG:P41240|Q9UHX1	6.99849
NG:P42224|Q8TAE8	7.90952
NG:P42229|Q8TAE8	7.53734
NG:P42771|Q9UBD5	0.822623
NG:P43004|Q15050	2.84724
NG:P45983|Q9BUB5	48.0355
NG:P46108|Q9H2B2	1.18868
NG:P48729|Q96EV8	5.23746
NG:P48729|Q9BQY9	0.764857
NG:P48730|Q96EV8	6.1004
NG:P49459|Q9NW38	77.5768
NG:P49674|Q96EV8	6.22454
NG:P50148|P63244	23.3194
NG:P51149|Q7L099	8.50236
NG:P51149|Q7Z6M1	63.0351
NG:P51149|Q8NEU8	21.7872
NG:P51149|Q9UKG1	34.4408
NG:P51452|Q86Y07	40.1484
NG:P51693|P55854	3.89495
NG:P51693|Q9H213	0.888409
NG:P51965|P63165	655.028
NG:P55209|P61073	0.559761
NG:P55854|Q16891	2.51837
NG:P55854|Q5T3J3	2.60145
NG:P55854|Q7L311	5.93792
NG:P55854|Q9H213	3.49922
NG:P55854|Q9UKY1	2.40363
NG:P59190|Q9UJ41	1.9369
NG:P61626|Q9NNX6	2.84372
NG:P62312|Q9Y333	209.477
NG:P62312|Q9Y4Z0	152.131
NG:P62491|Q8NEU8	182.506
NG:P62491|Q9UKG1	272.334
NG:P62826|Q7L099	2.70408
NG:P62879|Q14192	1.99962
NG:P62879|Q16828	3.96939
NG:P62879|Q68DY1	0.0265152
NG:P62879|Q70SY1	4.30168
NG:P62879|Q8TAU0	5.66593
NG:P62879|Q8TBX8	3.21693
NG:P62879|Q92730	9.76625
NG:P62879|Q92785	2.20044
NG:P62879|Q93096	1.24726
NG:P62879|Q9H2S9	4.26215
NG:P62879|Q9NQX6	2.33223
NG:P62879|Q9UDV6	3.24696
NG:P62879|Q9UH92	7.52729
NG:P62879|Q9UHR5	1.67345
NG:P62879|Q9UHX1	10.0831
NG:P63092|P63244	13.6323
NG:P63096|P63244	19.0959
NG:P63146|P63165	624.37
NG:P63165|Q16763	265.87
NG:P63165|Q9Y2Q3	1.70253
NG:P63167|Q7LDG7	1.22684
NG:P67775|Q92572	7.592
NG:P84103|Q02040	5.06048
NG:Q00526|Q9UBD5	79.9036
NG:Q01081|Q02040	3.52287
NG:Q01130|Q02040	2.32994
NG:Q02535|Q16828	0.433578
NG:Q02535|Q70SY1	1.37529
NG:Q02535|Q8TAU0	3.07937
NG:Q02535|Q8TBX8	1.88678
NG:Q02535|Q92785	5.21559
NG:Q02535|Q93096	0.753485
NG:Q02535|Q9H2S9	0.646915
NG:Q02535|Q9H6S3	1.30804
NG:Q02535|Q9NQX6	0.0543042
NG:Q02535|Q9UDV6	0.587828
NG:Q02535|Q9UHR5	0.395776
NG:Q04771|Q13347	11.5858
NG:Q06265|Q5RKV6	21.0622
NG:Q06265|Q96B26	215.076
NG:Q06265|Q99547	184.179
NG:Q06265|Q9NQT4	193.867
NG:Q06265|Q9Y3B2	190.349
NG:Q06330|Q92769	137.926
NG:Q06587|Q92769	11.9804
NG:Q13485|Q15583	309.193
NG:Q13547|Q9UBP5	16.3825
NG:Q13642|Q14192	336.172
NG:Q13642|Q5TD97	332.065
NG:Q14186|Q8TAK5	1.14709
NG:Q14192|Q16828	5.32841
NG:Q14192|Q70SY1	7.27975
NG:Q14192|Q8TAU0	2.43146
NG:Q14192|Q8TBX8	2.31484
NG:Q14192|Q92730	0.79145
NG:Q14192|Q93096	0.185158
NG:Q14192|Q9H6S3	1.26348
NG:Q14192|Q9UH92	0.546739
NG:Q14209|Q8TAK5	4.5003
NG:Q15080|Q86UR1	27.3079
NG:Q15329|Q8TAK5	1.65445
NG:Q15466|Q92786	31.2899
NG:Q16254|Q56P03	0.799609
NG:Q16254|Q8TAK5	1.69183
NG:Q16384|Q96QF0	2.70809
NG:Q16384|Q9Y2D8	145.99
NG:Q16828|Q68DY1	0.029105
NG:Q16828|Q70SY1	0.620609
NG:Q16828|Q8TAU0	0.267551
NG:Q16828|Q8TBX8	1.7866
NG:Q16828|Q92730	4.91399
NG:Q16828|Q92785	0.51122
NG:Q16828|Q93096	1.85068
NG:Q16828|Q9H2S9	0.261171
NG:Q16828|Q9NQX6	0.0345062
NG:Q16828|Q9UH92	0.722666
NG:Q16828|Q9UHR5	0.371493
NG:Q16828|Q9UHX1	2.95816
NG:Q16891|Q9H213	1.00898
NG:Q5RKV6|Q99547	23.6812
NG:Q5RKV6|Q9NPD3	9.84475
NG:Q5T3J3|Q9H213	0.50198
NG:Q68DY1|Q8TAU0	0.00639465
NG:Q68DY1|Q8TBX8	0.00562334
NG:Q68DY1|Q92730	0.013127
NG:Q68DY1|Q92785	0.00106564
NG:Q68DY1|Q93096	0
NG:Q68DY1|Q9NQX6	0.00296158
NG:Q68DY1|Q9UH92	0.004684
NG:Q68DY1|Q9UHR5	0.0253468
NG:Q70SY1|Q8TAU0	0.626939
NG:Q70SY1|Q8TBX8	1.09162
NG:Q70SY1|Q92785	1.01744
NG:Q70SY1|Q9NQX6	0.0388104
NG:Q70SY1|Q9UH92	1.38254
NG:Q70SY1|Q9UHR5	3.33352
NG:Q7L311|Q9H213	1.20452
NG:Q8TAU0|Q8TBX8	0.31919
NG:Q8TAU0|Q92730	6.52354
NG:Q8TAU0|Q92785	0.913641
NG:Q8TAU0|Q93096	0.318046
NG:Q8TAU0|Q9H2S9	0.301254
NG:Q8TAU0|Q9NQX6	0.021711
NG:Q8TAU0|Q9UH92	0.699987
NG:Q8TAU0|Q9UHR5	0.296561
NG:Q8TAU0|Q9UHX1	1.22388
NG:Q8TBX8|Q92730	4.50117
NG:Q8TBX8|Q92785	0.54548
NG:Q8TBX8|Q93096	1.99904
NG:Q8TBX8|Q9H2S9	0.191429
NG:Q8TBX8|Q9NQX6	0.635543
NG:Q8TBX8|Q9UDV6	0.206507
NG:Q8TBX8|Q9UH92	0.531421
NG:Q8TBX8|Q9UHR5	0.350086
NG:Q8TBX8|Q9UHX1	1.16383
NG:Q92730|Q92785	2.92078
NG:Q92730|Q93096	3.99116
NG:Q92730|Q9H2S9	0.876989
NG:Q92730|Q9H6S3	7.86548
NG:Q92730|Q9H9D4	1.71693
NG:Q92730|Q9NQX6	0.0715722
NG:Q92730|Q9UH92	2.62905
NG:Q92730|Q9UHR5	0.860432
NG:Q92730|Q9UHX1	2.58096
NG:Q92785|Q93096	0.415061
NG:Q92785|Q9H2S9	0.369397
NG:Q92785|Q9NQX6	0.0244928
NG:Q92785|Q9UH92	1.20621
NG:Q92785|Q9UHR5	0.417561
NG:Q92785|Q9UHX1	3.99367
NG:Q92968|Q9Y5Y5	0.423705
NG:Q93096|Q9H2S9	0.272249
NG:Q93096|Q9H6S3	1.11706
NG:Q93096|Q9H9D4	0.370416
NG:Q93096|Q9NQX6	0.0495637
NG:Q93096|Q9UH92	1.49567
NG:Q93096|Q9UHR5	1.34941
NG:Q93096|Q9UHX1	0.742956
NG:Q96QF0|Q99909	1.60638
NG:Q99547|Q9NQT4	197.436
NG:Q9H2S9|Q9UH92	0.701715
NG:Q9H2S9|Q9UHR5	0.297186
NG:Q9H6S3|Q9UH92	0.964669
NG:Q9H9D4|Q9UH92	0.621961
NG:Q9NPD3|Q9NQT4	177.395
NG:Q9NQX6|Q9UH92	0.0447041
NG:Q9NQX6|Q9UHR5	0.0340523
NG:Q9NZM6|Q9Y3M2	0.863324
NG:Q9UBB5|Q9UJW3	5.34415
NG:Q9UDV6|Q9UH92	0.750125
NG:Q9UH92|Q9UHX1	6.16346
NG:Q9Y4Y9|Q9Y4Z0	370.22
PN6:0001	0.799454
PN6:0003	188.726
PN6:0004	201.659
PN6:0005	1.33219
PN6:0006	0.227567
PN6:0007	0.0688002
PN6:0009	0.838184
PN6:0012	584.826
PN6:0013	0.706846
PN6:0014	0.711305
PN6:0015	1.012
PN6:0017	1.45756
PN6:0019	0.89945
PN6:0021	0.878427
PN6:0023	0.326839
PN6:0024	2.8113
PN6:0026	1.18718
PN6:0027	98.5765
PN6:0028	0.270259
PN6:0030	1.18268
PN6:0031	0.275533
PN6:0035	0.0269619
PN6:0037	2.32779
PN6:0039	0.225432
PN6:0045	1.60139
PN6:0047	0.518014
PN6:0052	30.5498
PN6:0054	0.244069
PN6:0058	3.36822
PN6:0073	523.667
PN6:0086	5.52926
PN6:0122	0.569835
PN6:0124	0.294826
PN6:0126	0.352947
PN6:0127	1.87202
PN6:0129	0.580698
PN6:0132	0.820576
PN6:0133	2.08842
PN6:0134	0.162508
PN6:0135	1.04845
PN6:0142	0.918466
PN6:0148	4.77686
PN6:0149	14.2151
PN6:0151	11.9973
PN6:0152	2.71499
PN6:0153	1.25919
PN6:0154	1.98535
PN6:0155	0.600443
PN6:0156	7.24678
PN6:0157	1.35787
PN6:0161	0.370382
PN6:0162	2.62844
PN6:0164	79.1604
PN6:0168	0.720486
PN6:0169	0.117537
PN6:0170	0.835871
PN6:0171	0.0729248
PN6:0173	0.0853423
PN6:0174	0.9094
PN6:0176	0.130178
PN6:0177	0.0932382
PN6:0179	1.24162
PN6:0187	0.188563
PN6:0190	0.111995
PN6:0191	0.409475
PN6:0193	2.57301
PN6:0197	0.891169
PN6:0210	3.53757
PN6:0219	1.99326
PN6:0355	0.0997033
PN6:0360	0.486564
PN6:0361	261.547
PN6:0363	1.4854
PN6:0365	1.44636
PN6:0366	5.68429
PN6:0372	3.69878
PN6:0381	1.49053
PN6:0386	1.72093
PN6:0389	0.388623
PN6:0391	0.228441
PN6:0393	1.91634
PN6:0396	1.65601
PN6:0397	84.6061
PN6:0398	1.20226
PN6:0399	0.647599
PN6:0406	1.28808
PN6:0411	19.9972
PN6:0412	3.74426
PN6:0413	0.766489
PN6:0418	0.697753
PN6:0432	0.271528
PN6:0434	743.899
PN6:0440	0.365338
PN6:0441	0.473968
PN6:0442	2.25417
PN6:0444	0.293546
PN6:0460	6.6445
PN6:0461	1.80782
PN6:0465	125.309
PN6:0467	0.561005
PN6:0469	3.22059
PN6:0478	0.575107
PN6:0490	0.555007
PN6:0499	1.04208
SP:0000001	0.0528926
SP:0000003	68.5561
SP:0000004	0.500193
SP:0000005	0.150933
SP:0000007	0.623284
SP:0000008	19.1286
SP:0000009	0.399931
SP:0000010	0.0500989
SP:0000011	169.271
SP:0000012	4.42731
SP:0000013	612.593
SP:0000014	0.144127
SP:0000015	0.415885
SP:0000017	0.296585
SP:0000018	144.268
SP:0000020	0.159249
SP:0000023	0.11777
SP:0000024	4.45927
SP:0000025	0.0908353
SP:0000026	0
SP:0000027	0.23778
SP:0000028	0.314467
SP:0000030	109.727
SP:0000031	3.86813
SP:0000032	1.84468
SP:0000034	1.76791
SP:0000035	0.225316
SP:0000036	201.631
SP:0000037	0.445914
SP:0000039	0.349167
SP:0000040	0.269974
SP:0000041	0.46869
SP:0000042	0.195241
SP:0000043	0.11545
SP:0000044	0
SP:0000045	0.615906
SP:0000046	7.06688
SP:0000047	0.581584
SP:0000048	8.30323
SP:0000049	13.517
SP:0000050	3.90132
SP:0000051	194.582
SP:0000052	19.8309
SP:0000053	0.0348374
SP:0000055	0.0607243
SP:0000056	0.146298
SP:0000059	4.9122
SP:0000060	0.118594
SP:0000061	0.180624
SP:0000062	0.155214
SP:0000063	0.0452383
SP:0000065	0.0604877
SP:0000066	0.457841
SP:0000067	0.0164959
SP:0000068	1.38442
SP:0000069	0.0681843
SP:0000071	0.324552
SP:0000072	0.323005
SP:0000073	0.25407
SP:0000074	0.415311
SP:0000075	0.0975474
SP:0000076	0.619222
SP:0000077	0.440842
SP:0000078	5.34924
SP:0000079	11.3346
SP:0000082	0.249222
SP:0000083	0.135466
SP:0000084	0.206894
SP:0000085	1.20338
SP:0000088	125.494
SP:0000089	129.834
SP:0000090	12.8667
SP:0000092	142.608
SP:0000093	8.16771
SP:0000096	0.247474
SP:0000097	0.00776427
SP:0000098	0.316437
SP:0000099	0.138844
SP:0000100	0.725687
SP:0000101	0.0803133
SP:0000102	0.139955
SP:0000103	0.42417
SP:0000104	1.37841
SP:0000106	0.164042
SP:0000107	501.729
SP:0000108	0.384005
SP:0000109	0.0465643
SP:0000110	0.425207
SP:0000111	0.104678
SP:0000114	104.966
SP:0000116	0.621973
SP:0000117	0.0855072
SP:0000118	0.0642553
SP:0000119	0.324033
SP:0000120	262.492
SP:0000121	222.918
SP:0000122	5.46786
SP:0000125	0.343073
SP:0000126	0.0327192
SP:0000127	0.797094
SP:0000128	120.134
SP:0000130	0.133111
SP:0000131	0.577013
SP:0000132	4.90439
SP:0000133	0.0444251
SP:0000134	1.6282
SP:0000136	0.162837
SP:0000137	0.152064
SP:0000138	0.233664
SP:0000139	0.0449351
SP:0000140	0
SP:0000141	0.0360135
SP:0000142	0.110099
SP:0000143	0.185009
SP:0000144	80.0566
SP:0000145	0.0683125
SP:0000146	0.29211
SP:0000147	0.0125196
SP:0000149	57.3697
SP:0000150	0.0801471
SP:0000151	0.183189
SP:0000152	0.198289
SP:0000153	0.0473644
SP:0000155	0.0305742
SP:0000156	304.209
SP:0000157	5.60331
SP:0000158	1.19071
SP:0000159	0.182733
SP:0000160	0.507885
SP:0000161	0.54736
SP:0000162	31.111
SP:0000163	8.9077
SP:0000165	13.9397
SP:0000166	0.0647465
SP:0000168	1.47524
SP:0000169	0.143748
SP:0000170	121.553
SP:0000171	0.649843
SP:0000172	0
SP:0000173	0.534784
SP:0000174	255.097
SP:0000175	0.899784
SP:0000176	2.51262
SP:0000177	280.976
SP:0000178	198.814
SP:0000179	0.0321297
SP:0000180	5.84757
SP:0000181	0.153236
SP:0000182	0.185847
SP:0000183	0.0542042
SP:0000185	0.193823
SP:0000189	0.035191
SP:0000190	10.6894
SP:0000192	0.054204
SP:0000193	0.417472
SP:0000195	0.0422953
SP:0000196	0.102868
SP:0000197	0.259209
SP:0000198	0.134136
SP:0000199	0.0987588
SP:0000201	1.71357
SP:0000203	0.490149
SP:0000204	0.490885
SP:0000205	0
SP:0000206	0.113165
SP:0000207	0.173618
SP:0000209	216.039
SP:0000210	1.14348
SP:0000211	0.112723
SP:0000212	0.498504
SP:0000213	0.0700921
SP:0000215	0.212635
SP:0000216	0.248825
SP:0000217	0.0442042
SP:0000218	17.8594
SP:0000219	0.318815
SP:0000220	0.947684
SP:0000221	0.0469434
SP:0000222	0.785084
SP:0000223	0.0864673
SP:0000224	10.8543
SP:0000225	0.319627
SP:0000226	0.0475925
SP:0000227	3.59325
SP:0000229	20.7097
SP:0000231	0.0974943
SP:0000232	38.0543
SP:0000233	1.42547
SP:0000234	0.0967083
SP:0000235	1.64035
SP:0000236	18.6681
SP:0000237	0.189963
SP:0000239	0.0956284
SP:0000240	0.398365
SP:0000241	0.144181
SP:0000242	2.71758
SP:0000243	206.453
SP:0000244	2.84566
SP:0000245	113.591
SP:0000246	0.15936
SP:0000247	0.795415
SP:0000248	0.253952
SP:0000249	0.438818
SP:0000250	0.223922
SP:0000252	0.207643
SP:0000254	6.54583
SP:0000255	0.169113
SP:0000257	0.372793
SP:0000258	0.214806
SP:0000260	0.0121864
SP:0000261	0.137226
SP:0000262	0.356065
SP:0000263	4.42308
SP:0000264	0
SP:0000265	0.630307
SP:0000266	9.38059
SP:0000267	0.406608
SP:0000268	1.00393
SP:0000269	1.25593
SP:0000270	0.032065
SP:0000271	0.034552
SP:0000273	641.589
SP:0000274	2.48251
SP:0000275	6.22364
SP:0000276	0.223704
SP:0000277	3.42986
SP:0000279	1.07719
SP:0000282	0.677518
SP:0000285	0.119625
SP:0000286	1.91508
SP:0000287	0.0272539
SP:0000288	0.397569
SP:0000289	0
SP:0000291	0.0515341
SP:0000292	6.82634
SP:0000293	1.30077
SP:0000294	0.0241886
SP:0000296	0.232098
SP:0000297	0.299662
SP:0000298	527.48
SP:0000299	3.99883
SP:0000300	0.00941176
SP:0000302	0.336676
SP:0000303	0
SP:0000304	158.515
SP:0000305	0.289825
SP:0000306	0.00747951
SP:0000307	215.706
SP:0000308	0.189402
SP:0000311	0.117693
SP:0000312	18.7672
SP:0000313	0.012012
SP:0000314	0.163784
SP:0000315	0.139657
SP:0000317	0.386122
SP:0000318	0.534691
SP:0000320	1.43241
SP:0000321	40.6307
SP:0000322	0.150343
SP:0000323	0.612541
SP:0000325	0.0219512
SP:0000326	0.36833
SP:0000327	70.5736
SP:0000328	0.0128182
SP:0000330	0.165074
SP:0000335	99.9154
SP:0000336	0.204521
SP:0000337	2.0435
SP:0000338	1.50483
SP:0000339	0
SP:0000340	5.69499
SP:0000341	0.251557
SP:0000342	109.08
SP:0000344	0.576018
SP:0000346	0.0155229
SP:0000347	0.268057
SP:0000348	1.12674
SP:0000349	0.159105
SP:0000352	143.806
SP:0000354	0.130189
SP:0000355	9.94097
SP:0000356	3.43813
SP:0000357	13.8213
SP:0000360	0.0140887
SP:0000361	178.409
SP:0000362	0.727416
SP:0000363	0.222611
SP:0000364	0.108888
SP:0000365	0.268851
SP:0000366	8.10306
SP:0000367	0.979774
SP:0000368	0.292926
SP:0000369	4.01293
SP:0000370	0.356818
SP:0000371	83.7987
SP:0000372	0.23778
SP:0000373	0.100802
SP:0000374	0.262282
SP:0000375	0.20401
SP:0000377	0.386975
SP:0000378	18.4046
SP:0000379	1.41326
SP:0000380	0.21641
SP:0000381	8.68939
SP:0000382	0.327209
SP:0000383	0.333356
SP:0000386	0.189081
SP:0000387	0.0962062
SP:0000388	0.0348149
SP:0000390	2.59447
SP:0000392	95.8868
SP:0000394	2.21013
SP:0000395	0.00696185
SP:0000396	0.35
SP:0000397	0.287305
SP:0000398	0.261257
SP:0000399	0.186821
SP:0000400	0.370365
SP:0000401	6.63723
SP:0000402	0.152361
SP:0000403	1.69944
SP:0000404	0.918505
SP:0000405	2.65592
SP:0000406	150.709
SP:0000408	120.722
SP:0000409	18.0664
SP:0000410	293.99
SP:0000411	12.3103
SP:0000412	511.546
SP:0000413	0.862805
SP:0000414	7.47809
SP:0000415	6.35951
SP:0000416	119.552
SP:0000418	0
SP:0000419	0.0665316
SP:0000420	0.0404321
SP:0000422	0.143714
SP:0000423	51.1328
SP:0000424	0.010597
SP:0000425	0.0946354
SP:0000426	0.0785285
SP:0000428	0.0856714
SP:0000430	1.53333
SP:0000431	0.557837
SP:0000433	0.0666545
SP:0000434	0.908189
SP:0000435	0.288889
SP:0000436	0.298263
SP:0000437	0.370558
SP:0000439	0.453259
SP:0000440	0.0281915
SP:0000442	276.709
SP:0000443	0.0512931
SP:0000444	0.364306
SP:0000445	0.149838
SP:0000446	0.19266
SP:0000447	65.6387
SP:0000449	1.57716
SP:0000451	11.3643
SP:0000452	0.103559
SP:0000454	1.88249
SP:0000455	0.594411
SP:0000456	2.36189
SP:0000457	197.495
SP:0000458	0.274778
SP:0000459	0.0291994
SP:0000460	1.11723
SP:0000461	297.577
SP:0000462	0.236415
SP:0000464	0.00521999
SP:0000465	24.2858
