ac_id	A_uniprot	C_uniprot	taxon	pdb_id	complex_size	complex_size_bin	n_pdb	n_noncontact_assemblies	coordinate_qc	coverage_A	coverage_C	min_distance	direct_positive_conflict	structure_grade	core_flag	gt24_flag	replicated_flag	has_triplet	mmseqs_family_A	mmseqs_family_C	negative_label_semantics
AC:000046	A0QVB8	A0R550	246196	8wif	22	11_24	5	5	coordinate_verified_open_wedge	0.8231	0.9901	21.930	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	1	0	1	1	A0QVB8	P0AG59	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000047	D0CD11	D0CD21	575584	6yt9	13	11_24	2	2	coordinate_verified_open_wedge	0.9924	0.9952	16.291	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	0			assembly_context_direct_noncontact_not_universal_nonbinder
AC:000048	Q2G111	Q2G2Q1	93061	8bh7	20	11_24	16	16	coordinate_verified_open_wedge	0.8875	0.9888	17.239	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	1	A0A2V3DLV3	Q2G2Q1	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000049	P04637	P61218	9606	6xre	13	11_24	1	1	coordinate_verified_open_wedge	0.7990	0.6142	44.077	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	0	1	P04637	A0A4X1VEK9	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000050	P21471	P21476	224308	8cdv	17	11_24	22	22	coordinate_verified_open_wedge	1.0588	0.6957	17.451	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	1	0	1	1	P21471	A0QSD5	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000051	P39748	P49005	9606	6tnz	8	3_10	1	1	coordinate_verified_open_wedge	0.8053	0.9190	49.467	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	0	1	P39748	P49005	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000052	Q13426	Q9NP87	9606	9n81	16	11_24	2	2	coordinate_verified_open_wedge	0.6012	0.8664	44.251	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	1	Q13426	Q9NP87	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000053	P07839	Q75VY9	3055	7wzn	16	11_24	1	1	coordinate_verified_open_wedge	0.3095	0.7566	24.181	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	0	1	P07839	I0YPL4	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000054	O43402	Q9NPA0	9606	8j0o	10	3_10	8	8	coordinate_verified_open_wedge	0.9286	0.5744	50.964	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	1	0	1	1	O43402	Q9NPA0	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000055	E9NPS7	I0YQ46	574566	9kqp	24	11_24	2	2	coordinate_verified_open_wedge	0.9854	0.8706	11.714	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	1	A0T0M8	Q84Y02	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000056	P09192	P29256	1111708	8am5	17	11_24	1	1	coordinate_verified_open_wedge	0.7898	0.8606	57.258	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	1	0	0	1	D0VWR8	P29256	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000057	C4R3Z5	C4R5R1	644223	8yfq	14	11_24	2	2	coordinate_verified_open_wedge	0.9576	0.7505	24.009	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	1	C4R3Z5	C4R5R1	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000058	O14810	P60880	9606	3rl0	5	3_10	2	9	coordinate_verified_open_wedge	0.3284	0.3010	9.031	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	1	0	1	1	P63041	P60880	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000059	A0A444WZ62	A0A445CVZ9	3818	8zom	20	11_24	2	2	coordinate_verified_open_wedge	0.7111	0.9512	43.944	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	0			assembly_context_direct_noncontact_not_universal_nonbinder
AC:000060	D7P897	K0J903	37502	6rdf	13	11_24	5	5	coordinate_verified_open_wedge	0.8212	0.7538	11.960	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	0	D7P897	K0J903	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000061	Q8DIP0	Q8DLJ8	197221	7nhp	18	11_24	2	2	coordinate_verified_open_wedge	0.9167	0.9655	13.181	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	0	Q8DIP0	Q8DLJ8	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000062	O49653	Q6NMZ4	3702	8k20	6	3_10	1	1	coordinate_verified_open_wedge	0.9547	0.9942	12.792	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	0	0			assembly_context_direct_noncontact_not_universal_nonbinder
AC:000063	O19882	O19928	2771	4yuu	21	11_24	1	4	coordinate_verified_open_wedge	0.8947	0.9882	35.097	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	0	1	P12240	Q8DIQ1	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000064	P31376	Q12464	559292	9b1e	19	11_24	1	1	coordinate_verified_open_wedge	0.5152	0.9406	43.333	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	0	1	P31376	Q9Y230	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000065	P42919	P56849	224308	9bs0	23	11_24	18	18	coordinate_verified_open_wedge	0.9603	0.9592	59.735	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	1	0	1	0			assembly_context_direct_noncontact_not_universal_nonbinder
AC:000066	Q2FW20	Q2FXK6	93061	8bh6	19	11_24	15	15	coordinate_verified_open_wedge	0.9924	0.9600	14.165	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	0	Q2FW20		assembly_context_direct_noncontact_not_universal_nonbinder
AC:000067	P13192	P69416	4513	7ewk	15	11_24	2	2	coordinate_verified_open_wedge	0.6723	1.0000	11.199	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	0	Q9SHE8	A0A4V8H005	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000068	O94376	O94646	284812	5n9j	15	11_24	2	2	coordinate_verified_open_wedge	0.9783	0.9900	25.531	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	1	O94376	O94646	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000069	A0A6I8WFT8	C1K003	3046	9mgw	23	11_24	1	1	coordinate_verified_open_wedge	1.0123	0.8596	28.600	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	0	0	A0A0H2UKZ4	Q7DM26	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000070	Q969L4	Q9UKF6	9606	6v4x	10	3_10	4	4	coordinate_verified_open_wedge	0.6016	0.7295	19.473	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	1	Q969L4	Q9UKF6	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000071	A0A069Q263	A0A069QC99	287	6spe	20	11_24	3	3	coordinate_verified_open_wedge	0.7554	0.8732	9.777	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	1	0	1	0		A0A069QC99	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000072	P38751	P40465	559292	5xyn	4	3_10	1	1	coordinate_verified_open_wedge	0.9733	0.8732	19.717	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	0	0			assembly_context_direct_noncontact_not_universal_nonbinder
AC:000073	P00044	P07256	559292	3cx5	23	11_24	2	2	coordinate_verified_open_wedge	0.9817	0.9431	65.832	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	0			assembly_context_direct_noncontact_not_universal_nonbinder
AC:000074	G0RZG4	G0SCD1	759272	8r1o	9	3_10	2	2	coordinate_verified_open_wedge	0.7143	0.9031	12.760	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	1	G0RZG4	G0SCD1	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000075	Q27RN4	Q27RN5	428	8xiw	7	3_10	1	1	coordinate_verified_open_wedge	0.9822	0.9638	14.878	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	0	0			assembly_context_direct_noncontact_not_universal_nonbinder
AC:000076	P0A9T8	P0ADA1	83333	9ge8	4	3_10	1	1	coordinate_verified_open_wedge	0.9868	0.8269	74.336	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	0	0			assembly_context_direct_noncontact_not_universal_nonbinder
AC:000077	A8IH07	A8IJY7	3055	7ekq	19	11_24	1	1	coordinate_verified_open_wedge	0.8145	0.8613	45.257	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	1	0	0	1	A8IH07	A8IJY7	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000078	P07703	P36121	559292	8bws	17	11_24	24	24	coordinate_verified_open_wedge	1.0000	0.6489	45.537	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	1	P07703	P36121	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000079	P28000	P47076	559292	7z31	19	11_24	25	25	coordinate_verified_open_wedge	0.7113	0.9006	32.454	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	1	P28000	P47076	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000080	P01589	P31785	9606	9kmc	6	3_10	3	4	coordinate_verified_open_wedge	0.4890	0.5285	14.159	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	0			assembly_context_direct_noncontact_not_universal_nonbinder
AC:000081	I7MDA9	I7MLZ4	312017	8th8	18	11_24	2	2	coordinate_verified_open_wedge	0.9158	0.9624	102.402	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	1	I7MDA9	I7MLZ4	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000082	P9WGY5	P9WHJ5	83332	6bzo	7	3_10	21	21	coordinate_verified_open_wedge	0.7545	0.9640	15.710	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	0	A0QWT1		assembly_context_direct_noncontact_not_universal_nonbinder
AC:000083	O19928	Q9TM46	2771	4yuu	21	11_24	1	4	coordinate_verified_open_wedge	0.9882	0.9761	9.558	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	1	0	0	1	Q8DIQ1	D0VWR7	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000084	Q940U6	Q9LU39	3702	5che	6	3_10	1	1	coordinate_verified_open_wedge	0.3766	0.7886	21.536	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	0	0			assembly_context_direct_noncontact_not_universal_nonbinder
AC:000085	Q23YW7	Q24CL2	312017	8th8	18	11_24	2	2	coordinate_verified_open_wedge	0.6218	1.0000	29.163	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	1	Q23YW7	Q24CL2	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000086	Q06339	Q12415	559292	8ffz	8	3_10	1	1	coordinate_verified_open_wedge	0.7708	0.7724	49.361	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	0	0		Q12415	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000087	P20339	Q9P2Y5	9606	7bl1	6	3_10	1	1	coordinate_verified_open_wedge	0.7814	0.5436	12.915	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	0	1	P20339	Q9P2Y5	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000088	Q05AW3	Q66IZ6	8355	7vci	21	11_24	6	6	coordinate_verified_open_wedge	1.0000	1.0000	87.568	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	0	Q05AW3		assembly_context_direct_noncontact_not_universal_nonbinder
AC:000089	P53803	P63272	9606	8xrm	16	11_24	2	2	coordinate_verified_open_wedge	0.7931	0.9915	44.457	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	1	A0A4X1TRS6	P63272	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000090	P20435	Q12004	559292	7o4l	15	11_24	7	7	coordinate_verified_open_wedge	0.4194	0.8669	44.006	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	0	A0A4X1VEK9	Q12004	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000091	O95456	P28070	9606	8yix	17	11_24	5	5	coordinate_verified_open_wedge	0.9618	0.7765	27.589	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	1	O95456	P28070	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000092	Q9CPW4	Q9CVB6	10090	7aqk	18	11_24	1	1	coordinate_verified_open_wedge	0.7682	0.9367	22.648	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	1	0	0	0		Q9CVB6	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000093	Q57TX9	Q586H1	185431	6f5d	12	11_24	1	1	coordinate_verified_open_wedge	0.8973	0.8022	21.563	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	0	0			assembly_context_direct_noncontact_not_universal_nonbinder
AC:000094	P50990	Q99471	9606	6nrd	22	11_24	3	3	coordinate_verified_open_wedge	0.9307	0.8247	19.686	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	1	Q3ZCI9	Q99471	assembly_context_direct_noncontact_not_universal_nonbinder
