triplet_id	assembly_size_stratum	ac_id	anchor	negative_partner_c	positive_partner_d	positive_source	positive_example_evidence	positive_min_heavy_a	positive_binding_assemblies	positive_distinct_pdb_count	positive_interface_status	anchor_tax_id	c_tax_id	d_tax_id	all_role_shared_tax	sequence_identity	sequence_coverage_c	sequence_coverage_d	sequence_aligned_residues	sequence_similarity_bin	domain_similarity_status	structure_similarity_status	positive_rank_for_ac_orientation	ac_structure_file	ac_chain_anchor	ac_chain_negative	ac_min_heavy_a	ac_min_cb_or_ca_a	ac_mutual_nearest	ac_structure_grade_provisional	negative_label_semantics	counterfactual_grade_provisional	training_pool_status	leakage_control_status
SCF:0000012	11_24	AC:000012	P21467	P20282	P21470	PDB_exact_pair_aggregate	8cdv-assembly1.cif.gz:G-J	4.210	1	23	repeated_exact_PDB_contact_interface_size_pending	224308	224308	224308	1	0.2783	0.9504	0.8846	115	remote_sequence	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	2	8cdu-assembly1.cif.gz	G	M	32.361	35.205	0	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
SCF:0000013	11_24	AC:000012	P21467	P20282	P42060	PDB_exact_pair_aggregate	7o5b-assembly1.cif.gz:E-X	3.585	1	18	repeated_exact_PDB_contact_interface_size_pending	224308	224308	224308	1	0.2644	0.7190	0.7699	87	remote_sequence	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	3	8cdu-assembly1.cif.gz	G	M	32.361	35.205	0	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
SCF:0000014	3_10	AC:000013	P59768	P41586	Q16602	PDB_exact_pair_aggregate	6e3y-assembly1.cif.gz:F-G	2.483	2	2	repeated_exact_PDB_contact_interface_size_pending	9606	9606	9606	1	0.3455	0.8226	0.8351	385	medium	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	1	6m1i-assembly1.cif.gz	D	A	12.357	19.861	0	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
SCF:0000015	3_10	AC:000013	P59768	P41586	P28223	PDB_exact_pair_aggregate	9as6-assembly1.cif.gz:A-B	2.220	6	16	repeated_exact_PDB_contact_interface_size_pending	9606	9606	9606	1	0.3156	0.6026	0.5987	282	remote_sequence	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	2	6m1i-assembly1.cif.gz	D	A	12.357	19.861	0	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
SCF:0000016	3_10	AC:000013	P59768	P41586	Q9UPC5	PDB_exact_pair_aggregate	8sai-assembly1.cif.gz:A-C	2.390	1	4	repeated_exact_PDB_contact_interface_size_pending	9606	9606	9606	1	0.2829	0.5363	0.6588	251	remote_sequence	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	3	6m1i-assembly1.cif.gz	D	A	12.357	19.861	0	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
SCF:0000017	11_24	AC:000014	A8ITV3	P12154	P09144	same_assembly_bridge	7zq9-assembly1.cif.gz:T-B	2.747	7	7	same_assembly_bridge_interface_pass	3055	3055	3055	1	0.4970	0.8975	0.9170	674	medium	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	1	7zq9-assembly1.cif.gz	T	A	45.351	48.518	0	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
SCF:0000018	11_24	AC:000014	P12154	A8ITV3	Q75VY4	PDB_exact_pair_aggregate	8h2u-assembly1.cif.gz:A-O	3.688	3	3	repeated_exact_PDB_contact_interface_size_pending	3055	3055	3055	1	0.4974	0.8967	0.7925	191	medium	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	1	7zq9-assembly1.cif.gz	A	T	45.351	48.518	0	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
SCF:0000019	11_24	AC:000014	P12154	A8ITV3	Q05093	PDB_exact_pair_aggregate	7zqd-assembly1.cif.gz:U-Z	2.559	2	16	repeated_exact_PDB_contact_interface_size_pending	3055	3055	3055	1	0.4915	0.8310	0.7763	177	medium	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	3	7zq9-assembly1.cif.gz	A	T	45.351	48.518	0	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
SCF:0000020	11_24	AC:000018	P60899	A0A8D1KNW4	A0A4X1VEK9	PDB_exact_pair_aggregate	9er2-assembly1.cif.gz:F-I	2.136	13	108	repeated_exact_PDB_contact_interface_size_pending	9823	9823	9823	1	1.0000	1.0000	1.0000	127	high	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	1	9rtt-assembly1.cif.gz	I	F	56.879	60.926	0	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
SCF:0000021	11_24	AC:000018	P60899	A0A8D1KNW4	I3LCB2	PDB_exact_pair_aggregate	7nw0-assembly1.cif.gz:I-P	2.205	14	94	repeated_exact_PDB_contact_interface_size_pending	9823	9823	9823	1	0.3117	0.6063	0.5133	77	remote_sequence	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	2	9rtt-assembly1.cif.gz	I	F	56.879	60.926	0	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
SCF:0000022	11_24	AC:000018	P60899	A0A8D1KNW4	A0A4X1VM56	PDB_exact_pair_aggregate	8p4e-assembly1.cif.gz:D-I	2.289	7	33	repeated_exact_PDB_contact_interface_size_pending	9823	9823	9823	1	0.2857	0.7165	0.6408	91	remote_sequence	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	3	9rtt-assembly1.cif.gz	I	F	56.879	60.926	0	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
SCF:0000023	3_10	AC:000019	Q00403	Q92966	Q92759	PDB_exact_pair_aggregate	7enc-assembly1.cif.gz:BA-CA	2.758	1	10	repeated_exact_PDB_contact_interface_size_pending	9606	9606	9606	1	0.2511	0.5620	0.5000	231	remote_sequence	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	1	7zxe-assembly1.cif.gz	A	H	12.565	15.337	0	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
SCF:0000024	3_10	AC:000019	Q92966	Q00403	Q9HAW0	PDB_exact_pair_aggregate	9fsr-assembly1.cif.gz:S-Y	3.737	5	5	repeated_exact_PDB_contact_interface_size_pending	9606	9606	9606	1	0.2710	0.6772	0.5107	214	remote_sequence	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	1	7zxe-assembly1.cif.gz	H	A	12.565	15.337	0	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
SCF:0000025	11_24	AC:000021	A4VD75	I7M6H4	I7M9J2	same_assembly_bridge	8bx8-assembly1.cif.gz:P-B	1.087	2	4	same_assembly_bridge_interface_pass	312017	312017	312017	1	0.4006	0.8402	0.7621	3502	medium	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	1	8bx8-assembly1.cif.gz	P	C	9.893	10.679	0	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
SCF:0000026	11_24	AC:000022	P21082	P20979	P20504	same_assembly_bridge	8rqk-assembly1.cif.gz:M-A	2.245	7	7	same_assembly_bridge_interface_pass	10249	10249	10249	1	0.2984	0.8021	0.5264	677	remote_sequence	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	1	8rqk-assembly1.cif.gz	M	O	18.169	21.831	0	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
SCF:0000027	11_24	AC:000022	P21082	P20979	P68439	PDB_exact_pair_aggregate	9fpy-assembly1.cif.gz:I-L	2.193	1	3	repeated_exact_PDB_contact_interface_size_pending	10249	10249	10249	1	0.2906	0.7299	0.7748	616	remote_sequence	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	2	8rqk-assembly1.cif.gz	M	O	18.169	21.831	0	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
SCF:0000028	11_24	AC:000024	P26784	P36160	P38805	PDB_exact_pair_aggregate	8v84-assembly1.cif.gz:O-VA	2.240	1	9	repeated_exact_PDB_contact_interface_size_pending	559292	559292	559292	1	0.3396	0.6163	0.7186	212	medium	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	1	7oht-assembly1.cif.gz	O	X	28.542	31.006	0	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
SCF:0000029	11_24	AC:000024	P26784	P36160	P26321	PDB_exact_pair_aggregate	6r84-assembly1.cif.gz:H-Q	2.682	9	165	repeated_exact_PDB_contact_interface_size_pending	559292	559292	559292	1	0.3352	0.5116	0.5926	176	remote_sequence	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	2	7oht-assembly1.cif.gz	O	X	28.542	31.006	0	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
SCF:0000030	11_24	AC:000024	P26784	P36160	P40007	PDB_exact_pair_aggregate	7ohx-assembly1.cif.gz:IA-O	2.441	3	16	repeated_exact_PDB_contact_interface_size_pending	559292	559292	559292	1	0.3226	0.5407	0.8052	186	remote_sequence	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	3	7oht-assembly1.cif.gz	O	X	28.542	31.006	0	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
SCF:0000031	11_24	AC:000024	P36160	P26784	P0C0W9	PDB_exact_pair_aggregate	6m62-assembly1.cif.gz:BB-J	2.760	1	13	repeated_exact_PDB_contact_interface_size_pending	559292	559292	559292	1	0.3548	0.6231	0.7126	124	medium	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	1	7oht-assembly1.cif.gz	X	O	28.542	31.006	0	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
SCF:0000032	11_24	AC:000028	Q24I09	W7XBF5	Q23S01	PDB_exact_pair_aggregate	8b6g-assembly1.cif.gz:J-K	2.791	3	3	repeated_exact_PDB_contact_interface_size_pending	312017	312017	312017	1	0.2333	0.6742	0.5825	60	remote_sequence	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	1	8b6g-assembly1.cif.gz	J	C	37.022	41.664	0	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
SCF:0000033	11_24	AC:000029	Q9W0I7	P49735	Q9XYU1	PDB_exact_pair_aggregate	6rax-assembly1.cif.gz:B-J	2.231	1	3	repeated_exact_PDB_contact_interface_size_pending	7227	7227	7227	1	0.3898	0.6652	0.7204	590	medium	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	1	6ray-assembly1.cif.gz	H	K	34.870	38.458	0	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
SCF:0000034	11_24	AC:000029	Q9W0I7	P49735	Q9V461	PDB_exact_pair_aggregate	6raz-assembly1.cif.gz:H-J	1.431	1	4	repeated_exact_PDB_contact_interface_size_pending	7227	7227	7227	1	0.3806	0.6516	0.7075	578	medium	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	2	6ray-assembly1.cif.gz	H	K	34.870	38.458	0	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
SCF:0000035	11_24	AC:000029	Q9W0I7	P49735	Q9VGW6	same_assembly_bridge	6ray-assembly1.cif.gz:H-E	2.440	4	4	same_assembly_bridge_interface_pass	7227	7227	7227	1	0.3697	0.6618	0.8008	587	medium	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	3	6ray-assembly1.cif.gz	H	K	34.870	38.458	0	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
SCF:0000036	11_24	AC:000032	C4R273	C4QY79	F2QPE6	PDB_exact_pair_aggregate	8jh2-assembly1.cif.gz:H-I	2.792	2	40	repeated_exact_PDB_contact_interface_size_pending	644223	644223	981350	0	1.0000	0.9292	0.9130	105	high	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	1	8yfr-assembly1.cif.gz	H	I	43.130	51.540	0	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
SCF:0000037	11_24	AC:000034	C3SQX2	C3SR57	P0A7R5	PDB_exact_pair_aggregate	9rtu-assembly1.cif.gz:JA-QA	3.097	2	2	repeated_exact_PDB_contact_interface_size_pending	562	562	83333	0	0.3171	0.6357	0.7961	82	medium	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	1	9sx2-assembly1.cif.gz	C	K	36.554	38.219	0	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
SCF:0000038	11_24	AC:000034	C3SQX2	C3SR57	C3SQT7	PDB_exact_pair_aggregate	7pjz-assembly1.cif.gz:JA-QA	2.734	11	12	repeated_exact_PDB_contact_interface_size_pending	562	562	562	1	0.3171	0.6357	0.7961	82	medium	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	2	9sx2-assembly1.cif.gz	C	K	36.554	38.219	0	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
SCF:0000039	11_24	AC:000034	C3SQX2	C3SR57	P0AG59	PDB_exact_pair_aggregate	9rtu-assembly1.cif.gz:JA-UA	2.216	2	2	repeated_exact_PDB_contact_interface_size_pending	562	562	83333	0	0.3049	0.6357	0.8119	82	medium	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	3	9sx2-assembly1.cif.gz	C	K	36.554	38.219	0	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
SCF:0000040	11_24	AC:000035	A0A4V8GZZ5	A0A4V8GZZ8	A0A4V8H006	PDB_exact_pair_aggregate	6igz-assembly1.cif.gz:D-L	2.638	1	3	repeated_exact_PDB_contact_interface_size_pending	325651	325651	325651	1	0.3494	0.5907	0.8384	166	remote_sequence	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	2	6igz-assembly1.cif.gz	L	O	38.399	43.299	0	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
SCF:0000041	3_10	AC:000036	O74499	P87173	O14352	same_assembly_bridge	6ppv-assembly1.cif.gz:G-D	2.342	6	4	same_assembly_bridge_interface_pass	284812	284812	284812	1	0.3431	0.7286	0.8430	102	medium	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	1	6ppv-assembly1.cif.gz	G	A	9.749	13.339	0	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
SCF:0000042	11_24	AC:000038	B6A879	B6A880	B6A878	same_assembly_bridge	9cbc-assembly1.cif.gz:O-B	3.476	3	3	same_assembly_bridge_interface_pass	935293	935293	935293	1	0.2680	0.6624	0.7221	985	remote_sequence	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	1	9cbc-assembly1.cif.gz	O	P	41.409	41.409	0	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
SCF:0000043	11_24	AC:000039	A0A9R0JF29	A0A9R0I5M6	A0A9R0J865	PDB_exact_pair_aggregate	8xzv-assembly1.cif.gz:N-R	2.564	1	1	single_exact_PDB_contact_interface_size_pending	3562	3562	3562	1	0.2941	0.6000	0.5635	102	remote_sequence	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	1	8xzv-assembly1.cif.gz	N	P	96.416	104.074	0	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
SCF:0000044	11_24	AC:000041	P39744	P43586	Q02326	PDB_exact_pair_aggregate	8e5t-assembly1.cif.gz:B-E	2.900	1	3	repeated_exact_PDB_contact_interface_size_pending	559292	559292	559292	1	0.3525	0.6814	0.7898	139	medium	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	1	7r6k-assembly1.cif.gz	C	B	15.192	18.796	0	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
SCF:0000045	11_24	AC:000041	P39744	P43586	P26784	PDB_exact_pair_aggregate	8e5t-assembly1.cif.gz:B-O	2.648	1	3	repeated_exact_PDB_contact_interface_size_pending	559292	559292	559292	1	0.2752	0.5343	0.5477	109	remote_sequence	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	3	7r6k-assembly1.cif.gz	C	B	15.192	18.796	0	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
SCF:0000046	11_24	AC:000041	P43586	P39744	Q07896	same_assembly_bridge	7r6k-assembly1.cif.gz:B-F	2.930	1	1	same_assembly_bridge_interface_pass	559292	559292	559292	1	0.2712	0.6648	0.7119	472	remote_sequence	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	1	7r6k-assembly1.cif.gz	B	C	15.192	18.796	0	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
