unified_triplet_id	evidence_route	negative_audit_label	negative_provisional_tier	structure_assembly_size_stratum	sequence_similarity_tier	sequence_identity_pct	min_tm	tmvec_proxy_score	negative_construct_or_isoform_scope_flag	ac_pair_key	ad_pair_key	sequence_complete	missing_roles	pilot_stratum	sampling_priority
CFPPI:LIT:000853995	protnegdb_literature_noninteraction	broad	scope_or_evidence_review		homologous_ge30_mincov50	45.200	0.4315		1	P17948|P49767	P35968|P49767	1			
CFPPI:LIT:001352877	protnegdb_literature_noninteraction	broad	positive_conflict_review		homologous_ge30_mincov50	35.000	0.3300		1	P05067|P37840	P37840|P51693	1			
CFPPI:LIT:000426069	protnegdb_literature_noninteraction	broad	scope_or_evidence_review		moderate_ge20_mincov40	29.000	0.3946		1	P16858|Q9CQI1	P16858|Q9CXM0	1			
CFPPI:LIT:001440753	protnegdb_literature_noninteraction	strict	entity_mapping_review		moderate_ge20_mincov40	36.100	0.3259		1	P10721|P15692	P15692|P17948	1			
CFPPI:LIT:000479827	protnegdb_literature_noninteraction	broad	positive_conflict_review		moderate_ge20_mincov40	28.200	0.2561		1	P08174|Q9UHX3	Q03591|Q9UHX3	1			
CFPPI:LIT:000550561	protnegdb_literature_noninteraction	broad	positive_conflict_review		moderate_ge20_mincov40	28.000	0.3105		1	P00533|P29317	P00533|P30530	1			
CFPPI:LIT:001074144	protnegdb_literature_noninteraction	broad	positive_conflict_review		homologous_ge30_mincov50	46.600	0.4127		0	Q02763|Q15389	P35590|Q15389	1			
CFPPI:LIT:001850976	protnegdb_literature_noninteraction	broad	positive_conflict_review		moderate_ge20_mincov40	25.900	0.4566		1	Q13188|Q14BN4	Q13555|Q14BN4	1			
CFPPI:LIT:000946590	protnegdb_literature_noninteraction	strict	method_recovery		moderate_ge20_mincov40	40.600	0.4613		1	Q96F46|Q9P0M4	Q16552|Q96F46	1			
CFPPI:LIT:000531185	protnegdb_literature_noninteraction	broad	positive_conflict_review		moderate_ge20_mincov40	38.300	0.4489		1	P07900|Q13627	P07900|Q8NE63	1			
CFPPI:LIT:000528872	protnegdb_literature_noninteraction	strict	method_recovery		moderate_ge20_mincov40	34.100	0.4353		1	O14640|Q13555	O14640|P53350	1			
CFPPI:LIT:001164756	protnegdb_literature_noninteraction	broad	positive_conflict_review		high_ge50_mincov70	59.100	0.2255		1	P42858|P54257	P42858|P54256	1			
CFPPI:LIT:000944790	protnegdb_literature_noninteraction	strict	entity_mapping_review		moderate_ge20_mincov40	34.600	0.2136		0	Q9H0R8|Q9Y6K9	Q96CV9|Q9H0R8	1			
CFPPI:LIT:000527190	protnegdb_literature_noninteraction	broad	scope_or_evidence_review		moderate_ge20_mincov40	36.500	0.2720		1	P45984|Q05923	P45984|Q13202	1			
CFPPI:LIT:000018128	protnegdb_literature_noninteraction	strict	positive_conflict_review		moderate_ge20_mincov40	27.500	0.4484		0	O43521|Q16611	O43521|P97287	1			
CFPPI:LIT:001185634	protnegdb_literature_noninteraction	strict	gold_candidate		high_ge50_mincov70	72.500	0.4986		1	Q9ESN9|Q9H0B6	O88447|Q9ESN9	1			
CFPPI:LIT:001666093	protnegdb_literature_noninteraction	broad	scope_or_evidence_review		moderate_ge20_mincov40	29.400	0.3749		1	P19838|Q03181	P19838|P22736	1			
CFPPI:LIT:001413768	protnegdb_literature_noninteraction	broad	positive_conflict_review		moderate_ge20_mincov40	28.400	0.2010		1	P05412|P17275	P17275|P17544	1			
CFPPI:LIT:000317713	protnegdb_literature_noninteraction	strict	entity_mapping_review		moderate_ge20_mincov40	27.300	0.4442		0	Q15208|Q9Y3A3	Q13555|Q9Y3A3	1			
CFPPI:LIT:001929908	protnegdb_literature_noninteraction	broad	positive_conflict_review		homologous_ge30_mincov50	34.500	0.3782		1	Q13546|Q14790	Q13546|Q92851	1			
CFPPI:LIT:001937064	protnegdb_literature_noninteraction	broad	positive_conflict_review		high_ge50_mincov70	51.800	0.3482		1	O00220|P50591	O14763|P50591	1			
CFPPI:LIT:000508347	protnegdb_literature_noninteraction	broad	positive_conflict_review		high_ge50_mincov70	83.900	0.4202		1	O35618|Q00987	O15151|Q00987	1			
CFPPI:LIT:001744081	protnegdb_literature_noninteraction	broad	positive_conflict_review		moderate_ge20_mincov40	37.800	0.4600		1	Q13131|Q15831	P31749|Q15831	1			
CFPPI:LIT:001696616	protnegdb_literature_noninteraction	broad	positive_conflict_review		moderate_ge20_mincov40	24.800	0.2381		1	O75496|O95343	O75496|P61371	1			
CFPPI:LIT:001316964	protnegdb_literature_noninteraction	strict	entity_mapping_review		moderate_ge20_mincov40	59.300	0.3292		1	P05019|P11717	P01344|P11717	1			
CFPPI:LIT:000910515	protnegdb_literature_noninteraction	broad	entity_mapping_review		moderate_ge20_mincov40	22.700	0.4368		1	O60885|P53350	O60885|P50750	1			
CFPPI:LIT:001880323	protnegdb_literature_noninteraction	broad	positive_conflict_review		moderate_ge20_mincov40	51.700	0.3389		1	P04637|Q96J02	O15350|Q96J02	1			
CFPPI:LIT:000765973	protnegdb_literature_noninteraction	strict	entity_mapping_review		homologous_ge30_mincov50	30.500	0.3965		1	P00742|P07204	P00734|P07204	1			
CFPPI:LIT:001781515	protnegdb_literature_noninteraction	broad	scope_or_evidence_review		homologous_ge30_mincov50	33.000	0.4981		0	Q15223|Q92692	Q92692|Q9NQS3	1			
CFPPI:LIT:001669529	protnegdb_literature_noninteraction	broad	positive_conflict_review		moderate_ge20_mincov40	37.500	0.4760		0	P19838|P20749	P19838|P25963	1			
CFPPI:LIT:000323957	protnegdb_literature_noninteraction	broad	entity_mapping_review		moderate_ge20_mincov40	27.700	0.4210		1	O50245|Q9MA75	P15597|Q9MA75	1			
CFPPI:LIT:000415118	protnegdb_literature_noninteraction	strict	positive_conflict_review		moderate_ge20_mincov40	27.500	0.2473		0	P35918|P97946	P35918|Q00731	1			
CFPPI:LIT:001612495	protnegdb_literature_noninteraction	broad	positive_conflict_review		homologous_ge30_mincov50	31.000	0.4277		1	P0DTC2|Q9BYF1	Q6Q1S2|Q9BYF1	1			
CFPPI:LIT:000803674	protnegdb_literature_noninteraction	broad	positive_conflict_review		moderate_ge20_mincov40	42.800	0.4632		1	P11362|Q15418	P11362|P31749	1			
CFPPI:LIT:001528147	protnegdb_literature_noninteraction	broad	positive_conflict_review		homologous_ge30_mincov50	36.200	0.3574		1	Q13485|Q14669	O15198|Q14669	1			
CFPPI:LIT:000358366	protnegdb_literature_noninteraction	broad	positive_conflict_review		high_ge50_mincov70	62.300	0.4508		1	P37840|Q5S007	Q5S007|Q63754	1			
CFPPI:LIT:001891465	protnegdb_literature_noninteraction	broad	positive_conflict_review		moderate_ge20_mincov40	28.500	0.4566		1	Q12933|Q13077	Q13077|Q9Y4K3	1			
CFPPI:LIT:000295208	protnegdb_literature_noninteraction	broad	positive_conflict_review		homologous_ge30_mincov50	43.900	0.4538		1	O00308|Q96B67	Q96B67|Q96PU5	1			
CFPPI:LIT:001726388	protnegdb_literature_noninteraction	broad	positive_conflict_review		near_identical_ge90_mincov80	93.000	0.3839		1	P29590|P78317	O88846|P29590	1			
CFPPI:LIT:001910946	protnegdb_literature_noninteraction	broad	scope_or_evidence_review		moderate_ge20_mincov40	36.600	0.3289		1	Q13618|Q96SI1	Q13618|Q96MP8	1			
CFPPI:LIT:001824155	protnegdb_literature_noninteraction	broad	entity_mapping_review		moderate_ge20_mincov40	31.100	0.4570		1	Q8NHY2|Q9FN03	Q9FN03|Q9LTJ6	1			
CFPPI:LIT:000829512	protnegdb_literature_noninteraction	broad	positive_conflict_review		high_ge50_mincov70	83.700	0.4797		1	A5YKK6|P26651	A5YKK6|P22893	1			
CFPPI:LIT:000493720	protnegdb_literature_noninteraction	broad	scope_or_evidence_review		homologous_ge30_mincov50	43.800	0.4840		1	P35918|P49764	P35969|P49764	1			
CFPPI:LIT:000829096	protnegdb_literature_noninteraction	broad	scope_or_evidence_review		moderate_ge20_mincov40	24.400	0.4920		1	Q7Z434|Q9Y2H1	P0C263|Q7Z434	1			
CFPPI:LIT:001176335	protnegdb_literature_noninteraction	broad	positive_conflict_review		moderate_ge20_mincov40	23.300	0.2420		0	P01024|P08603	P01024|P20023	1			
CFPPI:LIT:001492639	protnegdb_literature_noninteraction	strict	positive_conflict_review		moderate_ge20_mincov40	25.200	0.4583		1	P15018|P42702	P15018|P40189	1			
CFPPI:LIT:001927693	protnegdb_literature_noninteraction	broad	positive_conflict_review		homologous_ge30_mincov50	49.600	0.4382		1	Q39204|Q9LMA8	Q9FIP9|Q9LMA8	1			
CFPPI:LIT:001594521	protnegdb_literature_noninteraction	broad	positive_conflict_review		homologous_ge30_mincov50	30.500	0.4783		0	P08581|P12931	P08581|P43405	1			
CFPPI:LIT:001695022	protnegdb_literature_noninteraction	broad	scope_or_evidence_review		moderate_ge20_mincov40	21.500	0.4163		1	P12931|Q9NPB6	Q96KB5|Q9NPB6	1			
CFPPI:LIT:000517461	protnegdb_literature_noninteraction	broad	scope_or_evidence_review		moderate_ge20_mincov40	25.400	0.2299		0	O60674|P26358	P26358|Q9UK32	1			
CFPPI:LIT:001924219	protnegdb_literature_noninteraction	strict	positive_conflict_review		homologous_ge30_mincov50	32.400	0.4807		1	O22476|Q94F62	Q94F62|Q9FL28	1			
CFPPI:LIT:000427414	protnegdb_literature_noninteraction	strict	method_recovery		moderate_ge20_mincov40	25.700	0.4852		0	P06493|Q96AV8	P31749|Q96AV8	1			
CFPPI:LIT:000972087	protnegdb_literature_noninteraction	broad	scope_or_evidence_review		moderate_ge20_mincov40	24.200	0.4207		1	P06241|Q02156	Q02156|Q9BXA7	1			
CFPPI:LIT:001089002	protnegdb_literature_noninteraction	broad	positive_conflict_review		moderate_ge20_mincov40	38.900	0.4594		1	P62993|Q06124	P18031|P62993	1			
CFPPI:LIT:000623551	protnegdb_literature_noninteraction	broad	scope_or_evidence_review		moderate_ge20_mincov40	23.900	0.3140		1	P17813|P61812	P17813|Q9UK05	1			
CFPPI:LIT:000988608	protnegdb_literature_noninteraction	broad	positive_conflict_review		moderate_ge20_mincov40	22.000	0.4068		1	O14931|Q9NZQ7	O14931|Q68D85	1			
CFPPI:LIT:001408482	protnegdb_literature_noninteraction	strict	method_recovery		moderate_ge20_mincov40	32.300	0.4409		1	O43791|P10398	O43791|P12931	1			
CFPPI:LIT:001510940	protnegdb_literature_noninteraction	strict	method_recovery		homologous_ge30_mincov50	40.800	0.2004		1	P01137|Q14767	P01137|Q14766	1			
CFPPI:LIT:001575838	protnegdb_literature_noninteraction	broad	scope_or_evidence_review		homologous_ge30_mincov50	30.600	0.4906		1	P0C0L5|P15529	P01024|P15529	1			
CFPPI:LIT:001815415	protnegdb_literature_noninteraction	broad	entity_mapping_review		homologous_ge30_mincov50	34.000	0.4518		1	P19793|Q92570	P10276|P19793	1			
CFPPI:LIT:001280836	protnegdb_literature_noninteraction	broad	positive_conflict_review		moderate_ge20_mincov40	27.600	0.4673		1	P07900|Q9UIM3	P07900|Q13451	1			
CFPPI:LIT:000827354	protnegdb_literature_noninteraction	broad	positive_conflict_review		homologous_ge30_mincov50	48.700	0.4061		1	Q9BSM1|Q9Y2K7	Q8NHM5|Q9BSM1	1			
CFPPI:LIT:000643663	protnegdb_literature_noninteraction	strict	positive_conflict_review		high_ge50_mincov70	50.000	0.3631		0	P04626|P07900	P00533|P07900	1			
CFPPI:LIT:000623185	protnegdb_literature_noninteraction	broad	positive_conflict_review		moderate_ge20_mincov40	22.500	0.3094		1	P01137|P17813	P17813|Q9UK05	1			
CFPPI:LIT:000766947	protnegdb_literature_noninteraction	broad	scope_or_evidence_review		homologous_ge30_mincov50	34.500	0.4495		0	P00748|Q03405	P00749|Q03405	1			
CFPPI:LIT:000992291	protnegdb_literature_noninteraction	strict	positive_conflict_review		high_ge50_mincov70	52.000	0.4977		0	Q96ST3|Q9UKV0	Q62141|Q9UKV0	1			
CFPPI:LIT:000406463	protnegdb_literature_noninteraction	broad	entity_mapping_review		homologous_ge30_mincov50	32.700	0.4737		1	P06239|P46108	P43403|P46108	1			
CFPPI:LIT:001861658	protnegdb_literature_noninteraction	broad	positive_conflict_review		moderate_ge20_mincov40	22.200	0.3365		1	O43683|O43684	O43684|O60566	1			
CFPPI:LIT:000406316	protnegdb_literature_noninteraction	broad	positive_conflict_review		high_ge50_mincov70	57.400	0.4541		1	P46108|Q13905	P46109|Q13905	1			
CFPPI:LIT:000640960	protnegdb_literature_noninteraction	broad	positive_conflict_review		high_ge50_mincov70	54.200	0.4869		1	P00519|P04626	P04626|P42684	1			
CFPPI:LIT:000377491	protnegdb_literature_noninteraction	broad	positive_conflict_review		homologous_ge30_mincov50	30.900	0.4902		1	P55284|Q02248	P33148|Q02248	1			
CFPPI:LIT:001768025	protnegdb_literature_noninteraction	broad	positive_conflict_review		homologous_ge30_mincov50	41.400	0.4660		1	P49023|Q05397	Q05397|Q62219	1			
CFPPI:LIT:000172638	protnegdb_literature_noninteraction	broad	positive_conflict_review		homologous_ge30_mincov50	42.500	0.3584		1	Q15596|Q15788	Q15788|Q9Y6Q9	1			
CFPPI:LIT:001317169	protnegdb_literature_noninteraction	broad	positive_conflict_review		homologous_ge30_mincov50	31.900	0.4532		1	P05019|P24593	P05019|P08833	1			
CFPPI:LIT:000762119	protnegdb_literature_noninteraction	broad	scope_or_evidence_review		moderate_ge20_mincov40	26.400	0.4088		1	P00734|P13726	P08709|P13726	1			
CFPPI:LIT:000101955	protnegdb_literature_noninteraction	strict	method_recovery		moderate_ge20_mincov40	36.700	0.4394		0	Q00534|Q99497	Q8IVW4|Q99497	1			
CFPPI:LIT:000191708	protnegdb_literature_noninteraction	broad	positive_conflict_review		moderate_ge20_mincov40	29.000	0.4153		1	Q13618|Q9Y6Y0	Q13618|Q9UH77	1			
CFPPI:LIT:001654334	protnegdb_literature_noninteraction	broad	positive_conflict_review		high_ge50_mincov70	51.100	0.3279		1	P15172|Q99081	P15172|P15923	1			
CFPPI:LIT:000329275	protnegdb_literature_noninteraction	broad	positive_conflict_review		moderate_ge20_mincov40	24.200	0.3121		1	P61586|Q96PY5	O08808|P61586	1			
CFPPI:LIT:000121930	protnegdb_literature_noninteraction	broad	positive_conflict_review		homologous_ge30_mincov50	37.800	0.4464		1	P01889|Q8N423	P01889|P43630	1			
CFPPI:LIT:001370889	protnegdb_literature_noninteraction	broad	positive_conflict_review		moderate_ge20_mincov40	26.700	0.4487		1	P24394|P31785	P24394|P78552	1			
CFPPI:LIT:000248665	protnegdb_literature_noninteraction	broad	positive_conflict_review		moderate_ge20_mincov40	51.700	0.3389		1	P04637|Q8WUF5	O15350|Q8WUF5	1			
CFPPI:LIT:000172163	protnegdb_literature_noninteraction	broad	scope_or_evidence_review		homologous_ge30_mincov50	32.900	0.4919		0	Q15596|Q62986	P19793|Q15596	1			
CFPPI:LIT:001087926	protnegdb_literature_noninteraction	broad	positive_conflict_review		homologous_ge30_mincov50	30.200	0.2959		1	P30530|P62993	P54762|P62993	1			
CFPPI:LIT:000000449	protnegdb_literature_noninteraction	strict	silver_candidate		moderate_ge20_mincov40	29.500	0.4707		1	Q03181|Q9Y5X4	Q03181|Q13133	1			
CFPPI:LIT:001745513	protnegdb_literature_noninteraction	broad	scope_or_evidence_review		moderate_ge20_mincov40	24.800	0.4972		1	O00170|P17612	O00170|P49761	1			
CFPPI:LIT:000688391	protnegdb_literature_noninteraction	broad	scope_or_evidence_review		homologous_ge30_mincov50	35.900	0.3245		1	Q8BPM0|Q8R4H2	O15085|Q8BPM0	1			
CFPPI:LIT:000841057	protnegdb_literature_noninteraction	broad	scope_or_evidence_review		homologous_ge30_mincov50	44.800	0.3212		1	Q8N0X7|Q96PU5	Q8N0X7|Q9HAU4	1			
CFPPI:LIT:001706638	protnegdb_literature_noninteraction	broad	positive_conflict_review		homologous_ge30_mincov50	35.700	0.3920		1	O00459|P09619	O00459|P10721	1			
CFPPI:LIT:000522747	protnegdb_literature_noninteraction	strict	method_recovery		moderate_ge20_mincov40	42.400	0.2814		1	Q14145|Q9WTM4	Q14145|Q14494	1			
CFPPI:LIT:001116639	protnegdb_literature_noninteraction	broad	scope_or_evidence_review		moderate_ge20_mincov40	28.200	0.3682		0	O15066|Q9H0H5	Q02241|Q9H0H5	1			
CFPPI:LIT:001929122	protnegdb_literature_noninteraction	broad	positive_conflict_review		homologous_ge30_mincov50	40.200	0.4089		1	O75815|P56945	P56945|Q8N5H7	1			
CFPPI:LIT:001452456	protnegdb_literature_noninteraction	strict	positive_conflict_review		high_ge50_mincov70	56.700	0.3935		1	P01116|P04049	P01116|P15056	1			
CFPPI:LIT:001549920	protnegdb_literature_noninteraction	broad	entity_mapping_review		moderate_ge20_mincov40	25.900	0.4341		1	P10636|Q9WV60	P10636|P39688	1			
CFPPI:LIT:001057168	protnegdb_literature_noninteraction	broad	positive_conflict_review		homologous_ge30_mincov50	38.500	0.2091		1	P21187|Q8NDV7	P21187|Q9UPQ9	1			
CFPPI:LIT:001526906	protnegdb_literature_noninteraction	broad	positive_conflict_review		moderate_ge20_mincov40	30.000	0.4834		1	Q13485|Q15831	O15530|Q13485	1			
CFPPI:LIT:000819764	protnegdb_literature_noninteraction	broad	scope_or_evidence_review		moderate_ge20_mincov40	30.000	0.4581		0	P26718|Q13241	P26717|Q13241	1			
CFPPI:LIT:001396358	protnegdb_literature_noninteraction	broad	entity_mapping_review		moderate_ge20_mincov40	28.400	0.3069		1	O02002|Q24307	O02002|Q24306	1			
CFPPI:LIT:000799185	protnegdb_literature_noninteraction	broad	positive_conflict_review		high_ge50_mincov70	61.400	0.4457		1	P09038|P22455	P09038|P21802	1			
CFPPI:LIT:001083783	protnegdb_literature_noninteraction	broad	positive_conflict_review		moderate_ge20_mincov40	28.400	0.3831		1	P62993|Q13905	P46108|Q13905	1			
CFPPI:LIT:001530751	protnegdb_literature_noninteraction	strict	positive_conflict_review		moderate_ge20_mincov40	28.600	0.4302		0	O15105|Q9HAU4	P84022|Q9HAU4	1			
CFPPI:LIT:000501814	protnegdb_literature_noninteraction	broad	positive_conflict_review		homologous_ge30_mincov50	31.500	0.3067		1	Q8IU60|Q8IZD4	Q8IU60|Q9NPI6	1			
CFPPI:LIT:000639097	protnegdb_literature_noninteraction	broad	entity_mapping_review		near_identical_ge90_mincov80	95.000	0.3724		0	O55042|Q3UJU9	P37840|Q3UJU9	1			
CFPPI:LIT:001223054	protnegdb_literature_noninteraction	broad	positive_conflict_review		moderate_ge20_mincov40	34.500	0.4143		1	P01112|P04049	P01112|P12931	1			
CFPPI:LIT:001921418	protnegdb_literature_noninteraction	broad	scope_or_evidence_review		homologous_ge30_mincov50	43.600	0.4954		1	Q38876|Q9FVC1	Q38876|Q9SZJ6	1			
CFPPI:LIT:000661054	protnegdb_literature_noninteraction	broad	positive_conflict_review		moderate_ge20_mincov40	27.200	0.2115		1	O43791|P11308	O43791|Q9UKW6	1			
CFPPI:LIT:001583642	protnegdb_literature_noninteraction	broad	positive_conflict_review		moderate_ge20_mincov40	48.300	0.3389		1	O15350|Q00987	P04637|Q00987	1			
CFPPI:LIT:000088500	protnegdb_literature_noninteraction	broad	positive_conflict_review		moderate_ge20_mincov40	28.300	0.4658		0	P14635|P24941	P14635|Q99640	1			
CFPPI:LIT:000562630	protnegdb_literature_noninteraction	strict	positive_conflict_review		high_ge50_mincov70	50.900	0.4644		1	P00533|Q02297	Q02297|Q15303	1			
CFPPI:LIT:001802797	protnegdb_literature_noninteraction	strict	positive_conflict_review		high_ge50_mincov70	61.800	0.2801		1	O60238|P10415	P10415|Q12983	1			
CFPPI:LIT:000808009	protnegdb_literature_noninteraction	broad	positive_conflict_review		homologous_ge30_mincov50	30.800	0.4734		1	P09769|P10721	P10721|P43403	1			
CFPPI:LIT:000813985	protnegdb_literature_noninteraction	broad	scope_or_evidence_review		high_ge50_mincov70	50.700	0.2644		0	Q14164|Q8VCF0	Q14164|Q7Z434	1			
CFPPI:LIT:000018495	protnegdb_literature_noninteraction	broad	positive_conflict_review		high_ge50_mincov70	86.500	0.4298		1	O43521|Q07817	O54918|Q07817	1			
CFPPI:LIT:000881841	protnegdb_literature_noninteraction	broad	positive_conflict_review		homologous_ge30_mincov50	43.000	0.3985		1	Q15633|Q9UPY3	O75569|Q9UPY3	1			
CFPPI:LIT:000140433	protnegdb_literature_noninteraction	broad	scope_or_evidence_review		moderate_ge20_mincov40	31.900	0.4867		1	P49841|P63244	P63244|Q16566	1			
CFPPI:LIT:001273064	protnegdb_literature_noninteraction	strict	positive_conflict_review		moderate_ge20_mincov40	33.400	0.2498		1	P42574|P98170	P42574|Q96CA5	1			
CFPPI:LIT:000253047	protnegdb_literature_noninteraction	broad	positive_conflict_review		moderate_ge20_mincov40	76.700	0.3849		0	P13688|P31997	P06731|P13688	1			
CFPPI:LIT:000408414	protnegdb_literature_noninteraction	broad	positive_conflict_review		moderate_ge20_mincov40	25.400	0.3546		0	P29353|P46109	P29353|P62994	1			
CFPPI:LIT:001492282	protnegdb_literature_noninteraction	broad	positive_conflict_review		near_identical_ge90_mincov80	100.000	0.9995		1	P52565|P63000	P52565|P63001	1			
CFPPI:LIT:001720072	protnegdb_literature_noninteraction	broad	positive_conflict_review		near_identical_ge90_mincov80	96.800	0.8485		1	P20339|P27986	P20339|P23727	1			
