triplet_id	ac_id	A	C	D	complex_size_bin	n_pdb_AC	replicated_AC	A_C_min_heavy	A_D_min_heavy	positive_source	seqid_CD	seqid_CD_bin	negative_pdb	negative_pdb_release	positive_example_pdb	positive_example_release	positive_interface_status	positive_rank	counterfactual_grade	family_split	len_A	len_C	len_D	tokens_AC	tokens_AD	max_pair_tokens	bucket	cutoff_scope
SCF:0000390	AC:000298	P59768	Q03431	Q9UP38	3_10	8	1	14.030	2.848	PDB_exact_pair_aggregate	0.353800	30_40	8FLQ	2023-04-26	8J9N	2024-01-17	single_exact_PDB_contact_interface_size_pending	2	CF-B-provisional	train_eligible	71	593	647	664	718	718	768	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0000775	AC:000643	A0A3Q7G7F0	A0A3Q7HSH1	A0A3Q7FNQ5	11_24	2	1	44.470	2.773	PDB_exact_pair_aggregate	0.276900	20_30	7QIX	2022-06-15	7QIZ	2022-08-03	single_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	train_eligible	280	249	173	529	453	529	768	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0002705	AC:002381	I7LT80	Q24CL2	Q24DJ0	11_24	2	1	37.514	2.044	PDB_exact_pair_aggregate	0.287800	20_30	8TH8	2023-09-20	8TH8	2023-09-20	repeated_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	train_eligible	472	345	506	817	978	978	1024	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0001217	AC:001016	A0QSD5	A0QSP9	A0R550	11_24	18	1	18.648	2.179	PDB_exact_pair_aggregate	0.282400	20_30	8YP6	2025-03-19	8WIF	2024-02-28	repeated_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	dropped_mixed_protein	93	150	101	243	194	243	256	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0002218	AC:001926	Q83E83	Q83AX9	Q83ER3	11_24	3	1	30.642	3.762	PDB_exact_pair_aggregate	0.298700	20_30	9T0Z	2026-04-22	9T0Z	2026-04-22	repeated_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	dropped_mixed_protein	137	139	99	276	236	276	512	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0000897	AC:000738	A0A1J7CBX1	A0A1M5L8S8	A0A1M5L6R0	11_24	8	1	30.407	3.106	PDB_exact_pair_aggregate	0.265100	20_30	9ZCD	2026-04-15	9OZZ	2026-04-15	repeated_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	dropped_mixed_protein	252	92	163	344	415	415	512	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0001545	AC:001330	A0QSG2	A0QVB8	A0QSD7	11_24	11	1	21.674	2.920	same_assembly_bridge	0.312200	30_40	8WI9	2024-02-28	8WI9	2024-02-28	same_assembly_bridge_small_interface	1	CF-B-provisional	train_ineligible_unpermuted	61	277	275	338	336	338	512	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0002490	AC:002169	I3LRR4	A0A287BAW0	A0A4X1SN37	11_24	33	1	10.253	2.105	PDB_exact_pair_aggregate	0.208800	20_30	7VYH	2022-11-23	7V2K	2022-03-02	repeated_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	family_unseen	110	116	175	226	285	285	512	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0002468	AC:002146	A0T0V0	B5YM25	B8BYV4	11_24	3	1	8.538	2.553	PDB_exact_pair_aggregate	0.421700	40_50	8ZET	2024-12-25	8ZEH	2024-12-25	single_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	train_ineligible_unpermuted	185	201	214	386	399	399	512	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0001458	AC:001262	P12352	Q75VY7	Q05093	11_24	15	1	18.604	2.606	PDB_exact_pair_aggregate	0.534300	ge50	7ZQ9	2022-11-23	7ZQD	2022-11-23	repeated_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	dropped_mixed_family	97	243	228	340	325	340	512	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0001873	AC:001611	Q8LGE7	P93313	B5TM92	11_24	8	1	54.285	3.710	PDB_exact_pair_aggregate	0.296300	20_30	8BEF	2023-01-11	8BQ6	2023-05-10	single_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	family_unseen	106	495	325	601	431	601	768	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0001455	AC:001260	A0A1B2U6N1	A0A1M6QTP8	A0A1J7BSW7	11_24	8	1	17.250	2.628	same_assembly_bridge	0.333300	30_40	9OY8	2026-04-15	9OY8	2026-04-15	same_assembly_bridge_small_interface	1	CF-B-provisional	family_unseen	98	88	113	186	211	211	256	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0001236	AC:001043	A0A287ADR4	A0A481DF93	I3LCH3	11_24	4	1	35.670	2.158	PDB_exact_pair_aggregate	1.000000	ge50	7OZN	2021-10-06	9ER2	2024-12-04	repeated_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	train_eligible	184	320	275	504	459	504	512	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0001465	AC:001270	Q8LCQ4	Q9SHE8	Q9SY97	11_24	2	1	9.908	2.376	PDB_exact_pair_aggregate	0.302300	30_40	7WFD	2022-03-16	7WFD	2022-03-16	repeated_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	dropped_mixed_protein	270	221	273	491	543	543	768	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0002872	AC:002538	P20986	P68610	P21034	11_24	3	1	10.210	2.490	PDB_exact_pair_aggregate	0.294100	20_30	8P0J	2024-05-22	8P0J	2024-05-22	repeated_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	train_eligible	288	164	161	452	449	452	512	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0000592	AC:000498	W7WX86	Q24C31	Q23YW7	11_24	2	1	77.761	2.606	PDB_exact_pair_aggregate	0.300300	30_40	8TH8	2023-09-20	8TID	2023-09-27	repeated_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	train_eligible	185	461	468	646	653	653	768	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0002195	AC:001900	G3MXC8	P61157	A7MB62	3_10	2	1	19.654	2.698	same_assembly_bridge	0.379100	30_40	8TAH	2023-09-27	8TAH	2023-09-27	same_assembly_bridge_interface_pass	1	CF-A-provisional	train_ineligible_unpermuted	154	418	394	572	548	572	768	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0002696	AC:002371	P56769	Q9SY97	P27521	11_24	3	1	18.247	4.933	PDB_exact_pair_aggregate	0.537300	ge50	7WFE	2022-03-16	7WFD	2022-03-16	single_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	dropped_mixed_family	44	273	251	317	295	317	512	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0000856	AC:000707	P28072	O95456	Q99933	11_24	5	1	26.047	2.405	PDB_exact_pair_aggregate	0.331900	30_40	8YIX	2025-01-15	9HEU	2025-12-31	repeated_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	train_eligible	239	288	345	527	584	584	768	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0001128	AC:000934	Q39615	Q75VY4	Q05093	11_24	3	1	47.631	3.333	PDB_exact_pair_aggregate	0.500000	ge50	8H2U	2023-06-14	7O01	2021-12-15	repeated_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	dropped_mixed_family	196	241	228	437	424	437	512	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0001199	AC:000999	Q8U0E4	Q8U216	Q8U4N1	11_24	5	1	56.828	2.327	PDB_exact_pair_aggregate	0.275000	20_30	8ORQ	2024-04-24	8RBO	2024-04-24	repeated_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	family_unseen	261	120	95	381	356	381	512	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0000326	AC:000246	A0QS97	A0QSD5	A0QSL5	11_24	17	1	38.579	7.493	same_assembly_bridge	0.277800	20_30	8YP6	2025-03-19	8YP6	2025-03-19	same_assembly_bridge_small_interface	1	CF-B-provisional	dropped_pdb_overlap	156	93	124	249	280	280	512	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0000739	AC:000625	A0A3B6IU74	W5FPA7	W5BFB7	11_24	3	1	23.824	2.733	PDB_exact_pair_aggregate	0.265000	20_30	8R6F	2023-12-27	8R6F	2023-12-27	repeated_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	train_eligible	263	195	159	458	422	458	512	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0002482	AC:002157	P02293	P43618	P40154	11_24	2	1	37.030	2.529	PDB_exact_pair_aggregate	0.275100	20_30	8OW0	2023-08-09	9OB1	2026-03-04	repeated_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	dropped_mixed_protein	131	361	320	492	451	492	512	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0000812	AC:000673	P36886	P13194	P36213	11_24	3	1	43.335	3.052	PDB_exact_pair_aggregate	0.383200	30_40	7EWK	2022-01-12	7EWK	2022-01-12	repeated_exact_PDB_contact_interface_size_pending	2	CF-B-provisional	dropped_mixed_protein	131	147	205	278	336	336	512	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0002211	AC:001913	Q04307	P35718	P20434	11_24	24	1	37.546	2.329	PDB_exact_pair_aggregate	0.271000	20_30	7Z30	2023-04-05	7Z1M	2022-08-31	repeated_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	train_eligible	110	212	215	322	325	325	512	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0003014	AC:002677	B8C770	A0T0M9	A0T0M8	11_24	2	1	17.173	2.500	PDB_exact_pair_aggregate	0.491200	40_50	8XLS	2024-10-30	8ZET	2024-12-25	repeated_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	train_ineligible_unpermuted	194	733	752	927	946	946	1024	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0000940	AC:000789	P0A707	P0A7T7	P69222	11_24	7	1	31.280	2.345	PDB_exact_pair_aggregate	0.309500	30_40	9SS1	2026-02-04	9SS0	2026-02-04	repeated_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	train_eligible	180	75	72	255	252	255	256	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0001173	AC:000982	P56768	Q9SA56	Q9SUI7	11_24	8	1	11.855	2.941	PDB_exact_pair_aggregate	0.309100	30_40	7WFD	2022-03-16	9GC2	2025-08-13	repeated_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	train_eligible	37	204	145	241	182	241	256	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0002744	AC:002421	Q7Z7J7	P14867	P18507	3_10	4	1	8.743	2.581	same_assembly_bridge	0.504800	ge50	9FAK	2025-07-02	9FAK	2025-07-02	same_assembly_bridge_interface_pass	1	CF-B-provisional	family_unseen	247	456	475	703	722	722	768	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0000235	AC:000192	A0A2K1JDR4	A0A2K1JLW2	A0A2K1KU02	11_24	2	1	9.613	2.546	PDB_exact_pair_aggregate	0.931300	ge50	7KSQ	2022-03-30	8HTU	2023-08-02	single_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	protein_unseen_family_seen	139	131	132	270	271	271	512	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0002313	AC:002002	A1Z8I0	Q9VA95	Q9VSY8	3_10	4	1	23.201	2.205	same_assembly_bridge	0.250000	20_30	7B6X	2022-01-12	7B6X	2022-01-12	same_assembly_bridge_interface_pass	1	CF-B-provisional	family_unseen	138	145	178	283	316	316	512	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0002034	AC:001758	P9WPS1	P9WPV3	P9WPU7	11_24	3	1	11.334	2.767	same_assembly_bridge	0.313400	30_40	8J0S	2024-05-22	8J0S	2024-05-22	same_assembly_bridge_interface_pass	1	CF-B-provisional	family_unseen	81	446	549	527	630	630	768	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0002134	AC:001827	Q9Y6G5	Q9H0A8	Q9P000	11_24	3	1	19.920	2.590	PDB_exact_pair_aggregate	0.300700	30_40	8F2U	2023-05-24	8ESD	2023-05-24	repeated_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	train_eligible	202	199	198	401	400	401	512	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0002589	AC:002270	A0T0T5	B8CEQ3	B8C0K4	11_24	2	1	9.625	2.556	PDB_exact_pair_aggregate	0.366300	30_40	8XLS	2024-10-30	8ZEH	2024-12-25	single_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	train_eligible	139	196	203	335	342	342	512	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0003025	AC:002694	C3SR12	C3SR52	C3SRY2	11_24	12	1	21.189	2.782	PDB_exact_pair_aggregate	0.280500	20_30	9SX2	2026-04-22	9MKK	2025-07-30	repeated_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	train_eligible	130	118	130	248	260	260	512	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0001748	AC:001502	Q9C639	Q9S7N7	Q9SHE8	11_24	2	1	35.045	3.030	PDB_exact_pair_aggregate	0.275600	20_30	7WFE	2022-03-16	7WFE	2022-03-16	repeated_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	dropped_mixed_family	256	160	221	416	477	477	512	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0002382	AC:002071	S0BBU7	S0BBR6	S0BCU7	11_24	8	1	10.210	2.029	same_assembly_bridge	0.361800	30_40	7VLD	2022-05-18	7VLD	2022-05-18	same_assembly_bridge_interface_pass	1	CF-B-provisional	family_unseen	165	160	166	325	331	331	512	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0000038	AC:000034	C3SQX2	C3SR57	C3SQT7	11_24	12	1	36.554	2.734	PDB_exact_pair_aggregate	0.317100	30_40	9SX2	2026-04-22	7PJZ	2021-10-20	repeated_exact_PDB_contact_interface_size_pending	2	CF-B-provisional	dropped_pdb_overlap	233	129	103	362	336	362	512	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0001816	AC:001550	A8IS47	A0A2K3CXW8	A8IH07	11_24	2	1	18.860	7.252	same_assembly_bridge	0.360000	30_40	7EKO	2021-10-20	7EKO	2021-10-20	same_assembly_bridge_small_interface	1	CF-B-provisional	train_eligible	282	411	415	693	697	697	768	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0002192	AC:001896	P14575	Q9P4W1	G2TRP5	11_24	2	1	9.994	2.577	PDB_exact_pair_aggregate	0.351400	30_40	8C8Q	2023-03-01	8C8Q	2023-03-01	repeated_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	family_unseen	269	66	59	335	328	335	512	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0002494	AC:002173	P60238	Q50755	P60239	11_24	5	1	37.830	2.216	PDB_exact_pair_aggregate	0.291400	20_30	9SW3	2026-04-29	9SW5	2026-04-29	repeated_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	family_unseen	141	302	308	443	449	449	512	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0000845	AC:000690	A8JC51	A8IKI9	A8J5P7	11_24	2	1	12.030	2.408	same_assembly_bridge	0.266700	20_30	9F5Z	2025-03-12	9F5Z	2025-03-12	same_assembly_bridge_interface_pass	1	CF-B-provisional	family_unseen	60	485	495	545	555	555	768	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0001201	AC:001001	Q15369	Q8N884	Q6PJ21	3_10	2	1	33.843	3.078	same_assembly_bridge	0.278200	20_30	8OKX	2024-02-14	8OKX	2024-02-14	same_assembly_bridge_interface_pass	2	CF-B-provisional	train_eligible	112	522	355	634	467	634	768	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0000468	AC:000366	P9WPV7	P9WPU7	P9WPV3	11_24	2	1	46.920	2.660	same_assembly_bridge	0.313400	30_40	8J0T	2024-05-22	8J0T	2024-05-22	same_assembly_bridge_interface_pass	1	CF-B-provisional	family_unseen	250	549	446	799	696	799	1024	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0002402	AC:002093	A0T0T5	B8C2K6	B8C0K4	11_24	2	1	20.649	2.556	PDB_exact_pair_aggregate	0.398900	30_40	8XLS	2024-10-30	8ZEH	2024-12-25	single_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	train_eligible	139	198	203	337	342	342	512	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0001387	AC:001192	A8ISA4	A0A2K3DHV6	A0A2K3CRM9	11_24	3	1	28.978	2.786	PDB_exact_pair_aggregate	0.296700	20_30	8XKS	2024-12-04	8XKS	2024-12-04	single_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	train_eligible	137	691	780	828	917	917	1024	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0000899	AC:000742	P13192	P36213	P13194	11_24	3	1	16.136	2.623	PDB_exact_pair_aggregate	0.383200	30_40	7EWK	2022-01-12	7EWK	2022-01-12	repeated_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	dropped_mixed_protein	235	205	147	440	382	440	512	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0000464	AC:000357	Q83D75	Q83E83	Q83AX9	11_24	3	1	42.085	2.756	PDB_exact_pair_aggregate	0.264700	20_30	9T0Z	2026-04-22	9T0Z	2026-04-22	repeated_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	dropped_mixed_protein	73	137	139	210	212	212	256	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0000449	AC:000340	P68431	Q96GM5	Q9Y230	11_24	5	1	61.189	2.681	PDB_exact_pair_aggregate	0.283000	20_30	9RL4	2026-02-11	7ZI4	2023-04-19	repeated_exact_PDB_contact_interface_size_pending	2	CF-B-provisional	train_eligible	136	515	463	651	599	651	768	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0001421	AC:001223	A0QU34	A0QU24	A0QU23	11_24	3	1	18.115	2.684	PDB_exact_pair_aggregate	0.296800	20_30	8E9G	2022-10-12	8E9H	2022-10-12	repeated_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	family_unseen	238	529	521	767	759	767	768	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0003197	AC:002868	Q9P000	Q9UBI1	Q9GZQ3	11_24	3	1	11.784	2.954	same_assembly_bridge	0.287400	20_30	8P0W	2024-03-20	8P0W	2024-03-20	same_assembly_bridge_interface_pass	1	CF-B-provisional	train_eligible	198	195	224	393	422	422	512	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0001709	AC:001472	Q99627	Q13617	Q13616	11_24	4	1	35.860	2.506	PDB_exact_pair_aggregate	0.395300	30_40	9EFQ	2025-12-03	9QO3	2026-02-18	repeated_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	train_eligible	209	745	776	954	985	985	1024	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0000952	AC:000795	P21464	P21469	P12879	11_24	17	1	36.007	3.056	PDB_exact_pair_aggregate	0.284600	20_30	8CEE	2023-12-20	7O5B	2022-02-02	repeated_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	protein_unseen_family_seen	246	156	132	402	378	402	512	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0001506	AC:001300	Q86VX2	Q9UBI1	Q9P000	11_24	3	1	24.463	2.308	PDB_exact_pair_aggregate	0.340000	30_40	8P0W	2024-03-20	8ESD	2023-05-24	repeated_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	train_eligible	200	195	198	395	398	398	512	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0003190	AC:002861	P21466	P21471	P21474	11_24	22	1	31.221	4.979	PDB_exact_pair_aggregate	0.241400	20_30	8CDV	2023-12-20	8CEE	2023-12-20	repeated_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	train_eligible	200	102	90	302	290	302	512	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0001147	AC:000957	P12352	Q75VY9	Q05093	11_24	6	1	42.172	2.606	PDB_exact_pair_aggregate	0.500000	ge50	7BGI	2021-12-08	7ZQD	2022-11-23	repeated_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	dropped_mixed_family	97	267	228	364	325	364	512	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0000053	AC:000046	A0R550	A0QVB8	A0QSD7	11_24	5	1	21.930	2.827	same_assembly_bridge	0.312200	30_40	8WIF	2024-02-28	8WIF	2024-02-28	same_assembly_bridge_small_interface	1	CF-B-provisional	train_eligible	101	277	275	378	376	378	512	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0000653	AC:000553	Q8LE42	Q9M1A8	Q9FJ98	11_24	4	1	54.338	2.936	PDB_exact_pair_aggregate	0.370000	30_40	8XMC	2024-07-24	8XMB	2024-07-24	repeated_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	train_eligible	174	146	144	320	318	320	512	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0000397	AC:000302	A8J7I9	A8IKI9	A8J5P7	11_24	2	1	21.688	2.540	same_assembly_bridge	0.266700	20_30	9F5Z	2025-03-12	9F5Z	2025-03-12	same_assembly_bridge_interface_pass	1	CF-B-provisional	family_unseen	73	485	495	558	568	568	768	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0002057	AC:001770	Q13352	Q9H3R5	Q6IPU0	11_24	3	1	8.731	2.697	PDB_exact_pair_aggregate	0.266200	20_30	7XHN	2023-01-25	7PB8	2022-04-27	repeated_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	train_eligible	177	247	288	424	465	465	512	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0003016	AC:002679	P75818	P0AE06	P02930	11_24	3	1	47.419	2.574	same_assembly_bridge	0.278600	20_30	9TG4	2026-04-08	9TG4	2026-04-08	same_assembly_bridge_interface_pass	1	CF-B-provisional	family_unseen	171	397	493	568	664	664	768	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
