triplet_id	ac_id	A	C	D	pdb_assembly	complex_size_bin	core_flag	n_pdb_AC	replicated_AC	A_C_min_heavy	A_D_min_heavy	positive_source	seqid_CD	seqid_CD_bin	family_A	family_C	family_D	score_AD_PLMInteract	score_AC_PLMInteract	delta_PLMInteract	rank_correct_PLMInteract	score_AD_DSCRIPT	score_AC_DSCRIPT	score_AD_TopsyTurvy	score_AC_TopsyTurvy
SCF:0000066	AC:000054	O43402	Q9NPA0	Q9P0I2	8j0o-assembly1.cif.gz	3_10	1	8	1	50.964	2.274	same_assembly_bridge	0.2375	20_30	O43402	Q9NPA0	Q9P0I2	0.999672	0.999857	-0.000185	0.0	0.00418	0.004179	0.657115	0.563929
SCF:0000076	AC:000064	Q12464	P31376	Q03388	9b1e-assembly1.cif.gz	11_24	1	1	0	43.333	2.69	same_assembly_bridge	0.2808	20_30	Q9Y230	P31376	Q03388	0.984606	0.976131	0.008475	1.0	0.455336	0.07308	0.79911	0.720651
SCF:0000080	AC:000070	Q9UKF6	Q969L4	P62308	6v4x-assembly1.cif.gz	3_10	1	4	1	19.473	2.569	same_assembly_bridge	0.2239	20_30	Q9UKF6	Q969L4	P62308	0.999559	0.99903	0.000529	1.0	0.956055	0.64696	0.799995	0.794957
SCF:0000082	AC:000074	G0RZG4	G0SCD1	P0CT46	8r1o-assembly1.cif.gz	3_10	1	2	1	12.76	2.579	same_assembly_bridge	0.2674	20_30	G0RZG4	G0SCD1	P0CT46	0.999613	0.999611	2e-06	1.0	0.004174	0.004174	0.129193	0.308038
SCF:0000085	AC:000077	A8IH07	A8IJY7	A8INX1	7ekq-assembly1.cif.gz	11_24	1	1	0	45.257	2.448	same_assembly_bridge	0.2961	20_30	A8IH07	A8IJY7	A8INX1	0.281478	0.015314	0.266164	1.0	0.004176	0.00418	0.531633	0.401695
SCF:0000086	AC:000077	A8IJY7	A8IH07	A8INX1	7ekq-assembly1.cif.gz	11_24	1	1	0	45.257	4.229	same_assembly_bridge	0.3052	30_40	A8IJY7	A8IH07	A8INX1	0.269701	0.015314	0.254387	1.0	0.960297	0.00418	0.671971	0.401695
SCF:0000091	AC:000083	O19928	Q9TM46	Q9TM47	4yuu-assembly2.cif.gz	11_24	1	1	0	9.558	2.421	same_assembly_bridge	0.3074	30_40	Q8DIQ1	D0VWR7	D0VWR8	0.161966	0.997992	-0.836026	0.0	0.005035	0.352048	0.033957	0.639644
SCF:0000104	AC:000094	Q99471	P50990	P40227	6nrd-assembly1.cif.gz	11_24	1	3	1	19.686	2.722	same_assembly_bridge	0.2994	20_30	Q99471	Q3ZCI9	P40227	0.999866	0.999744	0.000122	1.0	0.004181	0.004187	0.356407	0.686882
SCF:0000105	AC:000095	C4QZ45	C4R7H2	C4QZQ7	7xn7-assembly1.cif.gz	11_24	1	12	1	21.287	2.547	same_assembly_bridge	0.264	20_30	C4QZ45	C4R7H2	I3LGP4	0.999313	0.98991	0.009403	1.0	0.004177	0.00702	0.568718	0.64678
SCF:0000117	AC:000110	Q8DLL4	Q8DKZ4	Q8DL31	6l7o-assembly1.cif.gz	11_24	1	1	0	15.735	2.775	same_assembly_bridge	0.3083	30_40	Q8DLL4	Q8DKZ4	Q8DL31	0.116501	0.012734	0.103767	1.0	0.004179	0.004175	0.498636	0.498883
SCF:0000120	AC:000113	P50991	P61758	Q9NQP4	6nrb-assembly1.cif.gz	11_24	1	3	1	14.794	2.64	same_assembly_bridge	0.2455	20_30	P50991	P61758	Q9NQP4	0.999905	0.999252	0.000653	1.0	0.004445	0.008343	0.791117	0.274419
SCF:0000122	AC:000114	Q9UBF6	P61201	Q9UNS2	9eg1-assembly1.cif.gz	11_24	1	1	0	35.434	2.691	same_assembly_bridge	0.2475	20_30	P62877	P61201	Q9UNS2	0.999352	0.998194	0.001158	1.0	0.497648	0.00418	0.517313	0.708224
SCF:0000123	AC:000116	A0A125YU99	A0A125YS93	A0A125YTU2	9g9t-assembly1.cif.gz	11_24	1	1	0	36.997	2.315	same_assembly_bridge	0.2689	20_30	S7VSS5	S7W617	S7W9J5	0.999777	0.999703	7.4e-05	1.0	0.009865	0.004788	0.072367	0.783762
SCF:0000132	AC:000123	Q96SY0	Q9NV88	Q9NVM9	8rc4-assembly1.cif.gz	11_24	1	3	1	9.299	2.87	same_assembly_bridge	0.2943	20_30	Q96SY0	Q9NV88	Q9NVM9	0.929735	0.999822	-0.070087	0.0	0.004175	0.004175	0.704056	0.73605
SCF:0000139	AC:000126	A0A4V8GZZ6	A0A4V8GZZ7	A0A4V8GZZ9	6igz-assembly1.cif.gz	11_24	1	1	0	36.553	3.083	same_assembly_bridge	0.5221	ge50	Q7DM26	Q84Y02	A0A4V8GZZ9	0.999935	0.999926	9e-06	1.0	0.210106	0.183776	0.753355	0.745785
SCF:0000142	AC:000126	A0A4V8GZZ7	A0A4V8GZZ6	A0A4V8GZZ9	6igz-assembly1.cif.gz	11_24	1	1	0	36.553	3.081	same_assembly_bridge	0.4581	40_50	Q84Y02	Q7DM26	A0A4V8GZZ9	0.999938	0.999926	1.2e-05	1.0	0.606979	0.183776	0.696143	0.745785
SCF:0000154	AC:000135	Q9NQP4	Q99832	P50991	6nrd-assembly1.cif.gz	11_24	1	3	1	91.298	2.812	same_assembly_bridge	0.367	30_40	Q9NQP4	Q99832	P50991	0.999905	0.999846	5.9e-05	1.0	0.004445	0.004257	0.791117	0.579932
SCF:0000157	AC:000138	A0A2P6TPV8	A0A2P6TQ14	A0A2P6TZ50	7a4p-assembly1.cif.gz	11_24	1	2	1	33.479	2.461	same_assembly_bridge	0.4739	40_50	A0A2P6TPV8	A0A2P6TQ14	Q84Y02	0.002432	0.00839	-0.005958	0.0	0.004194	0.00419	0.682024	0.65032
SCF:0000178	AC:000153	Q01667	Q8LCQ4	P27521	7wfd-assembly1.cif.gz	11_24	1	2	1	40.56	2.369	same_assembly_bridge	0.4395	40_50	A0A9R0J8B1	F2D0D5	Q84Y02	0.999916	0.999918	-2e-06	0.0	0.384585	0.214868	0.624524	0.714371
SCF:0000179	AC:000153	Q8LCQ4	Q01667	P27521	7wfd-assembly1.cif.gz	11_24	1	2	1	40.56	2.605	same_assembly_bridge	0.4612	40_50	F2D0D5	A0A9R0J8B1	Q84Y02	0.999898	0.999918	-2e-05	0.0	0.057802	0.214868	0.694649	0.714371
SCF:0000191	AC:000164	Q9XYU1	Q9VBI1	Q9W2V7	6raz-assembly1.cif.gz	11_24	1	1	0	26.113	3.271	same_assembly_bridge	0.2869	20_30	P25205	Q9VBI1	Q9W2V7	0.999893	0.999584	0.000309	1.0	0.004342	0.004181	0.560995	0.757882
SCF:0000196	AC:000167	P38550	A0A1S3ZSI0	A0AA96C3P8	8wa1-assembly1.cif.gz	11_24	1	1	0	45.106	2.329	same_assembly_bridge	0.2629	20_30	P11704	A0A1S3ZSI0	A0AA96C3P8	0.000165	0.000844	-0.000679	0.0	0.004247	0.004179	0.534122	0.521832
SCF:0000197	AC:000168	C3SYP2	W8T6F0	C3SRY2	9sx2-assembly1.cif.gz	11_24	1	4	1	17.24	2.779	same_assembly_bridge	0.3288	30_40	C3SYP2	Q83D76	C3SRY2	0.999887	0.999788	9.9e-05	1.0	0.543242	0.856653	6.1e-05	0.753268
SCF:0000221	AC:000184	P33332	P19658	P89102	5yfp-assembly1.cif.gz	3_10	1	2	1	11.554	2.334	same_assembly_bridge	0.2733	20_30	P33332	P19658	P89102	0.000625	0.000822	-0.000197	0.0	0.004176	0.004177	0.663734	0.667504
SCF:0000225	AC:000187	P30665	P54784	P53091	6wgg-assembly1.cif.gz	11_24	1	3	1	28.643	2.44	same_assembly_bridge	0.3	30_40	P30665	P54784	P53091	0.429152	0.002078	0.427074	1.0	0.048113	0.012911	0.723162	0.715683
SCF:0000230	AC:000187	P54784	P30665	P53091	6wgg-assembly1.cif.gz	11_24	1	3	1	28.643	3.392	same_assembly_bridge	0.3807	30_40	P54784	P30665	P53091	0.52	0.002078	0.517922	1.0	0.016573	0.012911	0.711475	0.715683
SCF:0000241	AC:000194	P14736	P06839	P32776	7k04-assembly1.cif.gz	3_10	1	1	0	38.063	2.387	same_assembly_bridge	0.2441	20_30	P14736	P06839	P32776	0.973802	0.124439	0.849363	1.0	0.0042	0.061372	0.397713	0.702868
SCF:0000242	AC:000195	F2CW18	F2DAN8	Q43485	7ew6-assembly1.cif.gz	11_24	1	1	0	41.242	3.64	same_assembly_bridge	0.4714	40_50	Q84Y02	A0A2K1IB10	F2D0D5	0.999938	0.999936	2e-06	1.0	0.004291	0.005042	0.821283	0.743258
SCF:0000244	AC:000195	F2DAN8	F2CW18	Q43485	7ew6-assembly1.cif.gz	11_24	1	1	0	41.242	2.299	same_assembly_bridge	0.4758	40_50	A0A2K1IB10	Q84Y02	F2D0D5	0.999927	0.999936	-9e-06	0.0	0.161798	0.005042	0.682184	0.743258
SCF:0000249	AC:000200	P49735	Q9XYU0	Q9V461	6ray-assembly1.cif.gz	11_24	1	1	0	15.333	1.978	same_assembly_bridge	0.3611	30_40	P49735	P33993	Q9V461	0.867359	0.782638	0.084721	1.0	0.063258	0.139426	0.713597	0.732021
SCF:0000251	AC:000200	Q9XYU0	P49735	Q9V461	6ray-assembly1.cif.gz	11_24	1	1	0	15.333	1.031	same_assembly_bridge	0.3806	30_40	P33993	P49735	Q9V461	0.999879	0.782638	0.217241	1.0	0.269711	0.139426	0.703747	0.732021
SCF:0000253	AC:000201	P0AB98	P0ABA4	P0ABA0	5t4q-assembly1.cif.gz	11_24	1	3	1	130.151	3.375	same_assembly_bridge	0.2627	20_30	P0AB98	P0ABA4	P0ABA0	0.999107	0.999754	-0.000647	0.0	0.004798	0.004204	0.166537	0.252813
SCF:0000271	AC:000212	Q2V2P8	Q06675	P38313	8ow0-assembly1.cif.gz	11_24	1	2	1	8.115	2.484	same_assembly_bridge	0.3009	30_40	Q2V2P8	Q06675	P38313	0.877791	0.999834	-0.122043	0.0	0.007144	0.004178	0.44898	0.394454
SCF:0000274	AC:000214	P47047	Q12277	P38792	6fsz-assembly1.cif.gz	11_24	1	4	1	19.57	2.35	same_assembly_bridge	0.3478	30_40	P42285	Q12277	P38792	0.053456	0.998739	-0.945283	0.0	0.004369	0.004176	0.647463	0.293529
SCF:0000282	AC:000221	A0A2P6TPR7	A0A2P6TZ50	A0A2P6TS63	6zzy-assembly1.cif.gz	11_24	1	3	1	18.631	2.516	same_assembly_bridge	0.5207	ge50	A0A4V8H000	Q84Y02	Q84Y02	0.999741	0.999908	-0.000167	0.0	0.004371	0.004538	0.668601	0.796917
SCF:0000287	AC:000221	A0A2P6TZ50	A0A2P6TPR7	A0A2P6TS63	6zzy-assembly1.cif.gz	11_24	1	3	1	18.631	2.369	same_assembly_bridge	0.4541	40_50	Q84Y02	A0A4V8H000	Q84Y02	0.999905	0.999908	-3e-06	0.0	0.014119	0.004538	0.647852	0.796917
SCF:0000304	AC:000230	P0ACJ8	P0A8T7	P0A8V2	6pb6-assembly1.cif.gz	3_10	1	5	1	9.535	2.229	same_assembly_bridge	0.2957	20_30	P0ACJ8	P0A8T7	P0A8V2	0.000137	0.000262	-0.000125	0.0	0.037661	0.033905	0.697004	0.693735
SCF:0000305	AC:000231	Q9BT73	P60900	P25788	8tm3-assembly1.cif.gz	11_24	1	2	1	9.979	2.685	same_assembly_bridge	0.344	30_40	Q9BT73	P60900	P25788	0.999803	0.999932	-0.000129	0.0	0.138228	0.004183	0.496315	0.498708
SCF:0000320	AC:000237	A0A2P6TPV8	A0A2P6TPR7	A0A2P6TS63	7a4p-assembly1.cif.gz	11_24	1	3	1	40.774	7.57	same_assembly_bridge	0.4541	40_50	A0A2P6TPV8	A0A4V8H000	Q84Y02	0.010725	0.020824	-0.010099	0.0	0.004186	0.00418	0.751756	0.656599
SCF:0000326	AC:000246	A0QS97	A0QSD5	A0QSL5	8yp6-assembly1.cif.gz	11_24	1	17	1	38.579	7.493	same_assembly_bridge	0.2778	20_30	P17291	A0QSD5	B7IA17	0.999935	0.999838	9.7e-05	1.0	0.915394	0.701302	0.017012	0.783621
SCF:0000330	AC:000251	O95456	P20618	P28066	8yix-assembly1.cif.gz	11_24	1	6	1	14.12	2.501	same_assembly_bridge	0.3512	30_40	O95456	P20618	P28066	0.999419	0.999743	-0.000324	0.0	0.004177	0.004175	0.637607	0.163833
SCF:0000343	AC:000259	Q240X9	Q22A67	I7M9J2	6zyw-assembly1.cif.gz	11_24	1	1	0	17.674	2.946	same_assembly_bridge	0.334	30_40	Q240X9	Q22A67	I7M9J2	0.005397	0.075506	-0.070109	0.0				
SCF:0000347	AC:000263	E2RXT8	A0A2V3F2U6	A0A069PXX1	6spe-assembly1.cif.gz	11_24	1	3	1	25.66	2.839	same_assembly_bridge	0.321	30_40	P0AG59	P17291	C3SRY2	0.999927	0.999937	-1e-05	0.0	0.680327	0.484318	0.515904	0.586423
SCF:0000350	AC:000268	W7WX86	Q24DJ0	Q23YW7	8th8-assembly1.cif.gz	11_24	1	2	1	8.889	3.153	same_assembly_bridge	0.3026	30_40	W7WX86	Q24DJ0	Q23YW7	0.011433	0.002362	0.009071	1.0	0.004189	0.004184	0.49953	0.499572
SCF:0000353	AC:000272	Q03940	P31376	Q03388	9b1e-assembly1.cif.gz	11_24	1	1	0	49.367	2.862	same_assembly_bridge	0.2808	20_30	Q9Y265	P31376	Q03388	0.995433	0.990018	0.005415	1.0	0.485	0.057688	0.784025	0.747401
SCF:0000359	AC:000276	A8IH07	A8IXD6	A8IL21	7ekq-assembly1.cif.gz	11_24	1	2	1	15.327	4.018	same_assembly_bridge	0.4021	40_50	A8IH07	A8IXD6	A8IL21	0.99077	0.999561	-0.008791	0.0	0.00418	0.004175	0.507164	0.499632
SCF:0000362	AC:000276	A8IXD6	A8IH07	A8IL21	7ekq-assembly1.cif.gz	11_24	1	2	1	15.327	3.122	same_assembly_bridge	0.3641	30_40	A8IXD6	A8IH07	A8IL21	0.999858	0.999561	0.000297	1.0	0.107884	0.004175	0.306629	0.499632
SCF:0000364	AC:000281	Q9BQ15	Q9NV88	Q5TA45	8rbz-assembly1.cif.gz	11_24	1	1	0	26.019	5.825	same_assembly_bridge	0.2653	20_30	Q9BQ15	Q9NV88	Q5TA45	0.999782	0.99923	0.000552	1.0	0.00418	0.004176	0.352545	0.70217
SCF:0000369	AC:000284	P54791	P29496	P24279	6wgg-assembly1.cif.gz	11_24	1	4	1	38.233	2.882	same_assembly_bridge	0.3883	30_40	P54791	P29496	P24279	0.999689	0.999515	0.000174	1.0	0.073971	0.004259	0.742996	0.735365
SCF:0000371	AC:000285	A0A2K9VK88	A0A2K9VK98	A0A2K9VK93	9c39-assembly1.cif.gz	11_24	1	1	0	21.775	2.295	same_assembly_bridge	0.2544	20_30	A0A2K9VK88	A0A2K9VK98	A0A2K9VK93	0.417265	0.141931	0.275334	1.0	0.004179	0.004176	0.249673	0.560064
SCF:0000374	AC:000287	Q75VY4	Q75VZ0	Q75VY6	8h2u-assembly1.cif.gz	11_24	1	2	1	8.379	2.771	same_assembly_bridge	0.5613	ge50	Q84Y02	Q75VY8	A0A4V8H000	0.999937	0.99994	-3e-06	0.0	0.101723	0.184748	0.752668	0.719079
SCF:0000378	AC:000287	Q75VZ0	Q75VY4	Q75VY6	8h2u-assembly1.cif.gz	11_24	1	2	1	8.379	3.205	same_assembly_bridge	0.5099	ge50	Q75VY8	Q84Y02	A0A4V8H000	0.999934	0.99994	-6e-06	0.0	0.201917	0.184748	0.693927	0.719079
SCF:0000396	AC:000301	W7XJB1	I7M9J2	Q22A67	6zyw-assembly1.cif.gz	11_24	1	7	1	22.73	3.318	same_assembly_bridge	0.334	30_40	W7XJB1	I7M9J2	Q22A67	0.000377	0.018589	-0.018212	0.0				
SCF:0000397	AC:000302	A8J7I9	A8IKI9	A8J5P7	9f5z-assembly1.cif.gz	11_24	1	2	1	21.688	2.54	same_assembly_bridge	0.2667	20_30	A8J7I9	A8IKI9	A8J5P7	0.993194	0.999858	-0.006664	0.0	0.015043	0.004181	0.694565	0.126284
SCF:0000406	AC:000310	Q6P4I2	Q9NV88	Q5TA45	8r22-assembly1.cif.gz	3_10	1	1	0	28.828	2.367	same_assembly_bridge	0.2653	20_30	Q6P4I2	Q9NV88	Q5TA45	0.004998	0.000698	0.0043	1.0	0.004177	0.004175	0.328245	0.772743
SCF:0000411	AC:000316	P19431	A8HPD3	A8HPD0	9v7t-assembly1.cif.gz	11_24	1	2	1	10.416	3.257	same_assembly_bridge	0.6262	ge50	T1RIQ1	A8HPD3	A8HPD0	0.999905	0.999233	0.000672	1.0	0.007718	0.022004	0.015373	0.007451
SCF:0000457	AC:000346	E9NPX1	I0Z7A6	I0YQ44	9kqq-assembly1.cif.gz	11_24	1	2	1	37.002	3.698	same_assembly_bridge	0.4892	40_50	E9NPX1	Q75VY8	Q84Y02	0.284747	0.146805	0.137942	1.0	0.006112	0.021229	0.581799	0.629284
SCF:0000463	AC:000356	Q92759	P07992	P23025	9pcp-assembly1.cif.gz	11_24	1	2	1	65.612	3.232	same_assembly_bridge	0.2945	20_30	Q92759	P07992	P23025	0.999874	0.999731	0.000143	1.0	0.004277	0.004177	0.772594	0.73338
SCF:0000465	AC:000359	Q99471	P78371	P50991	6nr9-assembly1.cif.gz	11_24	1	3	1	24.008	6.078	same_assembly_bridge	0.336	30_40	Q99471	Q3ZBH0	P50991	0.999899	0.999803	9.6e-05	1.0	0.004182	0.004183	0.561092	0.586717
SCF:0000468	AC:000366	P9WPV7	P9WPU7	P9WPV3	8j0t-assembly1.cif.gz	11_24	1	2	1	46.92	2.66	same_assembly_bridge	0.3134	30_40	P9WPV7	P9WPU7	P9WPV3	0.999789	0.999674	0.000115	1.0	0.004204	0.004427	0.526639	0.191806
SCF:0000499	AC:000400	Q15370	Q8N884	Q6PJ21	8ol1-assembly1.cif.gz	11_24	1	2	1	37.541	2.796	same_assembly_bridge	0.2782	20_30	Q15370	Q8N884	Q6PJ21	0.999821	0.999755	6.6e-05	1.0	0.004178	0.004179	0.574764	0.853045
SCF:0000511	AC:000414	Q5JS54	P60900	P25789	8tm3-assembly1.cif.gz	11_24	1	2	1	19.327	3.175	same_assembly_bridge	0.3487	30_40	Q5JS54	P60900	P23638	0.999733	0.999901	-0.000168	0.0	0.004175	0.00418	0.36298	0.168331
SCF:0000513	AC:000419	B8LEQ8	B8BUW3	B5YM25	8zet-assembly1.cif.gz	11_24	1	2	1	19.801	2.612	same_assembly_bridge	0.3852	30_40	B8LEQ8	B8BUW3	B5YM25	0.118481	0.984199	-0.865718	0.0	0.004188	0.004192	0.000199	0.000783
SCF:0000525	AC:000427	Q9BXJ9	P42766	P62750	9fq0-assembly1.cif.gz	11_24	1	4	1	12.189	3.094	same_assembly_bridge	0.3133	30_40	Q9BXJ9	P42766	P62750	0.999023	0.997668	0.001355	1.0	0.033961	0.01301	0.176426	0.473908
SCF:0000527	AC:000429	Q23FU1	I7M6H4	I7M9J2	6zyw-assembly1.cif.gz	11_24	1	5	1	26.823	3.219	same_assembly_bridge	0.4006	40_50	Q23FU1	I7M6H4	I7M9J2	0.989039	0.000536	0.988503	1.0				
SCF:0000537	AC:000433	A0A4V8H008	A0A4V8GZZ7	A0A4V8GZZ9	6igz-assembly1.cif.gz	11_24	1	1	0	8.631	2.224	same_assembly_bridge	0.5221	ge50	P12356	Q84Y02	A0A4V8GZZ9	0.999491	0.999211	0.00028	1.0	0.351885	0.028339	0.681709	0.682821
SCF:0000539	AC:000437	P21082	P20637	P68439	9fpy-assembly1.cif.gz	11_24	1	1	0	19.693	2.882	same_assembly_bridge	0.2956	20_30	P21082	A4GDH1	P68439	0.366031	0.147086	0.218945	1.0	0.004173	0.004175	0.447442	0.45187
SCF:0000565	AC:000467	Q32904	Q9SQL2	Q41038	4y28-assembly1.cif.gz	11_24	1	6	1	40.909	1.876	same_assembly_bridge	0.5234	ge50	A0A2K1IB10	Q84Y02	F2D0D5	0.999931	0.999907	2.4e-05	1.0	0.183656	0.588878	0.682271	0.673459
SCF:0000566	AC:000467	Q9SQL2	Q32904	Q41038	4y28-assembly1.cif.gz	11_24	1	6	1	40.909	2.798	same_assembly_bridge	0.4483	40_50	Q84Y02	A0A2K1IB10	F2D0D5	0.999928	0.999907	2.1e-05	1.0	0.136951	0.588878	0.677595	0.673459
SCF:0000584	AC:000485	P32830	P33421	Q08749	6lo8-assembly1.cif.gz	3_10	1	1	0	8.865	3.451	same_assembly_bridge	0.3226	30_40	P32830	P33421	Q08749	0.936776	0.955575	-0.018799	0.0	0.004178	0.004175	0.360133	0.368861
SCF:0000591	AC:000496	O00399	P61163	Q9NZ32	9b85-assembly1.cif.gz	11_24	1	2	1	33.462	2.83	same_assembly_bridge	0.3163	30_40	O00399	F2Z5G5	Q9NZ32	0.999775	0.982837	0.016938	1.0	0.435779	0.334779	0.770348	0.839813
SCF:0000593	AC:000498	W7WX86	Q24C31	I7LT80	8th8-assembly1.cif.gz	11_24	1	2	1	77.761	2.871	same_assembly_bridge	0.26	20_30	W7WX86	Q24C31	I7LT80	0.00552	0.006627	-0.001107	0.0	0.004195	0.004181	0.499538	0.499525
SCF:0000601	AC:000503	P62987	Q71DI3	P04908	7xd0-assembly1.cif.gz	3_10	1	1	0	35.195	3.23	same_assembly_bridge	0.3214	30_40	P62987	P02299	P0C0S5	0.999082	0.999016	6.6e-05	1.0	0.004528	0.004219	0.25607	0.371191
SCF:0000621	AC:000527	O14010	Q9Y821	Q9US45	5n9j-assembly1.cif.gz	11_24	1	1	0	8.991	2.079	same_assembly_bridge	0.3233	30_40	O14010	Q9Y821	Q9US45	0.999882	0.999867	1.5e-05	1.0	0.0042	0.317754	0.12689	0.559977
SCF:0000628	AC:000533	P32833	P47112	P29469	9bcx-assembly1.cif.gz	11_24	1	5	1	10.572	2.438	same_assembly_bridge	0.2833	20_30	P32833	P47112	P29469	0.080504	0.000134	0.08037	1.0	0.009766	0.004175	0.742456	0.692655
SCF:0000632	AC:000535	A4VD75	Q22A67	I7M9J2	7k5b-assembly1.cif.gz	11_24	1	4	1	10.95	1.088	same_assembly_bridge	0.334	30_40	A4VD75	Q22A67	I7M9J2	0.000139	0.000136	3e-06	1.0				
SCF:0000640	AC:000541	Q585T1	Q57ZX7	Q389W4	8fni-assembly1.cif.gz	3_10	1	2	1	15.044	2.543	same_assembly_bridge	0.2473	20_30	Q585T1	Q57ZX7	Q389W4	0.010605	0.00428	0.006325	1.0	0.007011	0.041249	0.675103	0.707425
SCF:0000645	AC:000548	A0AAN0XZY8	A0AAN0Y0S4	A0AAN0Y3T9	9h90-assembly1.cif.gz	11_24	1	1	0	19.041	2.919	same_assembly_bridge	0.3171	30_40	P80373	Q83ER2	P17291	0.999929	0.999894	3.5e-05	1.0	0.869828	0.900528	0.782224	0.780934
SCF:0000647	AC:000549	A0A4V8GZZ3	A0A4V8GZZ6	A0A4V8GZZ9	6igz-assembly1.cif.gz	11_24	1	1	0	42.481	6.783	same_assembly_bridge	0.4581	40_50	Q55329	Q7DM26	A0A4V8GZZ9	0.147855	0.902579	-0.754724	0.0	0.016261	0.004243	0.573972	0.462601
SCF:0000649	AC:000550	Q55329	P09192	P16033	8asl-assembly1.cif.gz	11_24	1	2	1	37.116	3.345	same_assembly_bridge	0.3793	30_40	Q55329	D0VWR8	P0A444	0.565631	0.996165	-0.430534	0.0	0.022482	0.005293	0.615987	0.244008
SCF:0000656	AC:000554	A0A2P6TPU7	A0A2P6TT36	A0A2P6TZ50	6zzy-assembly1.cif.gz	11_24	1	2	1	38.162	3.246	same_assembly_bridge	0.4352	40_50	A0A2P6TPU7	Q7DM26	Q84Y02	0.998837	0.997612	0.001225	1.0	0.185963	0.735106	0.681586	0.67851
