sequence_no	protein_a	a_id	a_taxid	protein_b	b_id	b_taxid	negative_relation	assay_normalized	assay_reported_original	evidence_text_en	previous_sentence_en	next_sentence_en	pmid	pmcid	article_title	best_evidence_id	pair2_key	claim_id	candidate_id	rule_tier_v2	canonical_pair_label_v2	experimental_object_scope_v2	rule_reasons_v2	rule_tags_v2	model_is_experimental	model_is_direct_binding_assay	positive_conflict_scope	mentions_construct	mentions_isoform	mentions_positive_control	mentions_purified_components	rule_scope_signal_v2	rule_context_signal_v2	selection_score	evidence_semantics	accession_a	accession_b	mapping_status_a	mapping_status_b	pair_mapping_status	reliable_reported_taxon_mapping	manual_verified_negative	direct_assay_negative	sequence_available	len_a	len_b	sequence_source_a	sequence_source_b	pair_tokens	pair_fits_1024	human_human	exact_negatome_pair_overlap	exact_string_positive_overlap	negative_score_id	score
15	tau	4137	9606	MAP7	9053	9606	no_interaction	pull_down	pull-down	Solution-based pull-down assays revealed that purified MAP7 and tau proteins do not interact with one another (Supplementary Figure 2c).	2g, h).	In addition, we observed that the C-terminus of MAP7 (MAP7DeltaN) is unable to bind to microtubules (Supplementary Figure 2d-e), or displace tau from the lattice (Supplementary Figure 2f-g).	29662074	PMC5902456	Competition between microtubule-associated proteins directs motor transport	CLAIM:000157849:0-1	PAIR2:GENE:4137|GENE:9053	CLAIM:000157849	4eb451da69d91e76d7875858a7440a4484ee55ec	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	0	0	0	0	0	183.0	other_direct_binding	P10636	Q14244	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	758	749	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1510	0	1	0	0	PN6:0015:negative	0.001563
17	importin alpha	3836	9606	STN1	79991	9606	no_binding	ITC	ITC	We also show by ITC that STN1 and TEN1 do not have their own classical NLS signal as they do not bind importin alpha (Fig.	6).	5).	33731801	PMC7969954	Pol alpha-primase dependent nuclear localization of the mammalian CST complex	CLAIM:000133167:0-1	PAIR2:GENE:3836|GENE:79991	CLAIM:000133167	8acce8b505edf2c057adf9d066ff791df4d7cd6a	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative		1	1	none_detected	1	0	0	0	0	0	178.0	biophysical_direct	P52294	Q9H668	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	538	368	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	909	1	1	0	0	PN6:0017:negative	0.00768
19	Tie2	7010	9606	VEGF	7422	9606	no_binding	SPR	SPR	Likewise, SPR experiments:performed at physiological conditions of 37 C and pH 7.4:showed rhAng1, BowAng1, and COMP-Ang1 to be high-affinity binders (dissociation constants, KD, of 0.2-1.4 nM) to human and mouse Tie2-Fc (Fig9C and Supplementary Fig S3B), but no binding to Tie2-Fc was detectable for VT, VEGF, PEG-Cys, or T7c (Fig9C and Supplementary Fig S3).	In the pull-down assays, human and mouse Tie2-Fc effectively pulled down the majority of available recombinant human Ang1 (rhAng1), but did not pull down any appreciable levels of VT (Fig9A and B).		25851538	PMC4459817	Vasculotide reduces endothelial permeability and tumor cell extravasation in the absence of binding to or agonistic activation of Tie2	CLAIM:000133704:0-1	PAIR2:GENE:7010|GENE:7422	CLAIM:000133704	5eec066a645e9862110e749f30f09f9e6de5cadc	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative		1	1	none_detected	1	0	0	0	0	0	178.0	biophysical_direct	Q02763	P15692	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	1124	395	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1522	0	1	0	0	PN6:0019:negative	0.009547
21	TEN1	100134934	9606	importin alpha	3836	9606	no_binding	ITC	ITC	We also show by ITC that STN1 and TEN1 do not have their own classical NLS signal as they do not bind importin alpha (Fig.	6).	5).	33731801	PMC7969954	Pol alpha-primase dependent nuclear localization of the mammalian CST complex	CLAIM:000133168:0-1	PAIR2:GENE:100134934|GENE:3836	CLAIM:000133168	2cf21ed407a60b2a4f1ea4266beb95b520bc1528	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative		1	1	none_detected	1	0	0	0	0	0	178.0	biophysical_direct	Q86WV5	P52294	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	123	538	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	664	1	1	0	0	PN6:0021:negative	0.00018
23	Langerin	50489	9606	CD4	920	9606	no_binding	SPR	SPR	CD4 (without prior addition of gp140) did not bind to immobilized DC-SIGN or Langerin (data not shown).	2H).		22163292	PMC3233575	DC-SIGN Increases the Affinity of HIV-1 Envelope Glycoprotein Interaction with CD4	CLAIM:000011273:0-1	PAIR2:GENE:50489|GENE:920	CLAIM:000011273	4ec080e916bb99d489b6faaccc4097f9a68db66b	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative		1	1	none_detected	1	0	0	0	0	0	178.0	biophysical_direct	Q9UJ71	P01730	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	328	458	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	789	1	1	0	0	PN6:0023:negative	0.011475
24	Cx43	2697	9606	MMP-2	4313	9606	no_binding	SPR	SPR	Oppositely, both PROSPER and SitePrediction identified MMP-2 as a potential candidate, but MMP-2 failed to bind Cx43 in SPR studies.	In addition, one of the sites identified in (Figure 1, indicated by *) has an average score of 0.005 and a specificity far below 95% in SitePrediction.		26424967	PMC4573893	Intracellular Cleavage of the Cx43 C-Terminal Domain by Matrix-Metalloproteases: A Novel Contributor to Inflammation?	CLAIM:000009187:0-1	PAIR2:GENE:2697|GENE:4313	CLAIM:000009187	917937a482c13e381af53a37934367c2b5b2e3a9	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative		1	1	none_detected	1	0	0	0	0	0	178.0	biophysical_direct	P17302	P08253	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	382	660	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1045	0	1	0	0	PN6:0024:negative	0.000166
26	DC-SIGN	30835	9606	CD4	920	9606	no_binding	SPR	SPR	In addition, in separate experiments where CD4 was injected over immobilised DC-SIGN, no binding of CD4 was detected.	No binding of DC-SIGN or CD4 to immobilised 5F3 was evident in the control flow cell.		22163292	PMC3233575	DC-SIGN Increases the Affinity of HIV-1 Envelope Glycoprotein Interaction with CD4	CLAIM:000011271:0-1	PAIR2:GENE:30835|GENE:920	CLAIM:000011271	27bb328e0f0cbba6bd98ffbb615d45748888e4e2	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative		1	1	none_detected	1	0	0	0	0	0	178.0	biophysical_direct	Q9NNX6	P01730	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	404	458	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	865	1	1	0	0	PN6:0026:negative	0.61986
27	cortactin	2017	9606	Shp1	5777	9606	no_binding	pull_down	pull-down	"To investigate this aspect, in vitro pull-down assays were performed using purified recombinant Shp1 and cortactin (see ""Methods"" section), but no association between these proteins could be detected, either in absence or presence of GroPIns (Additional file 1: Figure S4)."		Having shown that Shp1 dephosphorylates cortactin in vitro (Fig.	34088320	PMC8176763	The phosphatase Shp1 interacts with and dephosphorylates cortactin to inhibit invadopodia function	CLAIM:000234391:0-1	PAIR2:GENE:2017|GENE:5777	CLAIM:000234391	97e1743edc4dd5bbf2b2dbc83eda093a8e355d99	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative	purified_components;negative_control	1	1	none_detected	1	0	0	1	0	0	177.0	other_direct_binding	Q14247	P29350	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	550	595	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1148	0	1	0	0	PN6:0027:negative	0.998906
28	DBP	1628	9606	TSP-1	7057	9606	no_binding	in_vitro_binding_unspecified	binding assay	Finally, purified human platelet derived TSP-1, as well as recombinant human C5a, did not bind to immobilized DBP (Fig.	4B).	4C).	22014686	PMC3224156	Cofactor Regulation of C5a Chemotactic Activity in Physiological Fluids. Requirement for the Vitamin D Binding Protein, Thrombospondin-1 and its Receptors	CLAIM:000052088:0-1	PAIR2:GENE:1628|GENE:7057	CLAIM:000052088	1301837659e7d7715d398abad8efc9e27c84c9e0	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative	purified_components	1	1	none_detected	1	0	0	1	0	0	176.0	other_direct_binding	Q10586	P07996	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	325	1170	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1498	0	1	0	0	PN6:0028:negative	6.8e-05
30	IGFBP4	3487	9606	BMP4	652	9606	no_interaction	SPR	SPR	However, in contrast, when IGFBP4 was flown over immobilized BMP4, no interaction was detected (Figure S3B).	As shown previously, soluble BMPER flown over immobilized BMP4 also showed a high binding affinity of 1.5 nM (Figure S3A).	To assess whether the presence of IGFBP4 affects the interaction of BMPER with BMP4, a stable concentration of BMPER was flown over immobilized BMP4 in the presence of increased concentrations of IGFBP4.	36902380	PMC10002482	BMPER Improves Vascular Remodeling and the Contractile Vascular SMC Phenotype	CLAIM:000198911:0-1	PAIR2:GENE:3487|GENE:652	CLAIM:000198911	7282f3fee973ce6cea661437a6be5e98fdb8e2e6	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative		1	1	none_detected	1	0	0	0	0	0	176.0	biophysical_direct	P22692	P12644	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	258	408	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	669	1	1	0	0	PN6:0030:negative	0.000198
31	C5a	15139	10090	DBP	1628	9606	no_binding	in_vitro_binding_unspecified	binding assay	Finally, purified human platelet derived TSP-1, as well as recombinant human C5a, did not bind to immobilized DBP (Fig.	4B).	4C).	22014686	PMC3224156	Cofactor Regulation of C5a Chemotactic Activity in Physiological Fluids. Requirement for the Vitamin D Binding Protein, Thrombospondin-1 and its Receptors	CLAIM:000052089:0-1	PAIR2:GENE:15139|GENE:1628	CLAIM:000052089	372b21e46b4c4409c29a10852199f4061089cb54	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative	purified_components	1	1	none_detected	1	0	0	1	0	0	176.0	other_direct_binding	P06684	Q10586	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	1680	325	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	2008	0	0	0	0	PN6:0031:negative	5.4e-05
35	KLK14	43847	9606	SPINK9	643394	9606	no_binding	SPR	surface plasmon resonance	Analyses by surface plasmon resonance showed heterogeneous binding to SPINK9 of KLK5 and KLK8, but no binding of KLK7 or KLK14.	Slight inhibition of KLK8 using fibrinogen substrate could be observed using high concentrations of SPINK9.	KLK5 has been suggested to play a central role in skin desquamation as an initiating activating enzyme in proteolytic cascades formed by KLKs.	19194479		SPINK9: a selective, skin-specific Kazal-type serine protease inhibitor.	CLAIM:000243278:0-1	PAIR2:GENE:43847|GENE:643394	CLAIM:000243278	d3ea5c6942bd8896b173ac5e09b9a96b7f8331ea	REVIEW_EXPERIMENTAL_SUPPORT	uncertain	canonical_possible	experiment_not_confirmed_by_prior_model		0	1	none_detected	0	0	0	0	0	0	166.0	biophysical_direct	Q9P0G3	Q5DT21	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	251	86	/data/chs/12.codebuddy/bridge/data/uniprot_sprot.fasta.gz	/data/chs/12.codebuddy/bridge/data/uniprot_sprot.fasta.gz	340	1	1	0	0	PN6:0035:negative	0.029219
