ac_id	protein_a	protein_c	qid_a	qid_c	family_a	family_c	pdb_id	assembly_id	tax_id	score	len_a	len_c	pair_tokens	truncated	train_pair	n_train_proteins	core_flag	assembly_size_stratum	num_protein_chains	min_heavy	min_cb	n_pdb	kmer_jaccard	human	bridge_contact_strength	train_identity_a	train_identity_c	train_familiarity	familiarity_bin	proximity_bin	association_class	association_plus
AC:000013	P41586	P59768	Qe6c6eb0e7b39ecb1b5d9139e83ae3e1dfb8a66b1	Qf1ab138c3b5253ab023d233071731b577e3446de	P41586	P59768	6m1i	1	9606	0.999854	468	71	542	0	0	1	1	3_10	6	12.357	19.861	5	0.0058027079	1	5	50.5	100.0	50.5	40-60	8-15 A	no_recorded_association	0
AC:000014	A8ITV3	P12154	Q498702741d3dff2827ee877a26ef3e1638a8b348	Qd7579fda96ec5d96a02a6d14b6ae50fe97fb663c	A8ITV3	A0T0M8	7zq9	1	3055	0.999745	213	751	967	0	0	0	1	11_24	24	45.351	48.518	7	0.029036005	0	23	0.0	0.0	0.0	0-20	>=40 A	no_recorded_association	0
AC:000015	P04310	P21603	Qd354ac87379b3fd822d86c5a293bd1c80da588ca	Qdafb5f9b37a52397d300425181b3b3a74bc2203e	P04310	P21603	8c8h	1	10254	0.015376	161	259	423	0	0	0	1	11_24	13	33.665	36.072	1	0.027777778	0	40	0.0	0.0	0.0	0-20	15-40 A	no_recorded_association	0
AC:000017	P53803	Q92966	Q75517fd781759254c7b4687581fa64181dd83285	Qac1cff689860a5f208ecc9af46072e56cafd43e0	A0A4X1TRS6	Q92966	9fsp	1	9606	0.007399	58	411	472	0	0	2	1	11_24	23	32.645	33.618	5	0.004454343	1	0	100.0	100.0	100.0	80-100	15-40 A	no_recorded_association	0
AC:000018	A0A8D1KNW4	P60899	Q3f9c086824dd7f1d0d6e2e6deb487d52dd0d323c	Q619516d940f38f5461082e3a89a5f52ef61ac8d0	A0A4X1VEK9	P36954	9rtt	1	9823	0.999943	127	125	255	0	0	1	1	11_24	22	56.879	60.926	4	0.012345679	0	57	99.0	100.0	99.0	80-100	>=40 A	no_recorded_association	0
AC:000020	D5AQG8	D5AQH2	Q40a8882d9244dcb40485fc11b26e0f2643838b49	Qad43013a16c518ebc307334c6bb86f51846150b9	D5AQG8	D5AQH2	6tg9	1	272942	0.043247	71	150	224	0	0	0	1	3_10	8	40.89	43.349	2	0.029850746	0	44	0.0	0.0	0.0	0-20	>=40 A	no_recorded_association	0
AC:000023	C4R0E6	C4R1V1	Qcb00ab27d5bd5e0830e109588c549eafcec110b9	Qb0e8172db5ece2244675a5057dbf3c6559b55bdf	C4R0E6	A0A4X1VEK9	8jh2	1	644223	0.999689	114	155	272	0	0	0	1	11_24	23	48.506	54.506	25	0.01984127	0	0	47.5	75.0	47.5	40-60	>=40 A	no_recorded_association	0
AC:000024	P26784	P36160	Q315fb7917042871925fd1b138914ce2c5ad410fc	Qd38fdb68c5afc1a817887babf7525985486852ea	P26784	P36160	7oht	1	559292	0.999758	199	344	546	0	0	0	1	11_24	24	28.542	31.006	13	0.034693878	0	32	64.6	46.4	46.4	40-60	15-40 A	other_intact	0
AC:000025	P05805	Q7M3E1	Q06364b4527cf15a46e01daa677d123d998b699de	Q9fac838d299f322a32198f68356d4044a60ca866	P05805	Q7M3E1	1pyt	1	9913	0.998474	253	268	524	0	0	0	1	3_10	4	8.082	9.771	1	0.13995485	0	21	59.5	80.9	59.5	40-60	8-15 A	no_recorded_association	0
AC:000026	P13165	P69416	Q18390c11aede4b4d1cc3b9395a886a8778d10b01	Qbda0dc954139d99abe932fd6c92f812b42023fdb	E9NPX1	A0A4V8H005	7ew6	1	4513	0.001442	36	81	120	0	0	0	1	11_24	15	30.76	31.602	2	0.0	0	20	0.0	30.3	0.0	0-20	15-40 A	no_recorded_association	0
AC:000027	V5V9F4	V5V9K5	Q9121512d892b3b08b8d2dc5225742da0e2fb12a4	Qcaf9cd50ae6f13b39dc12c48e6b179d157d8ee40	V5V9F4	V5V9K5	7d08	1	470	0.30962	258	95	356	0	0	0	1	11_24	12	11.138	15.24	5	0.012084592	0	36	0.0	0.0	0.0	0-20	8-15 A	no_recorded_association	0
AC:000028	Q24I09	W7XBF5	Qaa08853fa91d7b3130f651aa4e64b2c62cce56dd	Qf7a7262528d1f29de2adc79d23172afa34ef7632	Q24I09	W7XBF5	8b6g	1	312017	0.005911	322	89	414	0	0	0	1	11_24	15	37.022	41.664	4	0.020671835	0	8	0.0	0.0	0.0	0-20	15-40 A	no_recorded_association	0
AC:000030	P00428	P04038	Q8453faa278cf3843e919c5cc5d6e99821f91797b	Q56c2d5b80a28699daf7e4168c12d8c24acfa0d9d	P00428	P04038	3abk	2	9913	0.999927	129	74	206	0	0	0	1	11_24	13	17.538	20.827	91	0.015463918	0	6	82.9	77.1	77.1	60-80	15-40 A	no_recorded_association	0
AC:000031	P06899	P52435	Qef81909528c61b5133e94a20ef85573cbaf22817	Q8cafc397016b1c7b8427436cdf046807789c9ac0	O23629	P52435	8xrj	1	9606	0.999388	126	117	246	0	0	2	1	11_24	20	37.133	38.502	2	0.0043478261	1	10	100.0	100.0	100.0	80-100	15-40 A	no_recorded_association	0
AC:000032	C4QY79	C4R273	Q729f9a7226384637595adeaccf0dd55afb2217eb	Q327bdab0786a81ae0c20ab21f241f5fdba4cd307	C4QY79	C4R273	8yfr	1	644223	0.999933	113	145	261	0	0	0	1	11_24	14	43.13	51.54	5	0.024489796	0	73	50.0	33.9	33.9	20-40	>=40 A	no_recorded_association	0
AC:000034	C3SQX2	C3SR57	Qaa97aa210b82953a3a032d74b83dee7e56958dcb	Qf2d95fa7ca7adbe9ca2988e092c4e438997f1bfb	P80372	Q50296	9sx2	1	562	0.999938	233	129	365	0	0	0	1	11_24	21	36.554	38.219	12	0.020771513	0	0	0.0	44.5	0.0	0-20	15-40 A	no_recorded_association	0
AC:000035	A0A4V8GZZ5	A0A4V8GZZ8	Qb270cac495a86ad5efbc9f66f80a77bbbe568545	Q100b946fd9712baad4a3b9d9375357796ca1cb4a	A8IL32	I0YPL4	6igz	1	325651	0.99907	204	281	488	0	0	0	1	11_24	23	38.399	43.299	1	0.033557047	0	8	0.0	0.0	0.0	0-20	15-40 A	no_recorded_association	0
AC:000036	O74499	P87173	Q8187a0a3c7d103b0d58e8b19b9218cbb70261c52	Q5939fac27114867deb64182a3d58d616b6ab9fbf	O74499	P87173	6ppv	1	284812	0.999818	113	140	256	0	0	0	1	3_10	7	9.749	13.339	2	0.029288703	0	61	59.7	47.5	47.5	40-60	8-15 A	no_recorded_association	0
AC:000037	Q76B86	Q9TM21	Qe2bf16ebad3140841de378fd253feeb8b61edacd	Q07596e770660183decefcd8e5cefb4f3fb97b474	Q76B86	P12239	4yuu	3	2771	0.014606	218	43	264	0	0	0	1	11_24	22	30.843	35.447	1	0.0082644628	0	0	0.0	0.0	0.0	0-20	15-40 A	no_recorded_association	0
AC:000039	A0A9R0I5M6	A0A9R0JF29	Q4b3187b7a84368c9124468122e291f5f085ad438	Q884acb2ba1e9083b652dbf34b3dacc6d33d36dce	A0A1S3X2G3	A0A9R0JF29	8xzv	1	3562	0.013628	170	678	851	0	0	0	1	11_24	19	96.416	104.074	1	0.039455782	0	0	0.0	0.0	0.0	0-20	>=40 A	no_recorded_association	0
AC:000040	P0C6E0	Q9KPS1	Qd4a76b74bb46241732a1415b9031debad282b724	Q25df0d01b8758016cd6a75e215868ee74ba1782a	P0C6E0	Q9KPS1	8a1u	1	243277	0.001721	257	446	706	0	0	0	1	3_10	6	32.563	37.544	1	0.040247678	0	27	0.0	0.0	0.0	0-20	15-40 A	no_recorded_association	0
AC:000041	P39744	P43586	Q77923c2893921baddb67f3edf97bca772fd25b0b	Qf73d0ad39a4e57ca3b6eaa3315689e1a37ecfc53	P39744	P43586	7r6k	1	559292	0.999761	710	204	917	0	0	0	1	11_24	15	15.192	18.796	1	0.048469388	0	19	30.7	0.0	0.0	0-20	15-40 A	association	1
AC:000042	A0A2K3DG79	A8J353	Qca369b87ea334f83ce88c99989f330607215ab6c	Qa311f910f1d9e0eb616043166e645ab1238414b7	A0A2K3DG79	A8J353	7ekq	1	3055	0.000706	216	244	463	0	0	0	1	11_24	19	49.564	50.895	1	0.039408867	0	0	0.0	0.0	0.0	0-20	>=40 A	no_recorded_association	0
AC:000043	A0A2P6U4K1	W8SY74	Q448477e9d299aa02a25c22e97be43533720f084d	Qc8979d1e29a88ca73b9ab12841af04dc23911ecd	Q75VY8	A0T0M8	6zzy	1	3076	0.999823	259	751	1013	0	0	0	1	11_24	23	28.422	31.22	3	0.045912654	0	42	0.0	0.0	0.0	0-20	15-40 A	no_recorded_association	0
AC:000044	Q9TM20	Q9TM22	Q9599a639797e50aee772ebbf33678636d05655b5	Q02e909aebae9c255ca9eaff7f15028d82c6e405c	Q8DIP0	P32974	4yuu	2	2771	0.889198	84	38	125	0	0	0	1	11_24	21	34.139	38.948	1	0.017391304	0	11	0.0	0.0	0.0	0-20	15-40 A	no_recorded_association	0
AC:000045	O43036	O94616	Qdff9b40668c799c19d2c303603142391084ac20e	Q8d619c63bac1a28b54e047ef7105034643e4ac47	O43036	O94616	7aod	1	284812	0.999934	173	348	524	0	0	0	1	11_24	24	17.633	20.442	3	0.032520325	0	38	29.1	50.2	29.1	20-40	15-40 A	no_recorded_association	0
AC:000046	A0QVB8	A0R550	Qc65f1cde6712f725178bed046f8af89ddb4899a5	Q10e98076bf7ef2bca83c01598b62376c20b485f3	A0QVB8	P0AG59	8wif	1	246196	0.999436	277	101	381	0	0	0	1	11_24	22	21.93	23.352	5	0.017142857	0	0	28.0	52.9	28.0	20-40	15-40 A	no_recorded_association	0
AC:000047	D0CD11	D0CD21	Q4151c9f109c1869d565000dd1f29c297089dcb17	Q803fe0e820dccdb50b0e5083de687020e1166ada	D0CD11	D0CD21	6yt9	1	575584	0.999926	131	208	342	0	0	0	1	11_24	13	16.291	20.798	2	0.012232416	0	18	0.0	0.0	0.0	0-20	15-40 A	no_recorded_association	0
AC:000048	Q2G111	Q2G2Q1	Qf5f1be8d1e3e09e584bcb3fcacb722117acf6366	Q5598193716b08a0de280679509e6f7aeeaa50b12	A0A2V3DLV3	Q2G2Q1	8bh7	1	93061	0.999908	80	89	172	0	0	0	1	11_24	20	17.239	20.624	16	0.025	0	5	43.1	0.0	0.0	0-20	15-40 A	no_recorded_association	0
AC:000049	P04637	P61218	Q7c63779120862298bf0fa77f5f991a0745eef3f9	Q96314a31f04bcd9dea453dbbc1eec6a9d8748eff	P04637	A0A4X1VEK9	6xre	1	9606	0.999637	393	127	523	0	0	1	1	11_24	13	44.077	46.674	1	0.020746888	1	56	100.0	99.0	99.0	80-100	>=40 A	no_recorded_association	0
AC:000050	P21471	P21476	Qaa49aae2b5a930a69838692ea7b2ca729d301d07	Q83f459c266a04a3cbe413c384a27831ffebdd7a6	P21471	A0QSD5	8cdv	1	224308	0.999801	102	92	197	0	0	0	1	11_24	17	17.451	23.42	22	0.0	0	0	32.3	42.3	32.3	20-40	15-40 A	no_recorded_association	0
AC:000051	P39748	P49005	Q97d03efd0dfd70604f69cd1df1448d584fb5ecd3	Q07c4144e88708348b3dece7075276671319adbc2	P39748	P49005	6tnz	1	9606	0.99954	380	469	852	0	0	1	1	3_10	8	49.467	54.951	1	0.033898305	1	6	100.0	100.0	100.0	80-100	>=40 A	no_recorded_association	0
AC:000052	Q13426	Q9NP87	Qa96757db204a5dcc181bbbd0a6cb3d308685594f	Q3e361bf6c9345ef55a27027725d19063822f7a71	Q13426	Q9NP87	9n81	1	9606	0.9988	336	494	833	0	0	1	1	11_24	16	44.251	52.221	2	0.039473684	1	6	100.0	40.4	40.4	40-60	>=40 A	no_recorded_association	0
AC:000053	P07839	Q75VY9	Q5f7a19a7bbb95c860739eaf04a51d5eb25617692	Q13b15250c86fb36e28ba9d6087bd93be2fa5e5a4	P07839	I0YPL4	7wzn	1	3055	0.999728	126	267	396	0	0	0	1	11_24	16	24.181	25.014	1	0.033426184	0	19	0.0	0.0	0.0	0-20	15-40 A	no_recorded_association	0
AC:000055	E9NPS7	I0YQ46	Q384f45f7caface43d6f938b4fd7d68893a4b43ce	Q4cee201933b772bc90a20cad6a9292938f615172	A0T0M8	Q84Y02	9kqp	1	574566	0.999283	751	255	1009	0	0	0	1	11_24	24	11.714	14.147	2	0.027901786	0	19	0.0	0.0	0.0	0-20	8-15 A	no_recorded_association	0
AC:000056	P09192	P29256	Q33b2e0982f6a6da4682c93c6442be8fccba5018e	Q8327e268aa68f06a823d63cb426a47dd9c65bb1d	D0VWR8	P29256	8am5	1	1111708	0.996724	352	165	520	0	0	0	1	11_24	17	57.258	60.577	1	0.035864979	0	0	0.0	0.0	0.0	0-20	>=40 A	no_recorded_association	0
AC:000059	A0A444WZ62	A0A445CVZ9	Q8a305b68f74ff2de2b23252bbf1a4036612b02c3	Q1ecf04fb1d9e7272ce1f64d1697ccf15fff2defd	A0A444WZ62	A0A445CVZ9	8zom	1	3818	0.000646	90	123	216	0	0	0	1	11_24	20	43.944	50.264	2	0.0098522167	0	21	36.4	47.1	36.4	20-40	>=40 A	no_recorded_association	0
AC:000060	D7P897	K0J903	Q458d4cd03a5c296b802ce5d79aa882c6b0827197	Qa6aa8d263e57a40ba1dca76a59d449e2a2368605	D7P897	K0J903	6rdf	1	37502	0.011782	151	325	479	0	0	0	1	11_24	13	11.96	15.01	5	0.022988506	0	56	0.0	0.0	0.0	0-20	8-15 A	no_recorded_association	0
AC:000061	Q8DIP0	Q8DLJ8	Q101fc6611acfcad0e16f8a0a01fecabe85bd4399	Q3502341c67030f4e88797d859f9195d932530d59	Q8DIP0	Q8DLJ8	7nhp	1	197221	0.003683	84	116	203	0	0	0	1	11_24	18	13.181	16.958	2	0.0051546392	0	29	0.0	0.0	0.0	0-20	8-15 A	no_recorded_association	0
AC:000062	O49653	Q6NMZ4	Q66976b92d456a076d2c108001c865328deaa030e	Q8eb99a842b69bfae46879f8e8a36fe6e93f6a91f	O49653	Q6NMZ4	8k20	1	3702	0.998362	353	172	528	0	0	0	1	3_10	6	12.792	15.461	1	0.030364372	0	35	70.4	33.1	33.1	20-40	8-15 A	no_recorded_association	0
AC:000063	O19882	O19928	Qb781e2009893b07cb1e5fc22569b00d0f8fed031	Qeaff8dac769f6408ee4d8bc0e128f22645eded61	P12240	Q8DIQ1	4yuu	2	2771	0.997464	38	509	550	0	0	0	1	11_24	21	35.097	37.477	1	0.0098231827	0	42	0.0	0.0	0.0	0-20	15-40 A	no_recorded_association	0
AC:000065	P42919	P56849	Q33bd0b4157f3b8c2e377195deb43370df207f739	Q2e0f80d601bda4c8b2eb7d1e6bf824dd19f6d08a	P42919	P56849	9bs0	1	224308	0.999918	277	49	329	0	0	0	1	11_24	23	59.735	60.201	18	0.016556291	0	0	39.8	0.0	0.0	0-20	>=40 A	no_recorded_association	0
AC:000066	Q2FW20	Q2FXK6	Q5ec09915dd22e8ca698c2f5252c5e64c89f232e6	Q2c004b7a319422d561162895dc5265452b1abead	Q2FW20	Q2FXK6	8bh6	1	93061	0.999935	132	200	335	0	0	0	1	11_24	19	14.165	19.897	15	0.019047619	0	26	23.1	0.0	0.0	0-20	8-15 A	no_recorded_association	0
AC:000067	P13192	P69416	Q443a7164aa98460bd4e854c52cb78a8a4156fefc	Qbda0dc954139d99abe932fd6c92f812b42023fdb	Q9SHE8	A0A4V8H005	7ewk	1	4513	0.000536	235	81	319	0	0	0	1	11_24	15	11.199	13.253	2	0.013937282	0	40	0.0	30.3	0.0	0-20	8-15 A	no_recorded_association	0
AC:000068	O94376	O94646	Q6de5db30f2e42899cb782d2d26afd4880c4be038	Q98b090dcdf3f749d0e9e4150138071a414219f87	O94376	O94646	5n9j	1	284812	0.999937	138	200	341	0	0	0	1	11_24	15	25.531	27.846	2	0.015625	0	6	27.8	0.0	0.0	0-20	15-40 A	no_recorded_association	0
AC:000069	A0A6I8WFT8	C1K003	Qc4e33594550d3f1047a79e0bc3967d307f1a0260	Qfc7a82d8e1af363725a91bff4786b57216d5224a	A0A0H2UKZ4	Q7DM26	9mgw	1	3046	0.017114	163	228	394	0	0	0	1	11_24	23	28.6	34.18	1	0.024456522	0	13	0.0	0.0	0.0	0-20	15-40 A	no_recorded_association	0
AC:000071	A0A069Q263	A0A069QC99	Q5d8171459aebbe1874f1679040d6a4ad4cf6bd18	Q5419ddee12a38f35f1bc4ae1f5e45fc50d1da882	A0A069Q263	A0A069QC99	6spe	1	287	0.999802	139	71	213	0	0	0	1	11_24	20	9.777	15.731	3	0.015384615	0	6	0.0	0.0	0.0	0-20	8-15 A	no_recorded_association	0
AC:000072	P38751	P40465	Q96574ee39f6583c58cb53d88e03dae31cd9b2cce	Q388d7694bf783f4a54743e46c49867ed84ff9403	P38751	P40465	5xyn	1	559292	0.997002	150	213	366	0	0	0	1	3_10	4	19.717	23.052	1	0.014577259	0	69	0.0	0.0	0.0	0-20	15-40 A	no_recorded_association	0
AC:000073	P00044	P07256	Q7165dad4bac5c374dd5061477cc94a05990342c8	Q7cf104d1243ce8b4642fb0dca36b59ffaacf6f82	P00044	P07256	3cx5	1	559292	0.979387	109	457	569	0	0	0	1	11_24	23	65.832	71.012	2	0.015238095	0	5	64.3	30.8	30.8	20-40	>=40 A	no_recorded_association	0
AC:000074	G0RZG4	G0SCD1	Qdce27ec69812e4a7019afae57d33720105cd62be	Qadd1b0ca1ae6d373158fdfb086b772b5d4408e53	G0RZG4	G0SCD1	8r1o	1	759272	0.999611	413	258	674	0	0	0	1	3_10	9	12.76	20.67	2	0.06122449	0	10	0.0	32.0	0.0	0-20	8-15 A	no_recorded_association	0
AC:000075	Q27RN4	Q27RN5	Q255a481849c0c56e92d74766bdda2ca47bf4f4c7	Q70d63d5e751c45b814f774994466b25a42bdb548	Q27RN4	Q27RN5	8xiw	1	428	0.948299	169	138	310	0	0	0	1	3_10	7	14.878	17.675	1	0.024305556	0	86	0.0	0.0	0.0	0-20	8-15 A	no_recorded_association	0
AC:000076	P0A9T8	P0ADA1	Qb896adbeee135bae749bc0a45b17446ef8b387bd	Q3b049da781c452d8567169d57e754a24273cc469	P0A9T8	P0ADA1	9ge8	1	83333	0.733644	228	208	439	0	0	0	1	3_10	4	74.336	76.34	1	0.032338308	0	60	0.0	0.0	0.0	0-20	>=40 A	no_recorded_association	0
AC:000077	A8IH07	A8IJY7	Qc0d3bf62158f6dbfc409fd22f1454435d4284354	Q0167a6378bf06121146baf4d4458e51d82527393	A8IH07	A8IJY7	7ekq	1	3055	0.015314	415	238	656	0	0	0	1	11_24	19	45.257	48.789	1	0.031932773	0	1	33.8	39.1	33.8	20-40	>=40 A	no_recorded_association	0
AC:000078	P07703	P36121	Q7ab7a967ac97d006089d5e64a31123f55f44da92	Qac1b260e85b7e17a61286a2e6b8b1f31d920ac0c	P07703	P36121	8bws	1	559292	0.999942	335	282	620	0	0	0	1	11_24	17	45.537	48.299	24	0.033568905	0	71	46.6	0.0	0.0	0-20	>=40 A	other_intact	0
AC:000079	P28000	P47076	Qe56139b5ca25e4131bfd3067eccc4dcf56d57469	Qb98443002ff52e4a0e75d715473eb52a61799403	P28000	P47076	7z31	1	559292	0.999905	142	161	306	0	0	0	1	11_24	19	32.454	37.563	25	0.013937282	0	34	53.8	30.8	30.8	20-40	15-40 A	no_recorded_association	0
AC:000082	P9WGY5	P9WHJ5	Qbc697ca6bcf3ee582a5cda4d99397996f49c3f6a	Q9b63eaa4a0f523f45cfcab2f7849b81935dea14d	A0QWT1	P9WHJ5	6bzo	1	83332	0.000375	110	111	224	0	0	0	1	3_10	7	15.71	19.452	21	0.018867925	0	76	0.0	0.0	0.0	0-20	15-40 A	no_recorded_association	0
AC:000083	O19928	Q9TM46	Qeaff8dac769f6408ee4d8bc0e128f22645eded61	Q0caaddae6cf3c0366d0e12d6ebdbea8cd567be01	Q8DIQ1	D0VWR7	4yuu	2	2771	0.997992	509	460	972	0	0	0	1	11_24	21	9.558	12.543	1	0.066508314	0	51	0.0	0.0	0.0	0-20	8-15 A	no_recorded_association	0
AC:000084	Q940U6	Q9LU39	Qb191313606d59cf13d0bf568c1d8310ee9f6d65f	Q9124513a0e7e3ac96ac802ccb7c0758bd3976eb9	Q940U6	Q9LU39	5che	1	3702	0.000126	316	317	636	0	0	0	1	3_10	6	21.536	23.784	1	0.023608769	0	34	0.0	0.0	0.0	0-20	15-40 A	no_recorded_association	0
AC:000085	Q23YW7	Q24CL2	Q6af30aa03d6896fd3b81f4cc3eafe744feeee10b	Qa181cac6b97ce55e57f3733e3a20130929594859	Q23YW7	Q24CL2	8th8	1	312017	0.008311	468	345	816	0	0	0	1	11_24	18	29.163	34.797	2	0.062222222	0	11	0.0	0.0	0.0	0-20	15-40 A	no_recorded_association	0
AC:000088	Q05AW3	Q66IZ6	Q202124dc776b1f62aba3bfc27e5153e5ee64a449	Q33a7341cde6761da0d63deef6fa61e99685ee423	Q05AW3	Q66IZ6	7vci	1	8355	0.999642	375	326	704	0	0	0	1	11_24	21	87.568	92.249	6	0.03869969	0	7	67.8	69.9	67.8	60-80	>=40 A	no_recorded_association	0
AC:000089	P53803	P63272	Q75517fd781759254c7b4687581fa64181dd83285	Q773f8cbbc9534914bf9c843e454296222240c131	A0A4X1TRS6	P63272	8xrm	1	9606	0.994938	58	117	178	0	0	2	1	11_24	16	44.457	51.713	2	0.011904762	1	16	100.0	100.0	100.0	80-100	>=40 A	no_recorded_association	0
AC:000090	P20435	Q12004	Qde42ac486130e4e3a2f98a7a6ee75f9f17ebf124	Q06dc80780ecc4bf4a2d5972af43945eefde7c54c	A0A4X1VEK9	Q12004	7o4l	1	559292	0.999785	155	338	496	0	0	0	1	11_24	15	44.006	45.83	7	0.017241379	0	77	0.0	30.5	0.0	0-20	>=40 A	no_recorded_association	0
AC:000092	Q9CPW4	Q9CVB6	Qfab7e0a52715b3c52abc837b5f9e7bad7727dde1	Q0f72cbd4613016a21d43a5eb8980f2e8dd423e27	Q9CPW4	Q9CVB6	7aqk	1	10090	0.999913	151	300	454	0	0	0	1	11_24	18	22.648	41.889	1	0.023640662	0	0	96.7	99.3	96.7	80-100	15-40 A	no_recorded_association	0
AC:000093	Q57TX9	Q586H1	Qdaab73c0cb02f47b9e63a205091bfbdd600738f6	Q7646ed7e6373345e9c70007a8b893bcf64bd91e9	Q57TX9	Q586H1	6f5d	1	185431	0.99302	584	182	769	0	0	0	1	11_24	12	21.563	24.955	1	0.025677603	0	27	52.0	35.9	35.9	20-40	15-40 A	no_recorded_association	0
AC:000096	A0A1S3X2G3	A0A1S3ZQT7	Q04cf1eecf78a574d6ed16137fe69ad35e121a90c	Q510e418133dee8e79ef99a199b46d543b5261fe9	A0A1S3X2G3	A0A1S3ZQT7	8wa0	1	4097	0.003988	151	331	485	0	0	0	1	11_24	20	52.348	54.872	1	0.019693654	0	21	0.0	0.0	0.0	0-20	>=40 A	no_recorded_association	0
AC:000097	A0A4V8GZZ7	A0A4V8H005	Q93739f5a6c8d425d468ab541e4eb29d180b5c690	Q354b73344f1d22f06713b7b12c0e8c3bbd898e53	Q84Y02	A0A4V8H005	6igz	1	325651	0.00046	256	81	340	0	0	0	1	11_24	23	42.183	45.313	1	0.0062305296	0	0	0.0	0.0	0.0	0-20	>=40 A	no_recorded_association	0
AC:000098	P0A800	P0AGB6	Q43a4c664e039268fffe9d07141179fa596214210	Q35d8b15e533f4617bf08ce150fc198029ce96367	P0A800	P0AGB6	6jbq	1	83333	0.235185	91	191	285	0	0	0	1	3_10	6	16.597	19.937	1	0.022140221	0	68	0.0	0.0	0.0	0-20	15-40 A	no_recorded_association	0
