pair_root	negative_id	sequence_no	pmid	evidence_semantics	anchor_accession	negative_partner_accession	positive_partner_accession	positive_evidence_tier	distinct_positive_publications	positive_detection_methods	negative_pair_fits_1024	positive_pair_fits_1024	both_pairs_fit_1024	exact_string_positive_overlap_negative	negative_score_id	positive_score_id	negative_score	positive_score	margin	positive_wins
PN6P:0465	PAIR2:GENE:10226|GENE:56382	465	21762802	other_direct_binding	Q9R0M6	O60664	Q80U12	strict_direct_interaction	3	"psi-mi:""MI:0096""(pull down)"	1	0	0	0	PN6P:0465:negative	PN6P:0465:positive	0.997835	0.133254	-0.864581	0
PN6P:0225	PAIR2:GENE:1026|GENE:2879	225	35915092	association_negative	P38936	P36969	P24941	strict_direct_interaction	44	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0231""(mammalian protein protein interaction trap)|psi-mi:""MI:0089""(protein array)|psi-mi:""MI:0813""(proximity ligation assay)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0018""(two hybrid)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0107""(surface plasmon resonance)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0107""(surface plasmon resonance)|psi-mi:""MI:0727""(lexa b52 complementation)|psi-mi:""MI:0676""(tandem affinity purification)|psi-mi:""MI:0676""(tandem affinity purification)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)"	1	1	1	0	PN6P:0225:negative	PN6P:0225:positive	7.5e-05	0.992976	0.9929009999999999	1
PN6P:0234	PAIR2:GENE:1029|GENE:200958	234	38439082	association_negative	P42771	Q8N307	P11802	strict_direct_interaction	31	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0089""(protein array)|psi-mi:""MI:0663""(confocal microscopy)|psi-mi:""MI:0676""(tandem affinity purification)|psi-mi:""MI:0676""(tandem affinity purification)|psi-mi:""MI:0676""(tandem affinity purification)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	1	1	1	0	PN6P:0234:negative	PN6P:0234:positive	0.000468	0.999857	0.999389	1
PN6P:0322	PAIR2:GENE:104383|GENE:12419	322	34819154	association_negative	Q61686	Q8C796	Q8BUH8	strict_direct_interaction	3	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	1	0	0	0	PN6P:0322:negative	PN6P:0322:positive	0.499648	0.99595	0.496302	1
PN6P:0127	PAIR2:GENE:10461|GENE:2896	127	40596721	biophysical_direct	P28799	Q12866	P07602	strict_direct_interaction	5	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0416""(fluorescence microscopy)"	0	0	0	0	PN6P:0127:negative	PN6P:0127:positive	0.000132	0.901667	0.901535	1
PN6P:0210	PAIR2:GENE:10499|GENE:25149	210	20678994	other_direct_binding	Q15596	Q62986	P19793	strict_direct_interaction	9	"psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0028""(cosedimentation in solution)|psi-mi:""MI:0018""(two hybrid)|psi-mi:""MI:0071""(molecular sieving)"	0	0	0	0	PN6P:0210:negative	PN6P:0210:positive	0.147594	0.342307	0.19471299999999997	1
PN6P:0205	PAIR2:GENE:10533|GENE:440193	205	32382014	association_negative	O95352	Q9P219	P60520	strict_direct_interaction	6	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0404""(comigration in non denaturing gel electrophoresis)|psi-mi:""MI:1314""(proximity-dependent biotin identification)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	0	1	0	0	PN6P:0205:negative	PN6P:0205:positive	0.000736	0.999892	0.999156	1
PN6P:0079	PAIR2:GENE:10625|GENE:5514	79	40287742	association_negative	Q9Y6Y0	Q96QC0	Q9Y2M5	strict_direct_interaction	2	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	0	0	0	0	PN6P:0079:negative	PN6P:0079:positive	0.000221	0.982129	0.981908	1
PN6P:0282	PAIR2:GENE:10733|GENE:3833	282	39349439	association_negative	O00444	Q9BW19	O94986	strict_direct_interaction	9	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0053""(fluorescence polarization spectroscopy)|psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0071""(molecular sieving)"	0	0	0	0	PN6P:0282:negative	PN6P:0282:positive	0.002532	0.01267	0.010138000000000001	1
PN6P:0312	PAIR2:GENE:10765|GENE:4193	312	35229010	association_negative	Q00987	Q9UGL1	P04637	strict_direct_interaction	148	"psi-mi:""MI:0053""(fluorescence polarization spectroscopy)|psi-mi:""MI:0053""(fluorescence polarization spectroscopy)|psi-mi:""MI:0065""(isothermal titration calorimetry)|psi-mi:""MI:0065""(isothermal titration calorimetry)|psi-mi:""MI:0065""(isothermal titration calorimetry)|psi-mi:""MI:0077""(nuclear magnetic resonance)|psi-mi:""MI:0077""(nuclear magnetic resonance)|psi-mi:""MI:0077""(nuclear magnetic resonance)|psi-mi:""MI:0004""(affinity chromatography technology)|psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0018""(two hybrid)|psi-mi:""MI:0997""(ubiquitinase assay)|psi-mi:""MI:0017""(classical fluorescence spectroscopy)|psi-mi:""MI:0017""(classical fluorescence spectroscopy)|psi-mi:""MI:0012""(bioluminescence resonance energy transfer)|psi-mi:""MI:0012""(bioluminescence resonance energy transfer)|psi-mi:""MI:0402""(chromatin immunoprecipitation assay)|psi-mi:""MI:0081""(peptide array)|psi-mi:""MI:0071""(molecular sieving)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0053""(fluorescence polarization spectroscopy)|psi-mi:""MI:0084""(phage display)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0813""(proximity ligation assay)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0028""(cosedimentation in solution)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0107""(surface plasmon resonance)|psi-mi:""MI:0729""(luminescence based mammalian interactome mapping)|psi-mi:""MI:0411""(enzyme linked immunosorbent assay)|psi-mi:""MI:0411""(enzyme linked immunosorbent assay)|psi-mi:""MI:0411""(enzyme linked immunosorbent assay)|psi-mi:""MI:0071""(molecular sieving)"	0	1	0	0	PN6P:0312:negative	PN6P:0312:positive	0.99907	0.999894	0.0008239999999999359	1
PN6P:0070	PAIR2:GENE:108072|GENE:4308	70	21734298	association_negative	Q7Z4N2	Q5NCH9	A4D2P6	strict_direct_interaction	3	"psi-mi:""MI:2437""(holdup assay)"	0	0	0	0	PN6P:0070:negative	PN6P:0070:positive	0.000211	9.2e-05	-0.000119	0
PN6P:0212	PAIR2:GENE:11047|GENE:1387	212	37022262	association_negative	Q16186	Q92793	Q9Y5K5	strict_direct_interaction	25	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:1112""(two hybrid prey pooling approach)|psi-mi:""MI:1356""(validated two hybrid)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0018""(two hybrid)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0397""(two hybrid array)|psi-mi:""MI:0397""(two hybrid array)|psi-mi:""MI:0428""(imaging technique)|psi-mi:""MI:0029""(cosedimentation through density gradient)|psi-mi:""MI:0096""(pull down)"	0	1	0	0	PN6P:0212:negative	PN6P:0212:positive	0.000563	0.999469	0.9989060000000001	1
PN6P:0290	PAIR2:GENE:11099|GENE:1647	290	40305474	association_negative	P24522	Q16825	P28715	strict_direct_interaction	3	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	0	0	0	0	PN6P:0290:negative	PN6P:0290:positive	0.000469	0.003111	0.0026420000000000003	1
PN6P:0363	PAIR2:GENE:11127|GENE:7804	363	38919020	other_direct_binding	Q9Y496	Q14114	O00203	strict_direct_interaction	3	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0018""(two hybrid)|psi-mi:""MI:0096""(pull down)"	0	0	0	0	PN6P:0363:negative	PN6P:0363:positive	9.1e-05	0.998492	0.9984010000000001	1
PN6P:0104	PAIR2:GENE:11187|GENE:1973	104	20156963	association_negative	P60842	Q9Y446	Q04637	strict_direct_interaction	22	"psi-mi:""MI:0065""(isothermal titration calorimetry)|psi-mi:""MI:0077""(nuclear magnetic resonance)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0038""(dynamic light scattering)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0019""(coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0107""(surface plasmon resonance)|psi-mi:""MI:0071""(molecular sieving)|psi-mi:""MI:0071""(molecular sieving)|psi-mi:""MI:0071""(molecular sieving)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)"	0	0	0	0	PN6P:0104:negative	PN6P:0104:positive	0.966621	0.02392	-0.9427009999999999	0
PN6P:0488	PAIR2:GENE:11219|GENE:5001	488	27016737	association_negative	O43913	Q9BQ50	Q13416	strict_direct_interaction	9	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0089""(protein array)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0029""(cosedimentation through density gradient)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	1	1	1	0	PN6P:0488:negative	PN6P:0488:positive	0.000105	0.999801	0.999696	1
PN6P:0224	PAIR2:GENE:1152|GENE:1956	224	37204253	association_negative	P00533	P12277	P62993	strict_direct_interaction	52	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0112""(ubiquitin reconstruction)|psi-mi:""MI:0112""(ubiquitin reconstruction)|psi-mi:""MI:0089""(protein array)|psi-mi:""MI:1314""(proximity-dependent biotin identification)|psi-mi:""MI:0004""(affinity chromatography technology)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0019""(coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0019""(coimmunoprecipitation)|psi-mi:""MI:0019""(coimmunoprecipitation)|psi-mi:""MI:0019""(coimmunoprecipitation)|psi-mi:""MI:0019""(coimmunoprecipitation)|psi-mi:""MI:0107""(surface plasmon resonance)|psi-mi:""MI:0405""(competition binding)|psi-mi:""MI:0676""(tandem affinity purification)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)"	0	0	0	0	PN6P:0224:negative	PN6P:0224:positive	0.894542	0.999912	0.10537000000000007	1
PN6P:0238	PAIR2:GENE:1191|GENE:6720	238	33649289	association_negative	P36956	P10909	Q96RN5	strict_direct_interaction	6	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0017""(classical fluorescence spectroscopy)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)"	0	0	0	0	PN6P:0238:negative	PN6P:0238:positive	0.202699	0.033289	-0.16941	0
PN6P:0437	PAIR2:GENE:12288|GENE:22042	437	28119464	association_negative	Q01815	Q62351	O54824	strict_direct_interaction	2	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0397""(two hybrid array)"	0	0	0	0	PN6P:0437:negative	PN6P:0437:positive	0.000739	0.000514	-0.00022499999999999994	0
PN6P:0434	PAIR2:GENE:1230|GENE:6348	434	21632261	other_direct_binding	P10147	P32246	P14735	strict_direct_interaction	4	"psi-mi:""MI:0405""(competition binding)|psi-mi:""MI:0435""(protease assay)|psi-mi:""MI:0114""(x-ray crystallography)"	1	0	0	0	PN6P:0434:negative	PN6P:0434:positive	0.999653	0.999883	0.00022999999999995246	1
PN6P:0240	PAIR2:GENE:12362|GENE:69146	240	34632701	association_negative	P29452	Q9D8T2	Q3UP24	strict_direct_interaction	6	"psi-mi:""MI:0053""(fluorescence polarization spectroscopy)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	1	0	0	0	PN6P:0240:negative	PN6P:0240:positive	0.999772	0.999895	0.00012299999999998423	1
PN6P:0311	PAIR2:GENE:1241|GENE:1785	311	39218627	association_negative	P50570	Q15722	P62993	strict_direct_interaction	21	"psi-mi:""MI:1356""(validated two hybrid)|psi-mi:""MI:2215""(barcode fusion genetics two hybrid)|psi-mi:""MI:0676""(tandem affinity purification)|psi-mi:""MI:0018""(two hybrid)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0107""(surface plasmon resonance)|psi-mi:""MI:0107""(surface plasmon resonance)"	0	0	0	0	PN6P:0311:negative	PN6P:0311:positive	6.5e-05	0.999885	0.99982	1
PN6P:0301	PAIR2:GENE:12854|GENE:21749	301	22748632	association_negative	P70371	P56469	Q8C0V1	strict_direct_interaction	3	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0018""(two hybrid)"	1	0	0	0	PN6P:0301:negative	PN6P:0301:positive	0.000114	0.000804	0.0006900000000000001	1
PN6P:0296	PAIR2:GENE:12854|GENE:26277	296	22748632	association_negative	Q9BSI4	P56469	P54274	strict_direct_interaction	1	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0416""(fluorescence microscopy)"	1	1	1	0	PN6P:0296:negative	PN6P:0296:positive	6.6e-05	0.99923	0.9991639999999999	1
PN6P:0332	PAIR2:GENE:12854|GENE:5906	332	22748632	association_negative	P62834	P56469	P04049	strict_direct_interaction	3	"psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0114""(x-ray crystallography)"	1	1	1	0	PN6P:0332:negative	PN6P:0332:positive	0.001259	0.995514	0.994255	1
PN6P:0050	PAIR2:GENE:129563|GENE:26986	50	34904664	association_negative	P11940	Q8IYB7	Q9H074	strict_direct_interaction	20	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0053""(fluorescence polarization spectroscopy)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0065""(isothermal titration calorimetry)|psi-mi:""MI:0045""(experimental interaction detection)|psi-mi:""MI:0077""(nuclear magnetic resonance)|psi-mi:""MI:0047""(far western blotting)|psi-mi:""MI:0018""(two hybrid)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0019""(coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0107""(surface plasmon resonance)|psi-mi:""MI:0107""(surface plasmon resonance)|psi-mi:""MI:1247""(microscale thermophoresis)|psi-mi:""MI:0096""(pull down)"	0	0	0	0	PN6P:0050:negative	PN6P:0050:positive	0.006447	0.999905	0.9934580000000001	1
PN6P:0130	PAIR2:GENE:1385|GENE:8850	130	20817929	association_negative	P16220	Q92831	P18846	strict_direct_interaction	6	"psi-mi:""MI:0676""(tandem affinity purification)|psi-mi:""MI:0676""(tandem affinity purification)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0081""(peptide array)|psi-mi:""MI:0096""(pull down)"	0	1	0	0	PN6P:0130:negative	PN6P:0130:positive	0.999782	0.999882	0.00010000000000010001	1
